발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2020,2020-01-04 06,주,토,1,0,0,0,0,서울,동대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961691.8,1951718.4,127.0662311,37.56402978
2020,2020-01-04 07,주,토,1,0,0,0,0,제주,제주시,차대사람,기타,기타,과속,단일로,기타단일로,화물차,보행자,886756.1,1488982,126.2824441,33.3864922
2020,2020-01-04 13,주,토,1,0,0,0,0,경북,예천군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1086688,1851376,128.4699237,36.65636511
2020,2020-01-04 16,주,토,1,0,0,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,이륜차,없음,1101676,1691392,128.6171125,35.21273909
2020,2020-01-05 00,야,일,1,0,0,0,0,충남,천안시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,교량위,승용차,없음,967300,1865360,127.1335116,36.78581348
2020,2020-01-05 02,야,일,1,0,0,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1101990,1696814,128.6212344,35.26158848
2020,2020-01-05 14,주,일,1,2,1,1,0,강원,양양군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,1083039,2009612,128.4468587,38.08281683
2020,2020-01-05 18,야,일,1,0,0,0,0,충남,당진시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,이륜차,925719,1878572,126.6662286,36.90255418
2020,2020-01-05 18,야,일,1,0,0,0,0,경북,경주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1151629,1762108,129.1789996,35.84378219
2020,2020-01-05 19,야,일,1,0,0,0,0,경기,이천시,차량단독,도로이탈,도로이탈 기타,과속,단일로,기타단일로,승용차,없음,1001888,1900508,127.5212479,37.10321827
2020,2020-01-05 19,야,일,1,4,1,3,0,경기,화성시,차대차,추돌,추돌,중앙선 침범,단일로,기타단일로,승용차,승용차,954653,1911360,126.9890068,37.19994018
2020,2020-01-05 20,야,일,1,0,0,0,0,부산,남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,이륜차,1144813,1682327,129.0893286,35.12573026
2020,2020-01-06 05,야,월,1,0,0,0,0,경북,구미시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1077199,1791691,128.3578346,36.11916156
2020,2020-01-06 07,주,월,1,0,0,0,0,전남,신안군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,885448,1673607,126.2439128,35.05101829
2020,2020-01-06 07,주,월,1,0,0,0,0,경북,성주군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,1066453,1768470,128.2364845,35.91061577
2020,2020-01-06 07,주,월,1,0,0,0,0,경남,진주시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,원동기장치자전거,승용차,1056199,1687601,128.1172351,35.18213638
2020,2020-01-06 10,주,월,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,939680.9,1952886.5,126.8169158,37.57337906
2020,2020-01-06 13,주,월,1,0,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,건설기계,보행자,1119896,1679426,128.8155138,35.10285544
2020,2020-01-06 18,야,월,1,0,0,0,0,경기,포천시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,983677,2000276,127.3140774,38.00234059
2020,2020-01-06 23,야,월,1,0,0,0,0,경기,용인시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,화물차,965789,1920640,127.1140637,37.28406357
2020,2020-01-06 23,야,월,1,1,1,0,0,광주,서구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,941257,1681094,126.8552886,35.12331949
2020,2020-01-07 01,야,화,1,0,0,0,0,충남,천안시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,967760,1865181,127.1386745,36.78421564
2020,2020-01-07 06,주,화,1,0,0,0,0,전북,정읍시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,941448.2,1730643.8,126.853839,35.57008909
2020,2020-01-07 17,주,화,1,0,0,0,0,경기,안성시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,987154,1898420,127.3554644,37.08431027
2020,2020-01-07 17,주,화,1,0,0,0,0,충북,영동군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1023619,1796308,127.7626048,36.16357067
2020,2020-01-07 17,주,화,1,1,1,0,0,경기,포천시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,980220,2010161,127.2744284,38.09136287
2020,2020-01-07 22,야,화,1,0,0,0,0,서울,서초구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,955013.7,1941792.6,126.9912244,37.47426373
2020,2020-01-08 03,야,수,1,1,0,1,0,경기,평택시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,964327,1891684,127.098952,37.02300002
2020,2020-01-08 15,주,수,1,0,0,0,0,전북,임실군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,화물차,984806,1737022,127.3321989,35.62921328
2020,2020-01-09 07,주,목,1,0,0,0,0,경기,용인시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,985694,1907381,127.3388663,37.1650654
2020,2020-01-09 09,주,목,1,0,0,0,0,전북,완주군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,970629.4,1768991.4,127.1744629,35.91713407
2020,2020-01-09 13,주,목,1,0,0,0,0,충남,논산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,965004,1795558,127.1109371,36.15646483
2020,2020-01-09 15,주,목,1,0,0,0,0,경북,울진군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,없음,1174792,1856458,129.4564606,36.6900504
2020,2020-01-09 23,야,목,1,3,1,2,0,인천,연수구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승합차,925220,1933858,126.6551018,37.40081975
2020,2020-01-10 01,야,금,1,0,0,0,0,경기,수원시,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,960202,1922425,127.0509424,37.29993077
2020,2020-01-10 02,야,금,1,0,0,0,0,전북,전주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,968273.7,1757512.5,127.1488102,35.81356694
2020,2020-01-10 04,야,금,1,0,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,964666.6,1943323.2,127.1003183,37.48847938
2020,2020-01-10 06,주,금,1,0,0,0,0,경북,구미시,차량단독,전도,전도,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,없음,1083304,1789594,128.4254438,36.099753
2020,2020-01-10 07,주,금,1,0,0,0,0,경기,화성시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,941790,1913375,126.8439105,37.21738856
2020,2020-01-10 08,주,금,1,0,0,0,0,전남,고흥군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,991150,1633504,127.4033717,34.69584946
2020,2020-01-10 09,주,금,1,1,1,0,0,경기,양주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,952677,1967414,126.9631421,37.7050761
2020,2020-01-10 10,주,금,1,0,0,0,0,부산,동구,차량단독,기타,기타,기타,단일로,기타단일로,화물차,없음,1140619,1682792.8,129.0433935,35.13052375
2020,2020-01-10 15,주,금,1,1,1,0,0,경북,안동시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1118187,1857654,128.823251,36.70955483
2020,2020-01-10 16,주,금,1,0,0,0,0,경남,통영시,차량단독,기타,기타,기타,단일로,기타단일로,농기계,없음,1084782,1660436,128.4283556,34.93520579
2020,2020-01-10 17,주,금,1,0,0,0,0,충남,서산시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,교차로,교차로내,승합차,보행자,915514,1856740,126.5541188,36.70491258
2020,2020-01-10 18,야,금,1,2,1,1,0,부산,연제구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,1144247.5,1689227.8,129.0843301,35.18801358
2020,2020-01-10 23,야,금,1,0,0,0,0,서울,서초구,차대사람,기타,기타,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,보행자,955213.9,1944463.8,126.9933259,37.49834987
2020,2020-01-10 23,야,금,1,0,0,0,0,부산,연제구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,1143448,1688155,129.0753651,35.17845818
2020,2020-01-10 23,야,금,1,1,0,1,0,대전,서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,991005,1816852,127.3997535,36.34903219
2020,2020-01-11 06,주,토,1,0,0,0,0,경북,구미시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1075461.8,1791791.6,128.3385424,36.12020512
2020,2020-01-11 09,주,토,1,0,0,0,0,전북,김제시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,938364,1760442,126.8175188,35.83855497
2020,2020-01-11 16,주,토,1,0,0,0,0,경기,김포시,차량단독,전복,전복,안전운전 의무 불이행,교차로,교차로내,이륜차,없음,915775,1964583,126.5448748,37.67691377
2020,2020-01-11 18,야,토,1,0,0,0,0,경남,양산시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1139647,1717442,129.0386276,35.4429789
2020,2020-01-11 19,야,토,1,0,0,0,0,제주,서귀포시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,건설기계,937541.5,1481776.9,126.8289227,33.32566336
2020,2020-01-11 20,야,토,1,0,0,0,0,경기,이천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,994068,1920213,127.4330835,37.28082483
2020,2020-01-11 20,야,토,1,0,0,0,0,대구,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,1097942,1762397,128.5846765,35.85322339
2020,2020-01-12 14,주,일,1,0,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1038982,1928746,127.9401828,37.3569407
2020,2020-01-12 16,주,일,1,2,1,1,0,충남,서산시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,904918,1874422,126.4332998,36.86328234
2020,2020-01-12 18,야,일,1,0,0,0,0,충북,청주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1003738,1858517,127.5418609,36.7246824
2020,2020-01-13 04,야,월,1,2,0,0,2,충남,공주시,차대차,추돌,추돌,안전운전 의무 불이행,기타,기타,화물차,화물차,961189,1816819,127.0674703,36.34799396
2020,2020-01-13 06,주,월,1,0,0,0,0,전북,정읍시,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근,자전거,승용차,941236,1730740,126.8514903,35.57094386
2020,2020-01-13 06,주,월,1,1,1,0,0,경북,김천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1055617,1792374,128.1180789,36.12679618
2020,2020-01-13 06,주,월,1,0,0,0,0,경기,남양주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,972286,1958494,127.1859321,37.62548067
2020,2020-01-13 14,주,월,1,0,0,0,0,경북,김천시,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1065396,1799748,128.2273607,36.19266261
2020,2020-01-13 17,주,월,1,0,0,0,0,전북,김제시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,944959,1758008,126.8907075,35.81700329
2020,2020-01-13 17,주,월,1,0,0,0,0,전남,진도군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,867089,1609690,126.0527487,34.47256241
2020,2020-01-13 18,야,월,1,0,0,0,0,경남,거제시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,1112634,1654348,128.7324573,34.87760666
2020,2020-01-13 19,야,월,1,0,0,0,0,전북,순창군,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,화물차,보행자,976279,1715990,127.238644,35.43940924
2020,2020-01-13 19,야,월,1,0,0,0,0,전북,완주군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,977248.8,1744432.3,127.2485291,35.69588209
2020,2020-01-13 20,야,월,1,0,0,0,0,서울,서초구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로횡단보도내,자전거,승합차,959673.3,1941446.8,127.0439398,37.47136204
2020,2020-01-13 20,야,월,1,0,0,0,0,충북,청주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,999728,1846435,127.4969582,36.61577132
2020,2020-01-13 20,야,월,1,0,0,0,0,충남,서산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,909393,1865880,126.4845143,36.78673088
2020,2020-01-14 00,야,화,1,0,0,0,0,경기,수원시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,962348,1917512,127.0754048,37.25573557
2020,2020-01-14 06,주,화,1,0,0,0,0,전남,영암군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,원동기장치자전거,917185,1637931,126.5954027,34.7324508
2020,2020-01-14 06,주,화,1,0,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1093489,1697275,128.5278445,35.26657454
2020,2020-01-14 07,주,화,1,0,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,자전거,보행자,964081.3,1957471.4,127.0930048,37.61597961
2020,2020-01-14 10,주,화,1,0,0,0,0,부산,사상구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,건설기계,없음,1135717.7,1688913.4,128.9906211,35.18636881
2020,2020-01-14 10,주,화,1,0,0,0,0,경남,남해군,차량단독,전복,전복,안전운전 의무 불이행,교차로,교차로내,사륜오토바이(ATV),없음,1035596,1653853,127.8895114,34.87876617
2020,2020-01-14 10,주,화,1,1,1,0,0,경남,사천시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,화물차,화물차,1048666,1676268,128.033836,35.08034175
2020,2020-01-14 11,주,화,1,0,0,0,0,경기,평택시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,960657,1898282,127.0573484,37.08232832
2020,2020-01-14 13,주,화,1,0,0,0,0,경북,포항시,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,1168150,1807933,129.3716077,36.25401992
2020,2020-01-14 14,주,화,1,0,0,0,0,서울,양천구,차대사람,보도통행중,보도통행중,기타,기타,기타,건설기계,보행자,940952.2,1948156.8,126.8316925,37.53083283
2020,2020-01-14 16,주,화,1,0,0,0,0,광주,광산구,차대차,기타,기타,신호위반,교차로,교차로내,이륜차,승용차,936229,1684779,126.7998248,35.15623944
2020,2020-01-14 17,주,화,1,1,0,1,0,경기,부천시,차대차,기타,기타,신호위반,단일로,고가도로위,승용차,이륜차,934689,1947802,126.7608418,37.52721266
2020,2020-01-14 18,야,화,1,0,0,0,0,전남,무안군,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,902098,1659505,126.4281115,34.92562933
2020,2020-01-14 19,야,화,1,0,0,0,0,대전,대덕구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,992807,1818927,127.419817,36.36775429
2020,2020-01-14 21,야,화,1,0,0,0,0,충북,영동군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1015194,1786758,127.6687487,36.07763931
2020,2020-01-15 02,야,수,1,0,0,0,0,경기,양평군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1007262,1942254,127.5821361,37.47948946
2020,2020-01-15 05,야,수,1,0,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,화물차,자전거,1107064,1689978,128.6761156,35.19943092
2020,2020-01-15 06,주,수,1,0,0,0,0,강원,횡성군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,1063314.9,1944202.1,128.2162588,37.49490619
2020,2020-01-15 07,주,수,1,34,4,18,12,경기,용인시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,964858,1920483.4,127.1035687,37.2826173
2020,2020-01-15 07,주,수,1,0,0,0,0,충남,보령시,차대사람,횡단중,횡단중,과속,교차로,교차로내,승용차,보행자,915758,1821667,126.5606835,36.3887898
2020,2020-01-15 07,주,수,1,0,0,0,0,전북,익산시,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,959911,1769546,127.0556374,35.92175337
2020,2020-01-15 07,주,수,1,0,0,0,0,전남,완도군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,937467,1604312,126.8194049,34.43073789
2020,2020-01-15 10,주,수,1,0,0,0,0,경남,진주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1059512,1687653,128.1536235,35.18241436
2020,2020-01-15 13,주,수,1,1,0,1,0,경기,안산시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,원동기장치자전거,화물차,941344,1925687,126.8379128,37.32833373
2020,2020-01-15 13,주,수,1,0,0,0,0,경남,창원시(통합),차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1098165,1690564,128.5784446,35.20562399
2020,2020-01-15 15,주,수,1,0,0,0,0,전남,여수시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1005218,1651068,127.5570815,34.85426259
2020,2020-01-15 15,주,수,1,1,1,0,0,제주,제주시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,화물차,화물차,901496,1497078,126.4400096,33.46095713
2020,2020-01-15 16,주,수,1,1,1,0,0,경북,상주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1043528,1810894,127.9847659,36.29437745
2020,2020-01-15 17,주,수,1,1,0,1,0,경북,예천군,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,1087047,1843032,128.4729943,36.58112199
2020,2020-01-15 18,야,수,1,0,0,0,0,충남,논산시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,962854,1810616,127.0863211,36.29213824
2020,2020-01-15 18,야,수,1,3,3,0,0,경북,칠곡군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,화물차,승용차,1080225,1776348,128.3898976,35.98060236
2020,2020-01-15 18,야,수,1,0,0,0,0,경남,김해시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1124262,1698026,128.8662102,35.26999776
2020,2020-01-15 20,야,수,1,2,2,0,0,경기,군포시,차대사람,보도통행중,보도통행중,신호위반,교차로,교차로부근,승용차,보행자,950210,1930183,126.9376819,37.36937592
2020,2020-01-15 20,야,수,1,0,0,0,0,충남,예산군,차대사람,차도통행중,차도통행중,기타,단일로,기타단일로,승용차,보행자,923931,1860652,126.6479538,36.74088616
2020,2020-01-16 00,야,목,1,0,0,0,0,서울,영등포구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,948734,1947625.2,126.9198002,37.526507
2020,2020-01-16 13,주,목,1,0,0,0,0,경기,이천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,1008134,1901672,127.5915543,37.11367743
2020,2020-01-16 15,주,목,1,0,0,0,0,경남,통영시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1079831,1656645,128.373786,34.90142634
