번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수
40,가축분뇨배출시설관리업(사업장),09_30_02_P,4820000,4.82E+17,2015.9.18,,1,영업/정상,11,영업,,,,,061-727-5953,,,전라남도 순천시 연향동,"전라남도 순천시 팔마3길 12-401, 연향동 4층 401호 (연향동, 인아빌딩)",58002,코리아엔텍(주),2020.1.16 9:24,U,2020.1.18 2:40,,,,분뇨등관련영업관리,,,,,,,
41,가축분뇨배출시설관리업(사업장),09_30_02_P,5070000,5.07E+17,2016.7.25,,1,영업/정상,11,영업,,,,,054-854-1134,,,경상북도 안동시 정하동 289-8,경상북도 안동시 강남7길 23-10 (정하동),36751,(주)오빌이앤씨,2022.6.3 18:20,U,2022.6.8 2:40,,355195.8162,340152.2371,분뇨등관련영업관리,,,,,0,,0
42,가축분뇨배출시설관리업(사업장),09_30_02_P,4600000,4.6E+17,2014.9.25,,1,영업/정상,11,영업,,,,,642-1111,,350-872,충청남도 홍성군 결성면 성곡리 587,충청남도 홍성군 결성면 산업로116번길 102-27,350-872,농업법인 주식회사 지엔씨에이,2015.3.4 8:29,I,2018.8.31 23:59,,160388.836,339193.4358,분뇨등관련영업관리,,,,,,,
43,가축분뇨배출시설관리업(사업장),09_30_02_P,4970000,4.97E+17,2017.11.23,,1,영업/정상,11,영업,,,,,,,,전라남도 영광군 백수읍 논산리 192-1,전라남도 영광군 백수읍 백수로15길 67,57027,유한회사부림(옥당지점),2017.11.23 17:38,I,2018.8.31 23:59,,150166.5997,198890.3867,분뇨등관련영업관리,,,,,,,
44,가축분뇨배출시설관리업(사업장),09_30_02_P,4600000,4.6E+17,2006.4.24,,1,영업/정상,11,영업,,,,,,,350-809,충청남도 홍성군 홍성읍 월산리 92,충청남도 홍성군 홍성읍 홍덕서로 47,,영원환경기술(주),2021.5.17 16:52,U,2021.5.19 2:40,,168459.4214,344938.5084,분뇨등관련영업관리,,,,,,,
45,가축분뇨배출시설관리업(사업장),09_30_02_P,4600000,4.6E+17,2009.8.7,,1,영업/정상,11,영업,,,,,6335124,,350-803,충청남도 홍성군 홍성읍 남장리 221-1 한국폴리텍4대학 탐구관 401호,충청남도 홍성군 홍성읍 충서로 1200  (한국폴리텍4대학 탐구관 401호),,맑은환경기술,2018.8.20 13:23,I,2018.8.31 23:59,"기타 측정, 시험, 항해 및 정밀기기 제조업",,,분뇨등관련영업관리,"기타 측정, 시험, 항해 및 정밀기기 제조업",,,,,,
46,가축분뇨배출시설관리업(사업장),09_30_02_P,4600000,4.6E+17,2013.2.13,,1,영업/정상,11,영업,,,,,416347050,,350-805,충청남도 홍성군 홍성읍 대교리 91-10,충청남도 홍성군 홍성읍 의사로64번길 32,,서해환경(주),2022.7.21 17:45,U,2022.7.23 2:40,,170553.2552,344496.8126,분뇨등관련영업관리,,,,,0,,0
47,가축분뇨배출시설관리업(사업장),09_30_02_P,4670000,4.67E+17,2015.1.12,,1,영업/정상,11,영업,,,,,063-452-1367,,573-885,전라북도 군산시 조촌동 868-15,"전라북도 군산시 조촌4길 24-4, 조촌동 3층 (조촌동)",573-885,(유)일토씨엔엠,2020.10.5 14:39,U,2020.10.7 2:40,축산분뇨 처리업,176133.9496,274276.326,분뇨등관련영업관리,축산분뇨 처리업,,,,,,
48,가축분뇨배출시설관리업(사업장),09_30_02_P,4910000,4.91E+17,2015.12.7,,1,영업/정상,11,영업,,,,,070-7114-9900,,,전라남도 장흥군 장흥읍 평화리 519,전라남도 장흥군 장흥읍 외평길 84,59337,(주)한미엔텍,2022.9.15 16:54,U,2022.9.17 2:40,환경컨설팅 및 관련 엔지니어링 서비스업,191123.1379,129385.4383,분뇨등관련영업관리,환경컨설팅 및 관련 엔지니어링 서비스업,,,,0,,0
49,가축분뇨배출시설관리업(사업장),09_30_02_P,4980000,4.98E+17,2009.12.17,,1,영업/정상,11,영업,,,,,,,515-802,전라남도 장성군 장성읍 영천리 907-5,전라남도 장성군 장성읍 영천로 116,,(주)씨엠환경테크,2015.5.12 10:53,I,2018.8.31 23:59,,180022.1717,199645.3892,분뇨등관련영업관리,,,,,,,
50,가축분뇨배출시설관리업(사업장),09_30_02_P,4600000,4.6E+17,2013.12.23,,1,영업/정상,11,영업,,,,,416346250,,350-804,충청남도 홍성군 홍성읍 내법리 410-26,충청남도 홍성군 홍성읍 충서로1707번길 14-128,350-804,(주)두현이엔씨,2021.3.16 9:07,U,2021.3.18 2:40,,171966.0209,345140.8065,분뇨등관련영업관리,,,,,,,
51,가축분뇨배출시설관리업(사업장),09_30_02_P,4140000,4.14E+17,2015.9.7,,1,영업/정상,11,영업,,,,,315723214,,,경기도 연천군 전곡읍 전곡리 254,경기도 연천군 전곡읍 전곡로 78 (전곡주사랑교회),11037,(주)일주종합건설,2023.1.18 16:27,U,2023.1.20 2:40,,206372.1444,501941.8079,분뇨등관련영업관리,,,,,0,,0
52,가축분뇨배출시설관리업(사업장),09_30_02_P,4850000,4.85E+17,2013.3.11,,1,영업/정상,11,영업,,,,,061-383-3466,,,전라남도 담양군 담양읍 만성리 330,전라남도 담양군 담양읍 완동길 59,57335,(주)장산이엔지,2021.11.8 17:56,U,2021.11.10 2:40,,197874.0466,203165.4709,분뇨등관련영업관리,,,,,0,,0
53,가축분뇨배출시설관리업(사업장),09_30_02_P,4850000,4.85E+17,2015.7.24,,1,영업/정상,11,영업,,,,,613830081,,,전라남도 담양군 대전면 중옥리 73-1 금빛타운 206호,"전라남도 담양군 대전면 중옥길 41-8, 금빛타운 206호",57330,이엔건설 주식회사,2020.11.12 10:04,U,2020.11.14 2:40,,189444.1474,195662.3911,분뇨등관련영업관리,,,,,,,
54,가축분뇨배출시설관리업(사업장),09_30_02_P,5340000,5.34E+17,2019.12.10,,1,영업/정상,11,영업,,,,,055-831-7242,,,경상남도 사천시 대방동 670-1,경상남도 사천시 사천대로 20 (대방동),52554,사천시 시설관리공단,2023.6.30 17:07,U,2023.7.2 2:40,,296078.5173,159936.3443,분뇨등관련영업관리,,,,,0,,0
55,가축분뇨배출시설관리업(사업장),09_30_02_P,4050000,4.05E+17,2019.10.14,,1,영업/정상,11,영업,,,,,031-548-1255,,,경기도 용인시 기흥구 구갈동 582-3 대경프라자,"경기도 용인시 기흥구 중부대로 555, 대경프라자 208호 (구갈동)",16977,농업회사법인 주식회사 팜엔코,2022.12.7 17:36,U,2022.12.9 2:40,,211029.6627,418883.7766,분뇨등관련영업관리,,,,,0,,0
56,가축분뇨배출시설관리업(사업장),09_30_02_P,5310000,5.31E+17,2019.10.29,,1,영업/정상,11,영업,,,,,557628900,,660-320,경상남도 진주시 상대동 192-20,경상남도 진주시 모덕로222번길 20 (상대동),,(주)우진,2020.4.2 13:13,U,2020.4.4 2:40,,301775.1465,188105.8674,분뇨등관련영업관리,,,,,,,
57,가축분뇨배출시설관리업(사업장),09_30_02_P,4800000,4.8E+17,2019.11.1,,1,영업/정상,11,영업,,,,,061-272-6705,,,,전라남도 목포시 안장산로 37 (용당동),58704,신진유지건설(주),2022.1.6 9:26,U,2022.1.8 2:40,토목 건설업,145479.1016,144795.1643,분뇨등관련영업관리,토목 건설업,,,,0,,0
58,가축분뇨배출시설관리업(사업장),09_30_02_P,5600000,5.6E+17,2022.1.28,,1,영업/정상,11,영업,,,,,,,,경기도 포천시 선단동 산 11-1 대진대학교,"경기도 포천시 호국로 1007, 대진대학교산학협력단 304호 (선단동)",11159,(주)대진바이오워터,2022.1.28 15:39,I,2022.1.30 0:22,분뇨 및 축산분뇨 처리업,213662.031,485365.5191,분뇨등관련영업관리,분뇨 및 축산분뇨 처리업,,,,0,,0
59,가축분뇨배출시설관리업(사업장),09_30_02_P,4830000,4.83E+17,2022.2.18,,1,영업/정상,11,영업,,,,,061-335-9377,,,전라남도 나주시 노안면 금동리 산 29-1,전라남도 나주시 노안면 유곡로 276,58209,(주)무진테크노,2022.2.18 11:39,I,2022.2.22 0:22,,,,분뇨등관련영업관리,,,,,0,,0
60,가축분뇨배출시설관리업(사업장),09_30_02_P,5530000,5.53E+17,2023.6.5,,1,영업/정상,11,영업,,,,,313558101,,,경기도 화성시 남양읍 무송리 180-5,"경기도 화성시 남양읍 현대기아로 498-2, 202호",18274,대명엔텍(주),2023.6.5 15:52,I,2023.6.8 0:19,,186405.8279,410226.2803,분뇨등관련영업관리,,,,,0,,0
61,가축분뇨배출시설관리업(사업장),09_30_02_P,5530000,5.53E+17,2023.6.5,,1,영업/정상,11,영업,,,,,7050560948,,,경기도 화성시 남양읍 무송리 180-5,"경기도 화성시 남양읍 현대기아로 498-2, 201호",18274,(주)뎀코,2023.6.5 15:52,I,2023.6.8 0:19,,186405.8279,410226.2803,분뇨등관련영업관리,,,,,0,,0
62,가축분뇨배출시설관리업(사업장),09_30_02_P,4291000,4.291E+17,2007.2.9,,1,영업/정상,11,영업,,,,,,,233-813,강원특별자치도 정선군 고한읍 고한리 145-5,강원특별자치도 정선군 고한읍 강원남로 6063,233-813,나라환경개발(주),2020.10.28 14:58,I,2023.6.13 0:00,,362738.3295,413999.0611,분뇨등관련영업관리,,,,,0,,0
63,가축분뇨배출시설관리업(사업장),09_30_02_P,4291000,4.291E+17,2017.2.22,,1,영업/정상,11,영업,,,,,335630788,,,강원특별자치도 정선군 정선읍 덕송리 536-4,강원특별자치도 정선군 정선읍 서동로 1240,26121,그린건설환경합자회사,2022.5.6 18:27,I,2023.6.13 0:00,,347455.1247,434390.4741,분뇨등관련영업관리,,,,,0,,0
64,가축분뇨배출시설관리업(사업장),09_30_02_P,5600000,5.6E+17,2023.6.8,,1,영업/정상,11,영업,,,,,031-544-0530,,,경기도 포천시 소흘읍 이동교리 149-3,"경기도 포천시 소흘읍 호국로 521, 동아빌딩 1층",11184,㈜바이오워터,2023.6.8 9:08,I,2023.6.10 0:19,환경 관련 엔지니어링 서비스업,211989.6105,479641.0746,분뇨등관련영업관리,환경 관련 엔지니어링 서비스업,,,,0,,0
65,가축분뇨배출시설관리업(사업장),09_30_02_P,3970000,3.97E+17,2018.2.26,,1,영업/정상,11,영업,,,,,234242887,,427-040,경기도 과천시 별양동 1-20,경기도 과천시 별양상가3로 5 (별양동),427-707,(주)삼안,2019.1.17 9:00,U,2019.1.19 2:40,,199145.725,436058.45,분뇨등관련영업관리,,,,,,,
66,가축분뇨배출시설관리업(사업장),09_30_02_P,3640000,3.64E+17,2005.8.1,,1,영업/정상,11,영업,,,,,,,300-815,대전광역시 동구 삼성동 302-138,대전광역시 동구 옛신탄진로 2  (삼성동),,코오롱워터앤에너지(주),2013.1.15 15:10,I,2018.8.31 23:59,,238181.2133,315702.7844,분뇨등관련영업관리,,,,,,,
67,가축분뇨배출시설관리업(사업장),09_30_02_P,4880000,4.88E+17,2015.10.20,,1,영업/정상,11,영업,,,,,618355301,,,전라남도 고흥군 도양읍 용정리 1907,전라남도 고흥군 도양읍 도양해안로 84,,(주)송림,2023.1.26 16:38,U,2023.1.28 2:40,,211036.6455,116038.0093,분뇨등관련영업관리,,,,,0,,0
68,가축분뇨배출시설관리업(사업장),09_30_02_P,4440000,4.44E+17,2015.11.10,,1,영업/정상,11,영업,,,,,437451550,,370-802,충청북도 영동군 영동읍 계산리 667-9,충청북도 영동군 영동읍 계산로3길 9-30,,용진환경(주),2023.5.21 10:34,U,2023.5.23 2:40,,270177.8062,297124.6794,분뇨등관련영업관리,,,,,0,,0
