번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수
28,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,1989.1.23,,3,폐업,2,폐업,2009.12.22,,,,041 581 8260,,330-803,충청남도 천안시 서북구 성환읍 매주리 318-2,,,천원위생,2009.12.22 10:10,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
29,가축분뇨 수집운반업,09_30_01_P,4890000,4.89E+17,2004.4.24,,3,폐업,2,폐업,2021.12.6,,,,061-852-2935,,546-802,전라남도 보성군 보성읍 보성리 342-11,전라남도 보성군 보성읍 용문길 7,546-802,활성축분유통,2021.12.21 14:20,U,2021.12.23 2:40,축산폐기물 처리업,208506.3825,141447.7258,분뇨등관련영업관리,축산폐기물 처리업,,,,0,,0
30,가축분뇨 수집운반업,09_30_01_P,4710000,4.71E+17,2013.3.20,,3,폐업,2,폐업,2014.6.5,,,,,,576-881,전라북도 김제시 백산면 하서리 16,전라북도 김제시 백산면 백산로 173-227,576-881,천일환경공사,2014.6.5 17:47,I,2018.8.31 23:59,,189002.5236,259276.5758,분뇨등관련영업관리,,,,,,,
31,가축분뇨 수집운반업,09_30_01_P,5230000,5.23E+17,2014.1.21,,3,폐업,2,폐업,2016.8.1,2016.8.1,,,054-654-3255,,757-802,경상북도 예천군 예천읍 동본리 510-3,경상북도 예천군 예천읍 상설시장1길 25-3,757-802,예천위생사,2016.9.12 13:37,I,2018.8.31 23:59,,330288.1559,351635.4592,분뇨등관련영업관리,,,,,,,
32,가축분뇨 수집운반업,09_30_01_P,4680000,4.68E+17,2009.6.22,,3,폐업,2,폐업,2014.1.28,,,,8565859,,570-813,전라북도 익산시 황등면 신기리 429-14,,,청그린영농조합법인,2014.1.28 17:05,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,,,
33,가축분뇨 수집운반업,09_30_01_P,4680000,4.68E+17,2011.3.10,,3,폐업,2,폐업,2013.3.18,,,,638336123,,,전라북도 익산시 어양동 598-10,전라북도 익산시 동서로45길 31-3  (어양동),,(유)시민환경,2013.3.18 11:56,I,2018.8.31 23:59,분뇨 처리업,198063.3813,272393.0289,분뇨등관련영업관리,분뇨 처리업,,,,,,
34,가축분뇨 수집운반업,09_30_01_P,4980000,4.98E+17,2013.9.30,,3,폐업,2,폐업,2018.2.22,,,,061-393-5566,,515-805,전라남도 장성군 장성읍 영천리 809-5,전라남도 장성군 장성읍 영천로 238,,장성가축분뇨위생사,2018.2.22 11:31,I,2018.8.31 23:59,,180641.8651,200606.3329,분뇨등관련영업관리,,,,,,,
35,가축분뇨 수집운반업,09_30_01_P,4680000,4.68E+17,2011.3.17,,3,폐업,2,폐업,2022.3.15,,,,,,570-951,전라북도 익산시 왕궁면 온수리 314,전라북도 익산시 왕궁면 금오1길 132,570-945,(유)아리울환경산업,2022.3.15 14:09,U,2022.3.17 2:40,축산분뇨 처리업,206027.849,269289.2545,분뇨등관련영업관리,축산분뇨 처리업,,,,0,,0
36,가축분뇨 수집운반업,09_30_01_P,4680000,4.68E+17,2011.4.5,,3,폐업,2,폐업,2011.7.1,,,,,,570-942,전라북도 익산시 왕궁면 구덕리 293-1,전라북도 익산시 왕궁면 평화촌1길 23,,람원농장,2011.7.1 18:09,I,2018.8.31 23:59,,207261.5143,272395.7279,분뇨등관련영업관리,,,,,,,
37,가축분뇨 수집운반업,09_30_01_P,4680000,4.68E+17,2011.7.13,,3,폐업,2,폐업,2015.1.6,,,,,,570-943,전라북도 익산시 왕궁면 동촌리 121-5,전라북도 익산시 왕궁면 무왕로 2152,,유일그린,2015.1.6 11:49,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,,,
38,가축분뇨 수집운반업,09_30_01_P,4600000,4.6E+17,2003.12.3,,3,폐업,2,폐업,2018.2.28,,,,,,,충청남도 홍성군 서부면 궁리 330-5,충청남도 홍성군 서부면 서부서길 315,32204,홍성군한돈협회액비유통센타영농조합법인,2018.3.2 15:08,I,2018.8.31 23:59,,152714.6373,343698.3831,분뇨등관련영업관리,,,,,,,
39,가축분뇨 수집운반업,09_30_01_P,4940000,4.94E+17,2001.12.7,,3,폐업,2,폐업,2011.12.27,,,,061 2841051,,530-390,전라남도 목포시 상동 1153-8,전라남도 목포시 미항로 91  (상동),,(유)푸른환경,2011.12.27 10:54,I,2018.8.31 23:59,,147819.1972,144188.1652,분뇨등관련영업관리,,,,,,,
40,가축분뇨 수집운반업,09_30_01_P,4940000,4.94E+17,2006.6.29,,3,폐업,2,폐업,2011.12.27,,,,,,530-390,전라남도 목포시 상동 1153-8,,,(유)푸른환경,2011.12.27 10:56,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,,,
41,가축분뇨 수집운반업,09_30_01_P,4940000,4.94E+17,2008.6.17,,3,폐업,2,폐업,2010.5.12,,,,614714400,,526-805,전라남도 영암군 영암읍 망호리 16-4,전라남도 영암군 영암읍 예향로 1685,,(유)영암월출특수,2010.10.7 18:02,I,2018.8.31 23:59,,172326.9884,146283.7437,분뇨등관련영업관리,,,,,,,
42,가축분뇨 수집운반업,09_30_01_P,4940000,4.94E+17,2009.4.1,,3,폐업,2,폐업,2011.3.9,,,,614732626,,526-804,전라남도 영암군 영암읍 역리 159-9,,,영암양돈액비유통영농조합법인,2011.3.9 10:26,I,2018.8.31 23:59,,172443.5258,144927.3518,분뇨등관련영업관리,,,,,,,
43,가축분뇨 수집운반업,09_30_01_P,4940000,4.94E+17,2016.11.29,,3,폐업,2,폐업,2018.6.1,,,,061-473-8813,,,전라남도 영암군 신북면 월평리 104-2,"전라남도 영암군 신북면 예향로 2524, 2층",58401,석영영농조합법인,2018.6.1 16:01,I,2018.8.31 23:59,,171538.1215,154231.7563,분뇨등관련영업관리,,,,,,,
44,가축분뇨 수집운반업,09_30_01_P,4680000,4.68E+17,2012.4.9,,3,폐업,2,폐업,2020.7.10,,,,,,570-912,전라북도 익산시 금마면 동고도리 176-16,전라북도 익산시 금마면 무왕로 1953,,행복한 가축분뇨 산업,2020.7.10 11:19,U,2020.7.12 2:40,,205494.0968,276548.8268,분뇨등관련영업관리,,,,,,,
45,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,1989.1.23,,3,폐업,2,폐업,2010.4.22,,,,041 581 8260,,330-803,충청남도 천안시 서북구 성환읍 매주리 318-2,,,천원위생,2010.4.5 10:42,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
46,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,1999.3.10,,3,폐업,2,폐업,2009.12.22,,,,041-553-5560,,330-170,충청남도 천안시 서북구 성정동 714-18,,,천안정화조,2009.12.22 10:09,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
47,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,1986.1.11,,3,폐업,2,폐업,2009.12.22,,,,041 551 7024,,330-811,충청남도 천안시 서북구 직산읍 군서리 10-2,,,정화회,2009.12.22 10:13,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
48,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,2003.2.6,,3,폐업,2,폐업,2009.12.22,,,,041- 582-1307,,330-827,충청남도 천안시 서북구 입장면 하장리 45,,,입장위생,2009.12.22 10:14,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
49,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,2005.10.25,,3,폐업,2,폐업,2009.12.22,,,,04-1572-9148,,330-150,충청남도 천안시 동남구 삼룡동 42-1,충청남도 천안시 동남구 충절로 531  (삼룡동),,온양환경,2009.12.22 10:11,I,2018.8.31 23:59,,215786.3508,363949.3011,분뇨등관련영업관리,,,,,0,,0
50,가축분뇨 수집운반업,09_30_01_P,4710000,4.71E+17,2008.4.10,,3,폐업,2,폐업,2014.5.21,,,,,,,전라북도 김제시 공덕면 황산리 584,,,에버그린영농조합,2014.5.21 17:36,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,,,
51,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,1998.1.25,,3,폐업,2,폐업,2009.12.22,,,,041-581-3321,,330-800,충청남도 천안시 서북구 성환읍 매주리 320-1,,,성환위생,2009.12.22 10:08,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
52,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,2001.3.27,,3,폐업,2,폐업,2009.12.22,,,,041 551 5451,,330-250,충청남도 천안시 동남구 용곡동 313-1,,,서해환경,2009.12.22 10:16,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
53,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,2003.8.28,,3,폐업,2,폐업,2009.12.22,,,,04-1564-1337,,330-861,충청남도 천안시 동남구 병천면 병천리 283-1,,,병천환경,2009.12.22 10:13,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
54,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,2005.10.18,,3,폐업,2,폐업,2009.12.22,,,,041-578-2616,,330-080,충청남도 천안시 동남구 구룡동 1 화물터미널 330호,"충청남도 천안시 동남구 청당산업길 33  (구룡동,화물터미널 330호)",,백두산환경,2009.12.22 10:15,I,2018.8.31 23:59,,214569.3017,362765.9928,분뇨등관련영업관리,,,,,0,,0
55,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,1999.5.11,,3,폐업,2,폐업,2009.12.22,,,,041 567 8259,,330-130,충청남도 천안시 동남구 성황동 1-13,,,그린위생,2009.12.22 10:11,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
56,가축분뇨 수집운반업,09_30_01_P,4490000,4.49E+17,1980.9.30,,3,폐업,2,폐업,2009.12.22,,,,,,330-240,충청남도 천안시 서북구 부대동 111-11,,,(합)천안위생,2009.12.22 10:12,I,2018.8.31 23:59,,,,분뇨등관련영업관리,,,,,0,,0
57,가축분뇨 수집운반업,09_30_01_P,4670000,4.67E+17,2001.3.30,,3,폐업,2,폐업,2015.10.13,,,,,,573-882,전라북도 군산시 소룡동 1582-16,,,홍보산업주식회사,2016.1.7 9:26,I,2018.8.31 23:59,,161946.9879,274933.0633,분뇨등관련영업관리,,,,,,,
58,가축분뇨 수집운반업,09_30_01_P,4670000,4.67E+17,2005.9.6,,3,폐업,2,폐업,2015.12.16,,,,063-471-1198,,573-360,전라북도 군산시 미룡동 827-3,전라북도 군산시 임사1길 126 (미룡동),573-360,우리환경,2016.1.7 9:32,I,2018.8.31 23:59,분뇨 처리업,170483.9701,272280.0328,분뇨등관련영업관리,분뇨 처리업,,,,,,
59,가축분뇨 수집운반업,09_30_01_P,4710000,4.71E+17,2018.3.8,,3,폐업,2,폐업,2021.11.15,,,,063-547-5066,,,전라북도 김제시 순동 226-11,전라북도 김제시 콩쥐팥쥐로 256 (순동),54361,고원영농조합법인,2021.11.15 14:50,U,2021.11.17 2:40,축산분뇨 처리업,193617.81,257320.1809,분뇨등관련영업관리,축산분뇨 처리업,,,,0,,0
60,가축분뇨 수집운반업,09_30_01_P,4830000,4.83E+17,2000.2.28,,3,폐업,2,폐업,2017.6.19,,,,,,520-812,전라남도 나주시 노안면 영평리 564,전라남도 나주시 노안면 금성산길 387-58,520-810,(주)나주환경,2018.4.5 19:27,I,2018.8.31 23:59,,173232.3372,173729.272,분뇨등관련영업관리,,,,,,,
61,가축분뇨 수집운반업,09_30_01_P,6520000,6.52E+17,2010.12.21,,3,폐업,2,폐업,2015.12.8,,,,7948521,,699-923,제주특별자치도 서귀포시 안덕면 동광리 998-3,,,동광유기자원영농조합법인,2015.12.8 17:02,I,2018.8.31 23:59,기타 비료 및 질소화합물 제조업,138452.4991,-20895.71014,분뇨등관련영업관리,기타 비료 및 질소화합물 제조업,,,,,,
62,가축분뇨 수집운반업,09_30_01_P,4140000,4.14E+17,2000.6.3,,3,폐업,2,폐업,2018.4.12,,,,031 832 3212,,486-902,경기도 연천군 전곡읍 은대리 628-1,경기도 연천군 전곡읍 청정로 2460,486-902,대진환경,2018.4.12 13:20,I,2018.8.31 23:59,,205062.154,502962.3658,분뇨등관련영업관리,,,,,,,
63,가축분뇨 수집운반업,09_30_01_P,4870000,4.87E+17,2008.2.12,,3,폐업,2,폐업,2008.6.24,,,,7822727,,542-804,전라남도 구례군 구례읍 봉동리 412-2,전라남도 구례군 구례읍 북문길 2,,중앙미화사,2008.6.24 11:19,I,2018.8.31 23:59,분뇨 및 축산폐기물 처리업,242245.4611,190293.5389,분뇨등관련영업관리,분뇨 및 축산폐기물 처리업,,,,,,
64,가축분뇨 수집운반업,09_30_01_P,4390000,4.39E+17,1985.10.23,,3,폐업,2,폐업,2014.12.23,,,,8463754,,380-200,충청북도 충주시 용관동 1-23,충청북도 충주시 중원대로 3753 (용관동),,(합)중원환경,2014.12.24 15:16,I,2018.8.31 23:59,,279176.3819,384717.1423,분뇨등관련영업관리,,,,,,,
65,가축분뇨 수집운반업,09_30_01_P,4390000,4.39E+17,1980.3.5,,3,폐업,2,폐업,2014.12.23,,,,8473754,,380-200,충청북도 충주시 용관동 1-23,충청북도 충주시 중원대로 3753 (용관동),,(합)충주청소사,2014.12.24 15:14,I,2018.8.31 23:59,,279176.3819,384717.1423,분뇨등관련영업관리,,,,,,,
66,가축분뇨 수집운반업,09_30_01_P,3650000,3.65E+17,1996.8.27,,3,폐업,2,폐업,2020.1.30,,,,042 2522831,,301-080,대전광역시 중구 중촌동 25-7,대전광역시 중구 어덕마을로 160-10 (중촌동),301-840,(주) 중구위생공사,2020.1.30 14:52,U,2020.2.1 2:40,,236765.7009,315827.8381,분뇨등관련영업관리,,,,,,,
67,가축분뇨 수집운반업,09_30_01_P,4540000,4.54E+17,2006.9.29,,3,폐업,2,폐업,2019.12.11,,,,,,,충청남도 논산시 연무읍 동산리 903-17 기산아파트 102동 406호,충청남도 논산시 연무읍 동안로 870 (기산아파트),33008,농민축산환경,2020.12.18 10:25,U,2020.12.20 2:40,,209062.0885,292595.8118,분뇨등관련영업관리,,,,,,,
68,가축분뇨 수집운반업,09_30_01_P,6510000,6.51E+17,2019.10.18,,3,폐업,2,폐업,2020.1.30,,,,,,,제주특별자치도 제주시 영평동 188-4,"제주특별자치도 제주시 구릉동산길 94-8, 상가동 1층 (영평동)",63308,구좌조천축산영농조합법인,2020.1.31 10:00,U,2020.2.2 2:40,축산분뇨 처리업,161071.6394,-736.1539938,분뇨등관련영업관리,축산분뇨 처리업,,,,,,
69,가축분뇨 수집운반업,09_30_01_P,5060000,5.06E+17,2022.4.4,,3,폐업,2,폐업,2022.6.22,,,,,,,경상북도 김천시 신음동 394-3 현대아파트 107동 1901호,"경상북도 김천시 시청로 46, 107동 1901호 (신음동, 현대아파트)",39550,구성퇴비,2022.6.22 15:53,U,2022.6.24 2:40,분뇨 처리업,300635.3357,293119.9501,분뇨등관련영업관리,분뇨 처리업,,,,0,,0
70,가축분뇨 수집운반업,09_30_01_P,4600000,4.6E+17,2022.3.11,,3,폐업,2,폐업,2023.6.20,,,,,,,충청남도 홍성군 광천읍 운용리 573,충청남도 홍성군 광천읍 홍남동로279번길 153,,녹색비료(주),2023.6.20 11:26,U,2023.6.22 2:40,,170868.0461,336100.3045,분뇨등관련영업관리,,,,,0,,0
71,가축분뇨 수집운반업,09_30_01_P,4090000,4.09E+17,2014.3.25,,3,폐업,2,폐업,2022.4.12,,,,031-997-4141,,,경기도 김포시 하성면 전류리 54-1,"경기도 김포시 하성면 금포로 1931, 3층",10013,(주)김포신도시환경,2022.4.11 18:43,U,2022.4.13 2:40,축산분뇨 처리업,170130.7859,466316.2925,분뇨등관련영업관리,축산분뇨 처리업,,,,0,,0
72,가축분뇨 수집운반업,09_30_01_P,4050000,4.05E+17,2002.6.27,,3,폐업,2,폐업,2019.11.29,,,,313342229,,,,경기도 용인시 처인구 포곡읍 곡현로 197,449-815,청미축산환경,2019.12.2 14:32,U,2019.12.4 2:40,,219789.5622,422472.615,분뇨등관련영업관리,,,,,,,
73,가축분뇨 수집운반업,09_30_01_P,4050000,4.05E+17,2001.4.27,,3,폐업,2,폐업,2020.1.13,,,,313322331,,,경기도 용인시 처인구 원삼면 맹리 670-5 용인축협축분비료공장,"경기도 용인시 처인구 원삼면 죽양대로1626번길 2-29, 용인축협축분비료공장",17166,용인축협 축분비료공장,2020.1.13 18:16,U,2020.1.15 2:40,,229800.2303,409120.9273,분뇨등관련영업관리,,,,,,,
74,가축분뇨 수집운반업,09_30_01_P,4050000,4.05E+17,2002.6.27,,3,폐업,2,폐업,2019.11.29,,,,,,449-814,경기도 용인시 처인구 포곡읍 삼계리 275-21 재원(아)105동201호,,,청미축산환경,2019.12.2 14:36,U,2019.12.4 2:40,,,,분뇨등관련영업관리,,,,,,,
