번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,관광숙박업상세명
11,관광숙박업,03_11_01_P,4261000,CDFI2260031995000001,1995.8.3,2022.5.12,4,취소/말소/만료/정지/중지,31,등록취소,,,,,7074562155,,225-812,강원특별자치도 횡성군 우천면 오원리 539-1,강원특별자치도 횡성군 우천면 전재로 254,225-812,주식회사 코레스코(치악산 휴양콘도미니엄),2022.5.27 13:29,I,2023.6.13 0:00,,296891.7956,437821.0981,관광숙박업,관광사업,,4,기타,,,숙박시설,3,1,167,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,휴양콘도미니엄업
12,관광숙박업,03_11_01_P,4231000,CDFI2260031995000001,1995.3.2,2019.3.11,4,취소/말소/만료/정지/중지,31,등록취소,,,,,033-631-8711,,217-812,강원특별자치도 속초시 조양동 1401,강원특별자치도 속초시 동해대로 3964 (조양동),,(주)현대스카이리조트,2019.3.21 9:57,I,2023.6.13 0:00,,340179.6914,521888.1395,관광숙박업,관광사업,일반상업지역,9,기타,,,콘도미니엄,7,2,0,0,,,0,0,,0,0,,0,16185.08,,0,,,,,,,0,,,,16185,휴양콘도미니엄업
13,관광숙박업,03_11_01_P,3300000,CDFI2260031987000001,1987.3.7,2019.2.20,4,취소/말소/만료/정지/중지,31,등록취소,,,,,051-552-9511,,607-833,부산광역시 동래구 온천동 210-82번지,부산광역시 동래구 금강로 110 (온천동),,동방관광호텔,2019.3.11 14:20,U,2019.3.13 2:40,,389291.7172,192996.2534,관광숙박업,관광사업,,10,,,,숙박시설,8,2,40,3735,,,,,,,,,,,,,,,,,,,,,,,,
14,관광숙박업,03_11_01_P,4990000,CDFI2260032017000001,2017.8.29,2021.8.2,4,취소/말소/만료/정지/중지,31,등록취소,,,,,619489999,,,전라남도 완도군 신지면 대곡리 206-1,전라남도 완도군 신지면 신지로582번길 49,59146,완도 퍼핀스베이 리조트,2021.11.15 9:56,U,2021.11.17 2:40,,184626.9761,92578.82348,관광숙박업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,2100000000,,,,0,가족호텔업
15,관광숙박업,03_11_01_P,4840000,CDFI2260032000000001,2000.5.10,2015.10.1,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,545-813,"전라남도 광양시 봉강면 조령리 산 160-13번지 160-14, 160-15, 160-16",,,광양황금관광호텔,2017.8.29 13:41,I,2018.8.31 23:59,,251894.8361,176210.1601,관광숙박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,관광숙박업,03_11_01_P,6510000,CDFI2260032007001005,2007.4.12,2020.6.9,4,취소/말소/만료/정지/중지,31,등록취소,,,,,064-796-0657,,,제주특별자치도 제주시 한림읍 귀덕리 2575번지 푸른콘도,"제주특별자치도 제주시 한림읍 귀덕6길 146, 푸른콘도",63025,푸른콘도,2020.6.15 15:52,U,2020.6.17 2:40,,133987.7558,-6943.290884,관광숙박업,,자연녹지지역,4,,,,,3,1,50,4384,,,,,,,,,,4383.9,,,,,,,,,,,,,4384,휴양콘도미니엄업
17,관광숙박업,03_11_01_P,5370000,CDFI2260032012000001,2012.7.13,2019.4.26,4,취소/말소/만료/정지/중지,31,등록취소,,,,,055-991-1000,,656-130,경상남도 거제시 옥포동 34-1번지,경상남도 거제시 성산로 78-16 (옥포동),53215,베니키아호텔거제,2019.4.28 15:06,U,2019.4.30 2:40,,355812.8395,157207.2832,관광숙박업,,자연녹지지역,8,기타,,,숙박시설,8,1,,,,,,,,,,,,1383.58,,,,,,,,,500000000,,,,1384,관광호텔업
18,관광숙박업,03_11_01_P,5020000,CDFI2260032015000002,2015.3.5,2017.6.7,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,790-826,경상북도 포항시 남구 대잠동 780-177번지,경상북도 포항시 남구 행복길75번길 11 (대잠동),37662,영일대호텔,2017.6.15 17:20,I,2018.8.31 23:59,,410402.1405,281868.2114,관광숙박업,,자연녹지지역,3,기타,,,근린생활시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,소형호텔업
19,관광숙박업,03_11_01_P,5360000,CDFI2260032009000001,2009.12.9,2013.7.25,4,취소/말소/만료/정지/중지,31,등록취소,,,,,052-245-3496,,627-130,경상남도 밀양시 내이동 620-3번지,,,주식회사 금호디앤시,2013.12.30 11:26,I,2018.8.31 23:59,,358833.4427,223484.3308,관광숙박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,관광숙박업,03_11_01_P,5380000,CDFI2260032002000001,2002.9.13,2015.3.20,4,취소/말소/만료/정지/중지,31,등록취소,,,,,381-1010,,626-863,경상남도 양산시 하북면 순지리 618-2번지,경상남도 양산시 하북면 신평강변8길 11,626-863,통도자연관광호텔(주),2015.3.23 10:26,I,2018.8.31 23:59,,388965.7543,223508.7568,관광숙박업,관광사업,,9,,,,호텔,8,1,41,,Tongdo Nature Tourist Hotel Co.,Tourist Accommodations(Tourist Hotel),,,,,,,,4169.71,,,,,,,,,,,,,4170,관광호텔업
21,관광숙박업,03_11_01_P,4020000,CDFI2260031996000001,1996.12.2,2010.3.5,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,435-050,경기도 군포시 금정동 78-3번지,경기도 군포시 군포로 697  (금정동),,프린스관광호텔,2010.3.5 15:14,I,2018.8.31 23:59,,195027.2241,429518.3124,관광숙박업,,일반상업지역,8,기타,,,숙박시설,7,1,,,PRINCE TOURIST HOTEL,,,,,,,,,555.95,,,,,,,,,,,,,556,
22,관광숙박업,03_11_01_P,4080000,CDFI2260032004000001,2004.2.17,2022.8.4,4,취소/말소/만료/정지/중지,31,등록취소,,,,,031-671-2881,,456-931,경기도 안성시 양성면 산정리 163-22,경기도 안성시 양성면 양성로 349-61,17501,(주)레이크힐스리조트 안성,2022.10.31 9:51,U,2022.11.2 2:40,,217818.3556,398126.4934,관광숙박업,관광사업,,11,기타,,,콘도미니엄,9,2,88,13568654,LAKE HILLS ANSEONG CONDOMINIUM,Condominium,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,
23,관광숙박업,03_11_01_P,3930000,CDFI2260032010000001,2010.4.23,2018.6.1,4,취소/말소/만료/정지/중지,31,등록취소,,,,,031-475-1648,,425-868,경기도 안산시 단원구 고잔동 542-1번지,경기도 안산시 단원구 중앙대로 945 (고잔동),15361,럭셔리 관광호텔,2018.6.1 11:45,I,2018.8.31 23:59,,185904.3211,423906.3529,관광숙박업,,일반상업지역,7,,,,숙박시설,7,1,108,6719,,,,,,,,,,6719.01,,,,,,,,,806305189,,,,6719,관광호텔업
24,관광숙박업,03_11_01_P,4390000,CDFI2260031994000001,1994.3.11,2021.9.3,4,취소/말소/만료/정지/중지,31,등록취소,,,,,043-851-2800,,380-813,충청북도 충주시 동량면 하천리 산 53,충청북도 충주시 동량면 호반로 675-20,380-813,충주호리조트휴양콘도미니엄,2021.9.3 17:44,U,2021.9.5 2:40,,292540.4303,392996.4395,관광숙박업,관광사업,관리지역,21,기타,,,콘도미니엄,20,1,0,0,,,0,0,,0,0,,0,13842,,0,,,,,,,0,,,,13842,휴양콘도미니엄업
25,관광숙박업,03_11_01_P,4390000,CDFI2260032005000001,2005.7.11,2009.11.12,4,취소/말소/만료/정지/중지,31,등록취소,,,,,02-555-4996,,380-813,충청북도 충주시 동량면 하천리 487-3번지 487-3외 3필지,충청북도 충주시 동량면 호반로 675-27  (487-3외 3필지),,충주레이크팜,2011.8.17 16:00,I,2018.8.31 23:59,,292398.4498,393209.4984,관광숙박업,관광사업,관리지역,7,기타,,,콘도미니엄,4,3,,,,,,,,,,,,35765,,,,,,,,,,,,,35765,
26,관광숙박업,03_11_01_P,3010000,CDFI2260032008000001,2008.1.11,2011.1.5,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,100-130,서울특별시 중구 순화동 151번지 외 1필지 C동,"서울특별시 중구 칠패로 27  (순화동,외 1필지 C동)",,라마다호텔앤스위트 서울센트럴,2011.1.6 9:07,I,2018.8.31 23:59,,197462.1988,450878.2118,관광숙박업,관광사업,일반상업지역,28,기타,,,숙박시설,25,3,0,0,,,0,0,,0,0,,0,25524.92,,0,,,,,,,100000000,,,,25525,
27,관광숙박업,03_11_01_P,4600000,CDFI2260032017000001,2017.6.12,,1,영업/정상,13,영업중,,,,,416328890,,350-801,충청남도 홍성군 홍성읍 1006번지,충청남도 홍성군 홍성읍 조양로205번길 60,350-801,솔레어,2020.1.15 10:10,U,2020.1.17 2:40,,170860.3136,344405.3827,관광숙박업,,상업지역,6,주택가주변,,,숙박시설,6,,24,932,,,,,,,,,,174.79,,,,,,,,,1160000000,,,,175,소형호텔업
28,관광숙박업,03_11_01_P,4620000,CDFI2260032010000001,2010.4.27,,1,영업/정상,13,영업중,,,,,041-671-8000,,,충청남도 태안군 근흥면 정죽리 386-1,충청남도 태안군 근흥면 정산포로 217,32131,골든베이골프앤리조트,2023.4.27 9:12,U,2023.4.29 2:40,,125959.3747,356945.5997,관광숙박업,,관리지역,7,기타,,,콘도미니엄,6,1,56,8391,GOLDEN BAY GOLF & RESORT,RESORT CONDOMINIUM,0,0,,0,0,,0,2031,,0,,,,,,,500000000,,,,2031,휴양콘도미니엄업
29,관광숙박업,03_11_01_P,4620000,CDFI2260032012000001,2012.8.28,,1,영업/정상,13,영업중,,,,,,,357-904,충청남도 태안군 태안읍 도내리 309-3번지,충청남도 태안군 태안읍 안도내길 28-14,32137,라모스 호스텔,2020.1.10 13:48,U,2020.1.12 2:40,,140222.3986,368136.8702,관광숙박업,,관리지역,4,기타,,,숙박시설,4,,10,1689,LAMOSE HOSTEL,hostel,,,,,,,,424,,,,,,,,,1500000000,,,,424,호스텔업
30,관광숙박업,03_11_01_P,4620000,CDFI2260032013000001,2013.2.21,,1,영업/정상,13,영업중,,,,,041-675-9551,,,충청남도 태안군 소원면 의항리 977-56번지,충청남도 태안군 소원면 만리포2길 235-9,32121,베이브리즈,2020.1.10 13:45,U,2020.1.12 2:40,,123773.4345,366219.7979,관광숙박업,,관리지역,5,기타,,,호텔,4,1,31,1892,BAY BREEZE,Family hotel business,,,,,,,,1344,,,,,,,,,600000000,,,,1344,가족호텔업
31,관광숙박업,03_11_01_P,4620000,CDFI2260032001000001,2001.7.21,,1,영업/정상,13,영업중,,,,,041-671-7000,,357-962,충청남도 태안군 안면읍 중장리 765-81,충청남도 태안군 안면읍 꽃지해안로 204,,아일랜드리솜,2021.12.2 11:21,U,2021.12.4 2:40,,140547.516,332172.5104,관광숙박업,관광사업,상업지역,12,기타,,,숙박시설,11,1,248,30834,ISLAND RESOM,RESORT CONDOMINIUM,0,0,,0,0,,0,30834.15,,0,,,,,,,0,,,,30834,휴양콘도미니엄업
32,관광숙박업,03_11_01_P,4620000,CDFI2260032015000001,2015.11.12,,1,영업/정상,13,영업중,,,,,,,,충청남도 태안군 소원면 의항리 1192,충청남도 태안군 소원면 만리포1길 95,32123,말리오션스파,2023.2.9 13:28,U,2023.2.11 2:40,,123624.0447,365392.5206,관광숙박업,,관리지역,6,기타,,,호텔,5,1,47,2705,,,0,0,,0,0,,0,2704.88,,0,,,,,,,0,,,,2705,가족호텔업
33,관광숙박업,03_11_01_P,4620000,CDFI2260032017000001,2017.8.11,,1,영업/정상,13,영업중,,,,,,,,충청남도 태안군 소원면 모항리 1438번지,충청남도 태안군 소원면 만리포2길 120,32123,롱비치패밀리호텔,2020.4.28 8:51,U,2020.4.30 2:40,,123294.5883,365146.1987,관광숙박업,,,,,,,숙박시설,5,2,33,2603,,,,,,,,,,2603.13,,,,,,,,,6E+11,,,,2603,가족호텔업
34,관광숙박업,03_11_01_P,4570000,CDFI2260032005000001,2005.12.1,,1,영업/정상,13,영업중,,,,,041-835-0870,,323-808,충청남도 부여군 부여읍 쌍북리 433번지,충청남도 부여군 부여읍 북포로 108,33132,백제관광호텔,2020.2.18 17:19,U,2020.2.20 2:40,,192932.7104,310125.0042,관광숙박업,관광사업,자연녹지지역,4,기타,,,콘도미니엄,3,1,41,,BAEKJE TOURIST HOTEL,LODGING BUSINESS,,,,,,,,3990.67,,,,,,,,,400000000,,,,3991,관광호텔업
35,관광숙박업,03_11_01_P,4570000,CDFI2260032010000001,2010.8.27,,1,영업/정상,13,영업중,,,,,041-939-1000,,323-812,충청남도 부여군 규암면 합정리 578,충청남도 부여군 규암면 백제문로 400,33115,(주)호텔롯데,2023.2.22 17:14,U,2023.2.24 2:40,,191011.9948,311472.3716,관광숙박업,,관리지역,10,기타,,,콘도미니엄,10,1,322,0,,,0,0,,0,0,,0,31710.1,,0,,,,,,,45000000,,,,31710,휴양콘도미니엄업
36,관광숙박업,03_11_01_P,4530000,CDFI2260032009000001,2009.8.4,,1,영업/정상,13,영업중,,,,,041-689-7721,,356-872,충청남도 서산시 대산읍 화곡리 51,충청남도 서산시 대산읍 삼길포7로 6,31904,서산수 휴양콘도미니엄,2022.1.24 11:15,U,2022.1.26 2:40,,151134.3102,388392.7264,관광숙박업,,자연녹지지역,4,기타,,,콘도미니엄,4,0,115,0,,,0,0,,0,0,,0,10444,,0,,,,,,,500000000,,,,10444,
37,관광숙박업,03_11_01_P,3000000,CDFI2260032018000004,2018.7.5,,1,영업/정상,13,영업중,,,,,02-730-3455,,,서울특별시 종로구 관훈동 198-11 호텔 썬비,"서울특별시 종로구 인사동7길 26, 호텔 썬비 (관훈동)",3149,호텔 썬비,2022.1.4 17:12,U,2022.1.6 2:40,,198586.8652,452307.0715,관광숙박업,,일반상업지역,10,기타,,(주)KB손해보험,호텔,9,1,42,2071,Hotel Sunbee,Tourist Accommodation Business,0,0,,0,0,,0,2070.85,,0,,,,,,,100000000,,,,2071,관광호텔업
38,관광숙박업,03_11_01_P,3010000,CDFI2260032015000013,2015.5.15,,1,영업/정상,13,영업중,,,,,02-755-1300,,100-873,서울특별시 중구 회현동1가 99-18번지,서울특별시 중구 퇴계로8길 31-9 (회현동1가),4634,루미아 호텔,2019.12.9 10:06,U,2019.12.11 2:40,,198142.8812,450638.8105,관광숙박업,,준주거지역,0,학교정화(상대),,,호텔,5,1,34,0,Lumia Hotel,Hostel,0,0,,0,0,,0,956.48,,0,,,,,,,0,,,,956,호스텔업
39,관광숙박업,03_11_01_P,3010000,CDFI2260032015000014,2015.6.24,,1,영업/정상,13,영업중,,,,,2198-1212,,100-412,서울특별시 중구 광희동2가 17,서울특별시 중구 장충단로 226 (광희동2가),4565,소테츠호텔즈 더 스프라지르 서울 동대문,2021.6.2 9:43,U,2021.6.4 2:40,,200614.7247,451381.2495,관광숙박업,,일반상업지역,0,,,4성,호텔,21,4,215,0,SOTETSU HOTELS THE SPLAISIR SEOUL DONGDAEMUN,Tourist Hotel,0,0,,0,0,,0,12562.85,,0,,,,,,,0,,,,12563,관광호텔업
40,관광숙박업,03_11_01_P,3010000,CDFI2260032015000015,2015.6.26,,1,영업/정상,13,영업중,,,,,02  740 4500,,100-860,서울특별시 중구 충무로2가 12-7,서울특별시 중구 명동8가길 53 (충무로2가),4537,호텔 크레토,2021.4.26 11:51,U,2021.4.28 2:40,,198877.8236,451079.5618,관광숙박업,,중심상업지역,10,학교정화(상대),,2성,,9,1,35,0,HOTEL CRETO,Tourist Hotel,0,0,,0,0,,0,1377.07,,0,,,,,,,0,,,,1377,관광호텔업
41,관광숙박업,03_11_01_P,3010000,CDFI2260032015000016,2015.7.30,,1,영업/정상,13,영업중,,,,,02-776-0588,,100-804,서울특별시 중구 남창동 9-15 10층,"서울특별시 중구 퇴계로 61, 10층 (남창동)",4529,24게스트하우스 명동타운점,2023.6.27 16:49,U,2023.6.29 2:40,,198065.8456,450787.3968,관광숙박업,,일반상업지역,0,,,,,10,0,11,0,24Guesthouse Myeongdong town,Hostel,0,0,,0,0,,0,267.23,,0,,,,,,,0,,,,267,호스텔업
42,관광숙박업,03_11_01_P,3010000,CDFI2260032015000017,2015.8.27,,1,영업/정상,13,영업중,,,,,2271-3501,,,서울특별시 중구 쌍림동 270-2,서울특별시 중구 퇴계로 306 (쌍림동),4615,호텔 더 디자이너스 동대문,2021.4.26 11:51,U,2021.4.28 2:40,,200429.9294,451264.5958,관광숙박업,,,0,,,기간만료,,17,3,99,0,HOTEL THE DESIGNERS DONGDAEMUN,Tourist Hotel,0,0,,0,0,,0,4804.48,,0,,,,,,,0,,,,4804,관광호텔업
43,관광숙박업,03_11_01_P,3010000,CDFI2260032015000018,2015.9.11,,1,영업/정상,13,영업중,,,,,02-773-5553,,,서울특별시 중구 명동2가 31-1,"서울특별시 중구 명동8길 27 (명동2가, 엠 플라자)",4536,솔라리아 니시테츠 호텔 서울 명동,2021.5.25 9:27,U,2021.5.27 2:40,,198619.3882,451135.7403,관광숙박업,,중심상업지역,0,학교정화(상대),,3성,호텔,0,0,312,0,Solaria Nishitetsu Hotel Seoul Myeong-dong,Tourist Hotel,0,0,,0,0,,0,12388.79,,0,,,,,,,0,,,,12389,관광호텔업
44,관광숙박업,03_11_01_P,3010000,CDFI2260032015000019,2015.9.17,,1,영업/정상,13,영업중,,,,,070-7779-3327,,,서울특별시 중구 태평로2가 366-1 3층,"서울특별시 중구 덕수궁길 7, 3층 (태평로2가, 오천회관빌딩)",4515,24게스트하우스 서울시청점,2021.4.29 11:10,U,2021.5.1 2:40,,197838.5063,451380.7703,관광숙박업,,일반주거지역,0,,,,,3,0,11,358,24Guesthouse Seoul Cityhall,Hostel,0,0,,0,0,,0,357.77,,0,,,,,,,0,,,,358,호스텔업
45,관광숙박업,03_11_01_P,3010000,CDFI2260032015000020,2015.9.23,,1,영업/정상,13,영업중,,,,,752-0022,,,서울특별시 중구 명동1가 10-1,"서울특별시 중구 명동9길 16 (명동1가, 명동 센트럴빌딩 호텔스카이파크)",4538,호텔 스카이파크 센트럴 명동점,2023.1.9 15:00,U,2023.1.11 2:40,,198625.2543,451373.686,관광숙박업,,중심상업지역,0,,,3성,,16,7,312,18586,HOTEL SKYPARK CENTRAL Myeongdong,Tourist Hotel,0,0,,0,0,,0,18585.89,,0,,,,,,,0,,,,18586,관광호텔업
46,관광숙박업,03_11_01_P,3010000,CDFI2260032015000021,2015.10.6,,1,영업/정상,13,영업중,,,,,779-9888,,,서울특별시 중구 을지로5가 274-1,"서울특별시 중구 동호로35길 5 (을지로5가, 석광빌딩)",4547,에이큐브 호텔,2021.4.26 11:53,U,2021.4.28 2:40,,200110.3353,451549.0544,관광숙박업,,,0,,,기간만료,,8,2,43,0,ACUBE HOTEL,Tourist Hotel,0,0,,0,0,,0,2387.18,,0,,,,,,,0,,,,2387,관광호텔업
47,관광숙박업,03_11_01_P,3010000,CDFI2260032015000022,2015.10.14,,1,영업/정상,13,영업중,,,,,02-750-5900,,,서울특별시 중구 소공동 70,"서울특별시 중구 남대문로7길 19 (소공동, 삼영빌딩)",4532,크라운파크 호텔,2021.4.26 11:53,U,2021.4.28 2:40,,198232.0039,451276.3073,관광숙박업,,,0,,,3성,,16,2,204,9940,CROWN PARK HOTEL,TOURIST HOTEL,0,0,,0,0,,0,9940.25,,0,,,,,,,0,,,,9940,관광호텔업
48,관광숙박업,03_11_01_P,3010000,CDFI2260032015000023,2015.11.2,,1,영업/정상,13,영업중,,,,,02-2095-4953,,,서울특별시 중구 북창동 93-99,서울특별시 중구 남대문로5길 15 (북창동),4526,소테츠호텔즈 더 스프라지르 서울 명동,2021.6.2 9:44,U,2021.6.4 2:40,,198053.6383,451086.2998,관광숙박업,,,0,,,4성,,17,5,428,0,SOTETSU HOTELS THE SPLAISIR SEOUL MYEONG-DONG,Tourist Hotel,0,0,,0,0,,0,18598.8,,0,,,,,,,0,,,,18599,관광호텔업
49,관광숙박업,03_11_01_P,3010000,CDFI2260032015000024,2015.12.21,,1,영업/정상,13,영업중,,,,,2271-0827,,,서울특별시 중구 주교동 125-2,"서울특별시 중구 청계천로 184 (주교동, 남강빌딩)",4546,2U호스텔,2023.5.25 13:59,U,2023.5.27 2:40,,199770.3777,451814.6004,관광숙박업,,,0,,,,,0,0,20,0,2U HOSTEL,Hostel,0,0,,0,0,,0,358.02,,0,,,,,,,0,,,,358,호스텔업
50,관광숙박업,03_11_01_P,3010000,CDFI2260032016000001,2016.1.7,,1,영업/정상,13,영업중,,,,,6112-1000,,,서울특별시 중구 장교동 74,"서울특별시 중구 삼일대로 362 (장교동, 장교빌딩)",4541,롯데시티호텔명동,2023.3.3 9:04,U,2023.3.5 2:40,,198876.9253,451628.1532,관광숙박업,,,0,,,4성,,25,5,435,0,Lotte City Hotel Myeongdong,Tourist Hotel,0,0,,0,0,,0,25333.62,,0,,,,,,,0,,,,25334,관광호텔업
51,관광숙박업,03_11_01_P,3010000,CDFI2260032011000001,2011.9.28,,1,영업/정상,13,영업중,,,,,756-9700,,100-861,서울특별시 중구 충무로2가 62-9,서울특별시 중구 퇴계로 139 (충무로2가),,호텔 스카이파크3,2023.1.3 18:05,U,2023.1.5 2:40,,198814.8844,451003.687,관광숙박업,,중심상업지역,11,,,2성,호텔,9,2,136,0,HOTEL SKYPARK Ⅲ,TOURIST HOTEL,0,0,,0,0,,0,5866,,0,,,,,,,1500000000,,,,5866,관광호텔업
