순번,시도본부,소방서,119안전센터명,주소,전화번호
46,서울,서초,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),02-572-5523
47,서울,서초,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),02-3473-0119
48,서울,서초,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-532-7119
49,서울,서초,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),02-522-6119
50,서울,강서,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120
51,서울,강서,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170
52,서울,강서,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175
53,서울,강서,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180
54,서울,강서,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185
55,서울,강서,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190
56,서울,강동,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),02-6981-7750
57,서울,강동,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),02-474-1721
58,서울,강동,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),02-426-0431
59,서울,강동,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),02-429-0427
60,서울,강동,길동119안전센터,서울특별시 강동구 천중로 215 (길동),02-487-6119
61,서울,강동,강일119안전센터,서울특별시 강동구 고덕로98길 22 (강일동),02-6981-7790
62,서울,마포,신수119안전센터,서울특별시 마포구 창전로 76 (신수동),02-6981-7930
63,서울,마포,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965
64,서울,마포,서교119안전센터,서울특별시 마포구 양화로 60 (서교동),02-3143-2119
65,서울,마포,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119
66,서울,마포,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976
67,서울,마포,상암119안전센터,서울특별시 마포구 월드컵북로 42길 34 (상암동),02-309-5119
68,서울,도봉,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8180
69,서울,도봉,도봉119안전센터,서울특별시 도봉구 도봉로 721 (방학동),02-6981-8182
70,서울,도봉,창동119안전센터,서울특별시 도봉구 해등로 25 (창동),02-6981-8184
71,서울,도봉,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동),02-6981-8186
72,서울,구로,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),02-6981-6372
73,서울,구로,고일119안전센터,서울특별시 구로구 경인로 408 (고척동),02-2619-0119
74,서울,구로,고척119안전센터,서울특별시 구로구 고척로 195 (고척동),02-6981-6378
75,서울,구로,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),02-6981-6384
76,서울,구로,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-6981-6390
77,서울,구로,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-6981-6396
78,서울,금천,하계119안전센터,서울특별시 노원구 한글비석로1길 8 (하계동),02-6981-6940
79,서울,금천,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),02-6981-6969
80,서울,노원,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),02-6981-6979
81,서울,노원,월계119안전센터,서울특별시 노원구 월계로 323 (월계동),02-6981-6989
82,서울,노원,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),02-6981-6999
83,서울,노원,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),02-6981-8340
84,서울,노원,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),02-886-0119
85,서울,관악,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),02-874-0119
86,서울,관악,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),02-859-0119
87,서울,관악,마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5343
88,서울,관악,거여119안전센터,서울특별시 송파구 마천로 329 (마천동),02-6981-5362
89,서울,송파,방이119안전센터,서울특별시 송파구 강동대로 286 (방이동),02-6981-5370
90,서울,송파,잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),02-6981-5378
91,서울,송파,종합운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동),02-6981-5387
92,서울,송파,가락119안전센터,서울특별시 송파구 양재대로 932 (가락동),02-6981-5394
93,서울,송파,양천119안전센터,서울특별시 양천구 목동서로 180 (목동),02-6981-8750
94,서울,송파,신정119안전센터,서울특별시 양천구 신월로 268 (신정동),02-6981-8760
95,서울,양천,목동119안전센터,서울특별시 양천구 안양천로 1139 (목동),02-6981-8765
96,서울,양천,신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동),02-6981-8790
97,서울,양천,신트리119안전센터,서울특별시 양천구 신정로 238 (신정동),02-6981-8795
98,서울,양천,신내119안전센터,서울특별시 중랑구 신내로 183 (신내동),02-6981-8850
99,서울,양천,면목119안전센터,서울특별시 중랑구 동일로 475 (면목동),02-6981-8962
100,서울,중랑,망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동),02-6981-8972
101,서울,중랑,중화119안전센터,서울특별시 중랑구 동일로 783 (중화동),02-6981-8982
102,서울,중랑,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7871
103,서울,중랑,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동),02-6913-7881
104,서울,동작,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동),02-6913-7888
105,서울,동작,백운119안전센터,서울특별시 동작구 사당로 63 (상도동),02-6913-7895
106,서울,동작,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),02-6981-5520
107,서울,동작,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-6981-5539
108,서울,서대문,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-6981-5549
109,서울,서대문,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),02-6981-5559
110,서울,서대문,번동119안전센터,서울특별시 강북구 한천로 911 (번동),02-6946-0250
111,서울,서대문,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119
112,서울,강북,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),02-983-9111
113,서울,강북,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119
114,서울,강북,행당119안전센터,서울특별시 성동구 살곶이길 331(행당동),02-2622-1740
115,서울,강북,성수119안전센터,서울특별시 성동구 뚝섬로 452(성수동2가),02-2622-1751
116,서울,성동,왕십리119안전센터,서울특별시 성동구 고산자로 249(도선동),02-2622-1761
117,서울,성동,금호119안전센터,서울특별시 성동구 난계로 19(금호동1가),02-2622-1771
118,서울,성동,시흥119안전센터,서울특별시 금천구 시흥대로45길 31 시흥119안전센터,02-6981-6552
119,서울,성동,금천119안전센터,서울특별시 금천구 시흥대로 342(독산2동),
120,부산,중부,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6111
121,부산,중부,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6121
122,부산,중부,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),051-760-6131
123,부산,중부,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),051-760-6141
124,부산,중부,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),051-760-6151
125,부산,부산진,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),051-760-6211
126,부산,부산진,범일119안전센터,부산광역시 동구 범일로 115(범일동),051-760-6221
127,부산,부산진,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231
128,부산,부산진,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),051-760-6241
129,부산,부산진,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),051-760-6251
130,부산,부산진,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261
131,부산,부산진,안창119안전센터,부산광역시 동구 안창로 62(범일동),051-760-6271
132,부산,동래,연산119안전센터,부산광역시 연제구 고분로 216(연산동),051-760-6311
133,부산,동래,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6321
134,부산,동래,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),051-760-6331
135,부산,동래,양정119안전센터,부산광역시 부산진구 연수로 44(양정동),051-760-6341
136,부산,동래,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),051-760-6351
137,부산,북부,삼락119안전센터,부산광역시 사상구 삼덕로 17(삼락동),051-760-6411
138,부산,북부,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),051-760-6421
139,부산,북부,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),051-760-6431
140,부산,북부,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),051-760-6451
141,부산,북부,주례119안전센터,부산광역시 사상구 양지로22번길 7(주례동),051-760-6461
142,부산,북부,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),051-760-6471
143,부산,북부,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),051-760-6481
144,부산,북부,금곡119안전센터,부산광역시 북구 금곡대로616번길 151(금곡동),051-760-6491
145,부산,북부,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),051-760-6441
146,부산,사하,신평119안전센터,부산광역시 사하구 장평로 270(신평동),051-760-6512
147,부산,사하,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),051-760-6522
148,부산,사하,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),051-760-6532
149,부산,사하,다대119안전센터,부산광역시 사하구 다대로 622(다대동),051-760-6542
150,부산,사하,감천119안전센터,부산광역시 사하구 원양로 405(감천동),051-760-6552
151,부산,해운대,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),051-760-6611
152,부산,해운대,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6621
153,부산,해운대,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6631
154,부산,해운대,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),051-760-6651
155,부산,해운대,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),051-760-6641
156,부산,해운대,반송119안전센터,부산광역시 해운대구 아랫반송로 10(반송동),051-760-6661
157,부산,금정,부곡119안전센터,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711
158,부산,금정,서동119안전센터,부산광역시 동래구 반송로 331(명장동),051-760-6721
159,부산,금정,남산119안전센터,부산광역시 금정구 두실로 46(남산동),051-760-6731
160,부산,금정,산성119안전센터,부산광역시 금정구 산성로 396(금성동),051-760-6751
161,부산,남부,광안119안전센터,부산광역시 수영구 광일로 64(광안동),051-760-6811
162,부산,남부,감만119안전센터,부산광역시 남구 우암로 81(감만동),051-760-6821
163,부산,남부,대연119안전센터,부산광역시 남구 수영로 279(대연동),051-760-6831
164,부산,남부,망미119안전센터,부산광역시 수영구 연수로 330(망미동),051-760-6841
165,부산,남부,용당119안전센터,부산광역시 남구 신선로 398(용당동),051-760-6851
166,부산,강서,녹산119안전센터,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6011
167,부산,강서,신호119안전센터,부산광역시 강서구 신호산단4로 62(신호동),051-760-6021
168,부산,강서,대저119안전센터,부산광역시 강서구 대저로221번길 25(대저1동),051-760-6031
169,부산,강서,강동119안전센터,부산광역시 강서구 제도로 696(강동동),051-760-6041
170,부산,강서,지사119안전센터,부산광역시 강서구 과학산단로333번길 3(지사동),051-760-6051
171,부산,기장,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5411
172,부산,기장,기장119안전센터,부산광역시 기장군 기장읍 차성동로5번길 16(기장읍),051-760-5421
173,부산,기장,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),051-760-5431
174,부산,기장,장안119안전센터,부산광역시 기장군 장안읍 효암리 256,051-760-5441
175,부산,항만,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),051-760-6911
176,부산,항만,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),051-760-6921
177,부산,항만,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),051-760-6931
178,부산,항만,청학119안전센터,부산광역시 영도구 태종로 274(청학동),051-760-6941
179,대구,중부,남산119안전센터,대구광역시 중구 달구벌대로 1926,053-601-4571
180,대구,중부,서문로119안전센터,대구광역시 중구 경상감영길 45,053-601-4572
181,대구,중부,봉덕119안전센터,대구광역시 남구 희망로3길 29,053-601-4573
182,대구,중부,대신119안전센터,대구광역시 중구 큰장로26길 45,053-601-4574
183,대구,중부,삼덕119안전센터,대구광역시 중구 공평로 35,053-601-4575
184,대구,중부,명덕119안전센터,대구광역시 남구 명덕로34길 22,053-601-4577
185,대구,중부,성명119안전센터,대구광역시 남구 대명남로 12-1,053-601-4578
186,대구,동부,신천119안전센터,대구광역시 동구 동대구로 507,053-605-5320
187,대구,동부,동촌119안전센터,대구광역시 동구 해동로 180,053-605-5330
188,대구,동부,안심119안전센터,대구광역시 동구 반야월로 291,053-605-5340
189,대구,동부,불로119안전센터,대구광역시 동구 팔공로50길 19,053-605-5350
190,대구,동부,공산119안전센터,대구광역시 동구 팔공산로 1579,053-605-5360
191,대구,동부,율하119안전센터,대구광역시 동구 율하동로8길 5,053-605-5370
192,대구,서부,평리119안전센터,대구광역시 서구 달서천로 186,053-320-4492
193,대구,서부,이현119안전센터,대구광역시 서구 국채보상로 119,053-320-4493
194,대구,서부,읍내119안전센터,대구광역시 북구 칠곡중앙대로 570,053-320-4494
195,대구,서부,내당119안전센터,대구광역시 서구 서대구로3길 16,053-320-4495
196,대구,서부,비산119안전센터,대구광역시 서구 달서로 206,053-3204496
197,대구,서부,태전119안전센터,대구광역시 북구 칠곡중앙대로 184,053-320-4497
198,대구,서부,동천119안전센터,대구광역시 북구 구암로 155,053-320-4498
199,대구,서부,금호119안전센터,대구광역시 북구 한강로 105,053-320-4469
200,대구,북부,칠성119안전센터,대구광역시 북구 칠성남로 112,053-350-5720
201,대구,북부,침산119안전센터,대구광역시 북구 침산남로 149,053-350-5740
202,대구,북부,노원119안전센터,대구광역시 북구 노원로 42,053-350-5750
203,대구,북부,대현119안전센터,대구광역시 북구 대현로 105,053-350-5770
204,대구,북부,무태119안전센터,대구광역시 북구 호국로43길 21,053-350-5780
205,대구,북부,산격119안전센터,대구광역시 북구 유통단지로8길 88,053-350-5790
206,대구,수성,범물119안전센터,대구광역시 수성구 청호로 87,053-607-3822
207,대구,수성,만촌119안전센터,대구광역시 수성구 달구벌대로 2658,053-607-3842
208,대구,수성,황금119안전센터,대구광역시 수성구 동대구로12길 41,053-607-3852
209,대구,수성,상동119안전센터,대구광역시 수성구 파동로51길 5,053-607-3862
210,대구,수성,가창119안전센터,대구광역시 달성군 가창면 가창로 1100,053-607-3920
211,대구,수성,수성119안전센터,대구광역시 수성구 들안로60길 30,053-607-3872
212,대구,수성,무열로119안전센터,대구광역시 수성구 무열로 139,053-607-3882
213,대구,수성,고산119안전센터,대구광역시 수성구 고산로 105,053-607-3892
214,대구,달서,월성119안전센터,대구광역시 달서구 학산로 75,059-607-2932
215,대구,달서,본리119안전센터,대구광역시 달서구 대명천로 134,053-607-2952
216,대구,달서,송현119안전센터,대구광역시 달서구 월배로 262,053-607-2962
217,대구,달서,도원119안전센터,대구광역시 달서구 도원로 8,053-607-2972
218,대구,달성,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,053-602-4932
219,대구,달성,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4952
220,대구,달성,화원119안전센터,대구광역시 달성군 화원읍 화암로 122,053-602-4962
221,대구,달성,구지119안전센터,대구광역시 달성군 구지면 달성2차로 111,053-602-4972
222,대구,달성,옥포119안전센터,대구광역시 달성군 옥포읍 돌미로 93,053-602-4982
223,대구,강서,다사119안전센터,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5620
224,대구,강서,성서119안전센터,대구광역시 달서구 성서로 357,053-601-5630
225,대구,강서,죽전119안전센터,대구광역시 달서구 와룡로 222,053-601-5640
226,대구,강서,대천119안전센터,대구광역시 달서구 달서대로58길 129,053-601-5650
227,대구,강서,매곡119안전센터,대구광역시 달성군 다사읍 달구벌대로 753,053-601-5660
228,인천,중부,중앙119안전센터,인천광역시 중구 인중로 204,032-870-5180
229,인천,중부,송현119안전센터,인천광역시 동구 방축로 39,032-576-0119
230,인천,중부,송림119안전센터,인천광역시 동구 샛골로 133,032-764-7119
231,인천,중부,만석119안전센터,인천광역시 동구 제물량로 396,032-766-0119
232,인천,중부,연안119안전센터,인천광역시 중구 축항대로 118,032-887-4689
233,인천,중부,백령119안전센터,인천광역시 옹진군 백령면 백령남로 30,032-836-0119
234,인천,남동,구월119안전센터,인천광역시 남동구 인주대로 714,032-870-5221
235,인천,남동,만수119안전센터,인천광역시 남동구 백범로 207,032-870-5222
236,인천,남동,간석119안전센터,인천광역시 남동구 경인로 621,032-870-5223
237,인천,남동,담방119안전센터,인천광역시 남동구 매소홀로 1044,032-870-5224
238,인천,남동,서창119안전센터,인천광역시 남동구 서창방산로 61,032-870-5259
239,인천,부평,갈산119안전센터,인천광역시 부평구 부평대로 324,032-723-5353
240,인천,부평,부평119안전센터,인천광역시 부평구 부평대로 8,032-723-5354
241,인천,부평,십정119안전센터,인천광역시 부평구 경원대로 1111,032-723-5355
242,인천,부평,산곡119안전센터,인천광역시 부평구 마장로 198,032-723-5356
243,인천,부평,부개119안전센터,인천광역시 부평구 부개로 6,032-723-5357
244,인천,부평,삼산119안전센터,인천광역시 부평구 충선로 252,032-723-5358
245,인천,서부,연희119안전센터,인천광역시 서구 서곶로292,032-723-5421
246,인천,서부,가좌119안전센터,인천광역시 서구 백범로678번길 17,032-578-0119
247,인천,서부,신현119안전센터,인천광역시 서구 가정로 333-1,032-572-0119
248,인천,서부,석남119안전센터,인천광역시 서구 석남로102,032-571-0119
249,인천,서부,검단119안전센터,인천광역시 서구 완정로 191,032-565-0119
250,인천,서부,오류119안전센터,인천광역시 서구 검단로 229,032-566-1118
251,인천,서부,검암119안전센터,인천광역시 서구 승학로 474,032-568-7119
252,인천,서부,원당119안전센터,인천광역시 서구 원당대로 881,032-563-1195
253,인천,서부,청라119안전센터,인천광역시 서구 청라한내로 77 ,032-569-5026
254,인천,서부,원창119안전센터,인천광역시 서구 북항로32번길 47-5,032-577-0119
255,인천,공단,고잔119안전센터,인천광역시 남동구 남동서로 208,032-723-5521
256,인천,공단,옥련119안전센터,인천광역시 연수구 청량로 155번길 7,032-832-0119
257,인천,공단,도림119안전센터,인천광역시 남동구 비류대로 667,032-814-2119
258,인천,공단,동춘119안전센터,인천광역시 연수구 앵고개로 241,032-813-2119
259,인천,공단,논현119안전센터,인천광역시 남동구 소래역로 109,032-439-2119
260,인천,공단,소래119안전센터,인천광역시 남동구 에코중앙로 86,032-432-0440
261,인천,계양,작전119안전센터,인천광역시 계양구 장제로 774,032-650-5621
262,인천,계양,계산119안전센터,인천광역시 계양구 주부토길 557,032-542-0119
263,인천,계양,장기119안전센터,인천광역시 계양구 장기서로 14,032-515-6119
264,인천,계양,효성119안전센터,인천광역시 계양구 효서로 96-1,032-541-0119
265,인천,미추홀,신기119안전센터,인천광역시 미추홀구 인하로 190,032-870-3295
266,인천,미추홀,주안119안전센터,인천광역시 미추홀구 한나루로 607,032-870-3452
267,인천,미추홀,도화119안전센터,인천광역시 미추홀구 장고개로 85,032-870-3453
268,인천,미추홀,용현119안전센터,인천광역시 미추홀구 독배로 376,032-887-3454
269,인천,미추홀,관교119안전센터,인천광역시 미추홀구 인하로 450,032-870-3455
270,인천,미추홀,숭의119안전센터,인천광역시 미추홀구 석정로 51,032-870-3456
271,인천,강화,불은119안전센터,인천광역시 강화군 불은면 중앙로 505,032-930-5811
272,인천,강화,강화119안전센터,인천광역시 강화군 강화읍 남문로23번길 11,032-930-5894
273,인천,강화,길상119안전센터,인천광역시 강화군 길상면 마니산로 93,032-930-5822
274,인천,강화,내가119안전센터,인천광역시 강화군 내가면 강화서로 235-1,032-930-5823
275,인천,영종,공항119안전센터,인천광역시 중구 제2터미널대로 268 ,032-727-6180
276,인천,영종,운서119안전센터,인천광역시 중구 흰바위로27번길 16,032-727-6182
277,인천,영종,운남119안전센터,인천광역시 중구 운남로 116,032-727-6181
278,인천,영종,용유119안전센터,인천광역시 중구 용유서로128번길 1,032-727-6183
279,인천,송도,미래119안전센터,인천광역시 연수구 첨단대로 60번길 15,032-810-6660
280,인천,송도,신송119안전센터,인천광역시 연수구 해돋이로 92,032-810-6683
281,인천,송도,영흥119안전센터,인천광역시 영흥면 영흥로 283-32,032-810-6692
282,인천,송도,국제119안전센터,인천광역시 연수구 센트럴로 412,032-831-6119
283,광주,동부,대인119안전센터,광주광역시 동구 제봉로 210(대인동),062-606-4203
284,광주,동부,용산119안전센터,광주광역시 동구 남문로 535(용산동),062-606-4403
285,광주,동부,지산119안전센터,광주광역시 동구 밤실로30번길 16(지산동),062-606-4423
286,광주,서부,화정119안전센터,광주광역시 서구 화운로 197(화정동),062-606-4255
287,광주,서부,염주119안전센터,광주광역시 서구 염화로 77(화정동),062-606-4507
288,광주,서부,금호119안전센터,광주광역시 서구 운천로 112(쌍촌동),062-606-4525
289,광주,서부,상무119안전센터,광주광역시 서구 치평로 65(치평동),062-606-4543
290,광주,서부,풍암119안전센터,광주광역시 서구 회재로 907(금호동),062-606-4564
291,광주,남부,송하119안전센터,광주광역시 남구 송암로58번길 13(송하동),062-606-4303
292,광주,남부,월산119안전센터,광주광역시 남구 수박등로 1(월산동),062-606-4603
293,광주,남부,봉선119안전센터,광주광역시 남구 오방로 63(방림동),062-606-4623
294,광주,북부,문흥119안전센터,광주광역시 북구 서하로 290(오치동),062-606-4353
295,광주,북부,임동119안전센터,광주광역시 북구 서림로 5(임동),062-606-4703
296,광주,북부,우산119안전센터,광주광역시 북구 동문대로 127(우산동),062-606-4723
297,광주,북부,일곡119안전센터,광주광역시 북구 설죽로 529(일곡동),062-606-4743
298,광주,북부,두암119안전센터,광주광역시 북구 삼정로 5(두암동),062-606-4763
299,광주,북부,동림119안전센터,광주광역시 북구 북문대로 202(동림동),062-606-4783
300,광주,광산,하남119안전센터,광주광역시 광산구 하남산단1번로 13(하남동),062-606-4903
301,광주,광산,송정119안전센터,광주광역시 광산구 상무대로 93-1(도산동),062-606-4803
302,광주,광산,월곡119안전센터,광주광역시 광산구 우산로 85번길 12-5(우산동),062-606-4828
303,광주,광산,비아119안전센터,광주광역시 광산구 비아로12번길 10(비아동),062-606-4843
304,광주,광산,신가119안전센터,광주광역시 광산구 수등로 236(신가동),062-606-4863
305,광주,광산,첨단119안전센터,광주광역시 광산구 임방울대로825번길 16(쌍암동),062-606-4883
306,광주,광산,평동119안전센터,광주광역시 광산구 월전로 59(월전동),062-606-4953
307,대전,동부,가양119안전센터,대전광역시 동구 계족로 300,042-270-1221
308,대전,동부,삼성119안전센터,대전광역시 동구 태전로 134,042-270-1231
309,대전,동부,원동119안전센터,대전광역시 동구 대전천동로 508,042-270-1241
310,대전,동부,부사119안전센터,대전광역시 중구 대종로 373,042-270-1251
311,대전,동부,산내119안전센터,대전광역시 동구 산내로 1328,042-270-1261
312,대전,동부,용운119안전센터,대전광역시 동구 용운로 151번길 88,042-270-1271
313,대전,둔산,갈마119안전센터,대전광역시 서구 갈마중로 15,042-270-1804
