순번,본부명,소방서,주소,전화번호
132,충북,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7000
133,충북,증평소방서,충청북도 증평군 충청대로 1789,043-830-0100
134,충북,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8110
135,충북,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0100
136,충북,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0201
137,충북,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56,043-767-4100
138,충남,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0201
139,충남,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단2길 32,041-360-0200
140,충남,공주소방서,충청남도 공주시 무령로 55,041-851-0201
141,충남,보령소방서,충청남도 보령시 성주산로 63,041-930-0201
142,충남,아산소방서,충청남도 아산시 모종로 77,041-538-0201
143,충남,서산소방서,충청남도 서산시 호수공원 14로 26-4,041-689-0200
144,충남,논산소방서,충청남도 논산시 대학로 17,041-730-0201
145,충남,계룡소방서,충청남도 계룡시 엄사면 문화로32,042-540-5200
146,충남,당진소방서,충청남도 당진시 역천로 838,041-350-5201
147,충남,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1201
148,충남,부여소방서,충청남도 부여군 규암면 계백로17,041-830-0200
149,충남,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0201
150,충남,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7200
151,충남,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0201
152,충남,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4201
153,충남,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0201
154,전북,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,063-250-4201
155,전북,전주완산소방서,전라북도 전주시 완산구 거마평로 73,063-220-4201
156,전북,군산소방서,전라북도 군산시 번영로 308,063-450-0201
157,전북,익산소방서,전라북도 익산시 무왕로 1338,063-839-3201
158,전북,정읍소방서,전라북도 정읍시 서부산업도로 507-5,063-570-1201
159,전북,남원소방서,전라북도 남원시 요천로 1965,063-630-8201
160,전북,김제소방서,전라북도 김제시 벽성로 278,063-540-4201
161,전북,완주소방서,전라북도 완주군 삼례읍 삼봉로 518,063-290-0201
162,전북,진안소방서,전라북도 진안군 진안읍 쇠징계로 9,063-786-5201
163,전북,장수소방서,전라북도 장수군 장계면 육십령로 136,063-350-6201
164,전북,순창소방서,전라북도 순창군 순창읍 교성로 24,063-650-9201
165,전북,고창소방서,전라북도 고창군 고창읍 녹두로 1294,063-560-1201
166,전북,부안소방서,전라북도 부안군 행안면 변산로 86,063-580-1201
167,전남,목포소방서,전라남도 목포시 삼향천로 110,061-280-0900
168,전남,여수소방서,전라남도 여수시 망마로 20,061-680-0900
169,전남,순천소방서,전라남도 순천시 서면 삼산로 281,061-750-0900
170,전남,나주소방서,전라남도 나주시 예향로 4201,061-330-0900
171,전남,광양소방서,전라남도 광양시 중마중앙로 109,061-798-0900
172,전남,담양소방서,전라남도 담양군 담양읍 추성로 1232,061-380-0900
173,전남,고흥소방서,전라남도 고흥군 풍양면 고흥로 1330,061-840-0900
174,전남,보성소방서,전라남도 보성군 벌교읍 녹색로 5247,061-859-0900
175,전남,화순소방서,전라남도 화순군 화순읍 학포로 2750,061-379-0900
176,전남,장흥소방서,전라남도 장흥군 장흥읍 북부로 138,061-850-0900
177,전남,강진소방서,전라남도 강진군 군동면 중앙로 223,061-430-0900
178,전남,해남소방서,전라남도 해남군 해남읍 교육청길 82,061-530-0900
179,전남,영암소방서,전라남도 영암군 삼호읍 나불로 192,061-460-0900
180,전남,무안소방서,전라남도 무안군 무안읍 공항로 133,061-450-0900
181,전남,함평소방서,전라남도 함평군 대동면 학동로386,061-338-0900
182,전남,영광소방서,전라남도 영광군 영광읍 함영로 3508,061-350-0900
183,전남,장성소방서,전라남도 장성군 장성읍 단풍로 204,061-360-0900
184,전남,완도소방서,전라남도 완도군 농공단지길7,061-470-0900
185,전남,진도소방서,전라남도 진도군 진도대로 6945,061-530-0953
186,전남,신안소방서,전라남도 신안군 암태면 단고리 973-6,061-280-0979
187,경북,포항북부소방서,경상북도 포항시 북구 중앙로 332,054-260-2101
188,경북,포항남부소방서,경상북도 포항시 남구 동해안로 5890,054-288-0800
189,경북,경주소방서,경상북도 경주시 알천남로 276,054-778-0500
190,경북,김천소방서,경상북도 김천시 강변로 219,054-420-5800
191,경북,안동소방서,경상북도 안동시 육사로 301,054-850-6600
192,경북,구미소방서,경상북도 구미시 수출대로 112,054-440-0100
193,경북,영주소방서,경상북도 영주시 문수면 적서로 448번길 17,054-630-0302
194,경북,영천소방서,경상북도 영천시 호국로 187,054-332-0119
195,경북,상주소방서,경상북도 상주시 상산로 322,054-530-3700
196,경북,문경소방서,경상북도 문경시 중앙로 305,054-559-1800
197,경북,경산소방서,경상북도 경산시 압량읍 김유신로 12,053-819-6200
198,경북,의성소방서,경상북도 의성군 봉양면 대로 4741,054-830-7700
199,경북,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401,054-730-1500
200,경북,청도소방서,경상북도 청도군 청도읍 중앙로 192-34,054-370-8200
201,경북,고령소방서,경상북도 고령군 대가야읍 벽화길 18,054-950-8000
202,경북,성주소방서,경상북도 성주군 성주읍 주산로 193,054-930-5500
203,경북,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216,054-970-2700
204,경북,예천소방서,경상북도 예천군 예천읍 양궁로 61-12,054-650-3400
205,경북,울진소방서,경상북도 울진군 울진읍 울진북로 508,054-780-1300
206,경남,진주소방서,경상남도 진주시 동진로 249,055-760-9200
207,경남,통영소방서,경상남도 통영시 광도면 죽림4로 49,055-640-9200
208,경남,사천소방서,경상남도 사천시 남일로 29,055-830-9200
209,경남,김해동부소방서,경상남도 김해시 김해대로 2507,055-320-9200
210,경남,김해서부소방서,경상남도 김해시 진례면 서부로 730,055-344-9200
211,경남,밀양소방서,경상남도 밀양시 밀양대공원로 66,055-350-9200
212,경남,거제소방서,경상남도 거제시 진목로 1,055-689-9200
213,경남,양산소방서,경상남도 양산시 물금읍 황산로 719,055-379-9200
214,경남,의령소방서,경상남도 의령군 의령읍 의병로 108-17,055-570-9200
215,경남,함안소방서,경상남도 함안군 가야읍 선왕길 59,055-580-9200
216,경남,창녕소방서,경상남도 창녕군 대지면 우포2로 1097,055-259-9200
217,경남,고성소방서,경상남도 고성군 고성읍 남해안대로 2670,055-670-9200
218,경남,남해소방서,경상남도 남해군 남해읍 스포츠로 81,055-860-9200
219,경남,하동소방서,경상남도 하동군 금성면 금성로 15,055-880-9200
220,경남,산청소방서,경상남도 산청군 산청읍 중앙로 76-7,055-970-9200
221,경남,함양소방서,경상남도 함양군 함양읍 고운로 161-41,055-960-9200
222,경남,거창소방서,경상남도 거창군 거창읍 거함대로 3324,055-940-9200
223,경남,합천소방서,경상남도 합천군 합천읍 인덕로 2453,055-930-9200
224,제주,제주소방서,제주특별자치도 제주시 중앙로 342(이도이동),064-729-0103
225,제주,서귀포소방서,제주특별자치도 서귀포시 서호남로 20(법환동),064-730-7101
226,제주,서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150,064-795-0101
227,제주,동부소방서,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,064-780-9133
228,창원,의창소방서,경상남도 창원시 의창구 의창대로272번길 10,055-225-9200
229,창원,성산소방서,경상남도 창원시 의창구 상남로 165,055-211-9200
230,창원,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,055-249-9200
