"기관ID","주소","병원분류","병원분류명","응급의료기관코드","응급의료기관코드명","응급실운영여부","비고","기관설명상세","간이약도","기관명","대표전화1","응급실전화","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업시간"
"A1100001","서울특별시 동대문구 경희대로 23 (회기동)","A","종합병원","G006","지역응급의료센터","1","주말 및 공휴일 예약진료","서울대입구역 2번 출구 100 미터 이내입니다 . 지하2층에 주차장 있읍니다 .","회기역 1번 출구","경희대학교병원","02-958-8114","02-958-8282","1730","1730","1730","1730","1730","1230","1800","1500","0830","0830","0830","0830","0830","0900","0900","1000","024","47","127.05183223390303","37.5938765502235","2022-07-07 14:55:09.0"
"A1100014","서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동)","A","종합병원","G001","권역응급의료센터","1","점심시간 13:00~14:00","고려고든정외과는 서울시 금천구 시흥사거리  신한은행4층에 위치하고 있으며 항시 정형외과 전문의가 상주하고 있습니다 입원실 운영하며 산재자보 의보 의료보호 등 모든진료가 가능한 병원입니다","구로구청 인근","고려대학교의과대학부속구로병원","02-2626-1114","02-2626-1550","1730","1730","1730","1730","1730","1200","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","083","08","126.8847449363546","37.49211114525054","2022-07-07 14:55:09.0"
"A1100026","서울특별시 구로구 경인로 427 구로성심병원 (고척동)","A","종합병원","G007","지역응급의료기관","1","일요일 공휴일 휴무","안녕하세요? 최고의 치료가 될 수 있도록 최선을 다하는 구대한의원입니다. 머리떨림 틱장애 파킨슨병 디스크 등의 질환을 치료합니다.","구일역 2번 출구 고척 스카이 돔구장 맞은편","구로성심병원","02-2067-1500","02-2067-1515","1730","1730","1730","1730","1730","1230","1600","1800","0900","0900","0900","0900","0900","0900","0900","0830","082","23","126.86636039556485","37.49964578669388","2022-07-07 14:55:10.0"
"A1100052","서울특별시 중구 을지로 245 (을지로6가)","A","종합병원","G099","응급의료기관 이외","1","접수시간 : 평일 08:30~17:00 / 토요일 08:30~12:00 진료시간 : 평일 09:00~17:00","외래 30분전 접수마감/토요일은 일부과만 진료하며 진료과 사정상 토요진료가 어려울 수 있으니 안내전화로 문의 후 내원하시기 바랍니다.  ☎ 1588-1775(ARS 안내)","동대문역사문화공원역 13번출구 도보5분","국립중앙의료원","0222607114","02-2260-7414","1700","1700","1700","1700","1700","1200","1200","1500","0830","0830","0830","0830","0830","0830","0900","0930","045","64","127.00579539705472","37.56733955813183","2022-07-07 14:55:10.0"
"A1100048","서울특별시 노원구 한글비석로 68 을지병원 (하계동)","A","종합병원","G006","지역응급의료센터","1","점심시간 13:00~14:00","일반진료/미용성형/봉합/","하계역 3번 출구","노원을지대학교병원","02-970-8000","02-970-8282","1700","1700","1700","1700","1700","1200","1500","1500","0900","0900","0900","0900","0900","0900","0830","0830","018","30","127.07000281991385","37.636442927386746","2022-07-07 14:55:12.0"
"A1100044","서울특별시 중랑구 사가정로49길 53 (면목동)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","일반진료/미용성형/봉합/","사가정역 1번 출구/까치어린이공원 옆","녹색병원","02-490-2000","02-490-2113","1730","1730","1730","1730","1730","1230","1400","1300","0830","0830","0830","0830","0830","0830","0930","0900","022","21","127.08605546969357","37.58362083896108","2022-07-07 14:55:12.0"
"A1100037","서울특별시 영등포구 시흥대로 657 (대림동 대림성모병원)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","매주 수요일 야간 진료","구로디지털단지역 6번 출구 도보 10분","대림성모병원","02-829-9000","02-829-9129","1730","1730","1730","1730","1730","1230","1300","1500","0830","0830","0830","0830","0830","0830","0930","0900","074","42","126.90716948025135","37.49068925436284","2022-07-07 14:55:13.0"
"A1100114","서울특별시 양천구 남부순환로 331 (신월동 메디힐병원)","B","병원","G009","응급실운영신고기관","1","점심시간 13:00~14:00","체형교정센터를 찾아주시는 환자 분들의 편의를 위한 사전 예약서비스입니다. 예약이 어려우시면 02-978-9910으로 전화 주세요.","5호선 화곡역 / 신월5동 주민센터인근","메디힐병원","02-2604-7551","02-2602-2468","1800","1800","1800","1800","1800","1300","1800","1800","0900","0900","0900","0900","0900","0900","1000","1000","079","05","126.82784183916537","37.53726143022979","2022-07-07 14:55:15.0"
"A1100024","서울특별시 영등포구 도림로 156 명지성모병원 (대림동)","A","종합병원","G007","지역응급의료기관","1","점심시간 없이 진료","보건복지부 지정 뇌혈관 전문병원 ( 종합병원 )","대림역 11번 출구","명지성모병원","02-1899-1475","02-829-7800","1800","1800","1800","1800","1800","1300","1800","1600","0900","0900","0900","0900","0900","0900","1400","0830","074","17","126.89925446922592","37.4938507104387","2022-07-07 14:55:15.0"
"A1100046","서울특별시 강서구 강서로 295 (내발산동)","A","종합병원","G009","응급실운영신고기관","1","점심시간 13:00~14:00","종합병원이며 산부인과 전문병원입니다. 진료과목은 소아청소년과내분비내과소화기내과심장내과류마티스내과가정의학과비뇨의학과외과영상의학과마취통증의학과병리과진단검사의학과 전문센터로는 Miz분만센터아이드림센터(난임)키즈센터복강경센터유방센터소화기내시경센터국민건강검진센터 운영.","압구정로데오역 2번 출구와 청담역 9번 출구 사이/청담사거리 인근","미즈메디병원","02-2007-1000","02-2007-1118","1700","1700","1700","1700","1700","1230","1300","1500","0830","0830","0830","0830","0830","0830","0900","1030","076","39","126.83602535156236","37.55225379358291","2022-07-07 14:55:16.0"
"A1100036","서울특별시 강서구 공항대로 389 부민병원 (등촌동)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","무섭고 긴장되는 치과진료  편하고 따뜻하게 치료 받으실 수 있도록 언제나 정성을 다한 진료를 약속드립니다. 궁금하신 점은 02-487-9875로 편하게 연락주세요.","제기동역 2번 출구","부민병원","1577-7582","02-2620-0119","1800","1700","1700","1700","1700","1300","1700","1500","0900","0900","0900","0900","0900","0900","0930","0930","075","90","126.85094950539181","37.556940892893586","2022-07-07 14:55:18.0"
"A1100148","서울특별시 관악구 남부순환로 1860 -11345층 (봉천동  )","B","병원","G009","응급실운영신고기관","1","신정 광복절 크리스마스 휴진 그 외 공휴일 09:00~13:00 진료","건강검진실/인공신장실 운영 보훈위탁병원 자보/산재 지정병원","2호선 서울대입구역 1번출구 200m","사랑의병원","02-880-0114","02-880-0119","1800","1800","1800","1800","1800","1300","1900","1900","0900","0900","0900","0900","0900","0900","0800","0800","087","89","126.95628690505781","37.47962442359666","2022-07-07 14:55:18.0"
"A1100010","서울특별시 강남구 일원로 81 (일원동 삼성의료원)","A","종합병원","G006","지역응급의료센터","1","공휴일은 전화 확인 후 방문해주세요","외래진료시간은 진료과목별 운영","일원역 1번 출구","삼성서울병원","02-3410-2114","02-3410-2060","1530","1530","1530","1530","1530","1300","1300","1300","0830","0830","0830","0830","0830","0900","0900","0800","063","51","127.08668245340024","37.48851613490445","2022-07-07 14:55:19.0"
"A1100021","서울특별시 동대문구 망우로 82 (휘경동)","A","종합병원","G006","지역응급의료센터","1","점심시간 12:00~13:00","수액o/이물제거x/소아진료가능","회기역 2번 출구","삼육서울병원","02-2244-0191","02-2210-3566","1700","1700","1700","1700","1230","1500","1700","1700","0900","0900","0900","0900","0900","0930","0900","1000","025","00","127.0653288266823","37.587992001305395","2022-07-07 14:55:19.0"
"A1100017","서울특별시 종로구 대학로 101 (연건동)","A","종합병원","G001","권역응급의료센터","1","점심시간13:00~14:00","서울대학교병원 치과진료는 서울대학교 치과병원에 문의 및 별도 접수 필요","혜화역 3번 출구","서울대학교병원","1588-5700","02-2072-2475","1800","1800","1800","1800","1800","1330","1200","2200","0800","0800","0800","0800","0800","0800","0900","0900","030","80","126.99896308412191","37.57966608924356","2022-07-07 14:55:19.0"
"A1100050","서울특별시 동대문구 왕산로 259 서울성심병원 (청량리동)","A","종합병원","G007","지역응급의료기관","1","진료시간 1시간전 접수마감합니다.","황학동 곱창골목에 위치한 가정의학과 입니다","청량리역 3번 출구","서울성심병원","02-966-1616","02-966-1616","1740","1730","1740","1730","1740","1300","1400","1400","0900","0900","0900","0900","0900","0900","1000","1000","024","88","127.04983805981972","37.58419129209865","2022-07-07 14:55:20.0"
"A1100029","서울특별시 종로구 새문안로 9 적십자병원 (평동)","A","종합병원","G007","지역응급의료기관","1","접수시간(평일오전: 08:30~11:30 평일오후:13:30~16:30)","항문(전문)/하지정맥/갑상선/유방/위내시경/대장내시경/봉합/화상/탈장","서대문 사거리 지하철 5호선 서대문역 4번 출구 10미터","서울적십자병원","02-2002-8000","02-2002-8888","1700","1700","1700","1700","1700","1400","1000","1300","0900","0900","0900","0900","0900","0900","0930","0900","031","81","126.96699861289684","37.56715536263689","2022-07-07 14:55:21.0"
"A1100022","서울특별시 동대문구 무학로 124 (용두동)","A","종합병원","G007","지역응급의료기관","1","점심시간 12:30~14:00","서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.","제기동역 6번 출구","서울특별시동부병원","02-920-9114","02-920-9119","1730","1730","1730","1730","1730","1230","1330","1330","0900","0900","0900","0900","0900","0930","0900","0900","025","84","127.03140257525507","37.57539886464885","2022-07-07 14:55:21.0"
"A1100040","서울특별시 동작구 보라매로5길 20 (신대방동)","A","종합병원","G006","지역응급의료센터","1","점심시간 12:30~14:00","서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.","제기동역 6번 출구","서울특별시보라매병원","02-870-2114","02-870-2119","1700","1700","1700","1700","1700","1200","1330","1330","0900","0900","0900","0900","0900","0900","0900","0900","070","61","126.92404876254014","37.4937184009319","2022-07-07 14:55:21.0"
"A1100223","서울특별시 양천구 신정이펜1로 20 (신정동)","A","종합병원","G007","지역응급의료기관","1","코로나 19 전담병원 지정으로 인해 일부 외래 진료가 축소 운영됩니다.  2020년 9월 7일부터 의사의 판단에 따라 안전성 확보가 가능한 경우 환자가 의료기관을 방문하지 않고 전화상담 또는 처방을 받을 수 있도록 한시적으로 운영합니다.","노인전문병원. 치매전문. 재활치료","신정이펜하우스 아파트 인근","서울특별시서남병원","1566-6688","02-6300-9129","1730","1730","1730","1730","1730","1200","1330","1330","0830","0830","0830","0830","0830","0900","0900","0900","080","49","126.8331299304024","37.51201935883779","2022-07-07 14:55:21.0"
"A1100035","서울특별시 중랑구 신내로 156 (신내동)","A","종합병원","G001","권역응급의료센터","1","토요일은 단순진료 (예:감기)만","응급결핵환자는 휴일없이 24시간 접수가능함","봉화산역 3번 출구/신내역 1번 출구","서울특별시서울의료원","02-2276-7000","02-2276-7403","1730","1730","1730","1730","1730","1230","1330","1330","0900","0900","0900","0900","0900","0900","0900","0900","020","53","127.0980910949257","37.61286931510163","2022-07-07 14:55:21.0"
"A1100172","서울특별시 강북구 도봉로 374 (번동 서울현대병원)","B","병원","G009","응급실운영신고기관","1","일요일 공휴일 휴무 항상진료 및 수술함 점심시간 13:00~14:00","24시간 응급진료 및 응급수술하며. 특히 상하지절단 접헙수술 힘줄 혈관신경절단접합 수술 골절 및 탈구수술 및 정복 어깨 및 슬관절.고관절.기타관절의 인공관절수술 척추체골절 및 디스크파열 수술 맹장.탈장.담석등 복강경수술  기타 MRI.CT.초음파.위대장내시경등 검사.","4호선 수유역 1번 출구(강북구청 사거리)","서울현대병원","1588-6853","02-902-9119","1800","1800","1800","1800","1800","1300","1400","1400","0900","0900","0900","0900","0900","0900","1000","1000","010","56","127.0281656123363","37.63992822276144","2022-07-07 14:55:21.0"
"A1100028","서울특별시 강동구 성안로 150 (길동)","A","종합병원","G006","지역응급의료센터","1","점심시간 12:30~13:30","공휴일 1시에서 3시 정도에 진료 마감(변동있음)","강동역 2번 출구","성심의료재단강동성심병원","02-2224-2114","02-2224-2358","1700","1700","1700","1700","1700","1200","1900","1500","0830","0830","0830","0830","0830","0830","1030","0830","053","55","127.13526354631517","37.53598408220376","2022-07-07 14:55:22.0"
"A1100054","서울특별시 영등포구 여의대방로53길 22 (신길동 성애병원)","A","종합병원","G006","지역응급의료센터","1","점심시간:12시~13시30분","뇌신경센터 소화기내시경센터 관절센터 등을 운영하고 있으며 응급심혈관시술 가능 응급의료센터는 24시간 전문의 직접 진료 가능.","대방역 3번 출구","성애의료재단성애병원","02-840-7114","02-840-7115","1730","1730","1730","1730","1730","1300","1300","1500","0900","0900","0900","0900","0900","0900","0800","0830","073","54","126.92236733617031","37.51205044957338","2022-07-07 14:55:22.0"
"A1100032","서울특별시 종로구 통일로 256 (무악동)","A","종합병원","G007","지역응급의료기관","1","일요일은 월1회 예약제 진료","365일 내과 소아과 진료합니다. 평일은 9시부터 23시까지 주말 공휴일은 9시부터 21시까지 진료합니다.","독립문역 1번 출구","세란병원","02-737-0181","02-737-0181","1800","1800","1800","1800","1800","1230","1400","2050","0900","0900","0900","0900","0900","0900","1000","0900","030","30","126.9577071892358","37.57534016994642","2022-07-07 14:55:22.0"
"A1100004","서울특별시 용산구 대사관로 59 (한남동)","A","종합병원","G006","지역응급의료센터","1","13-14","비만/비염/통증(어깨 허리 무릎)","효창공원앞역 2번출구 금양초 맞은편","순천향대학교부속서울병원","02-709-9114","02-709-9117","1700","1700","1700","1700","1700","1300","1400","1400","0900","0900","0900","0900","0900","0900","0900","0900","044","01","127.00441798640304","37.53384172231443","2022-07-07 14:55:22.0"
"A1100063","서울특별시 마포구 서강로 110 지2층~6층 (신수동)","B","병원","G009","응급실운영신고기관","1","금요일 예약진료","신촌 로터리 위치 절단혈관신경 등 미세수지 접합 수술 잘함. 24시간 365일 응급실 운영","신촌지하철역 8번출구","신촌연세병원","02-337-7582","02-337-7582","1700","1700","1700","1700","1700","1230","2359","1700","0830","0830","0830","0830","0830","0830","0000","0900","040","94","126.93372939201893","37.55257735393295","2022-07-07 14:55:23.0"
"A1100045","서울특별시 영등포구 영등포로36길 13 (영등포동4가 충무병원)","A","종합병원","G009","응급실운영신고기관","1","점심시간 13:00~14:00","CM병원은 68년의 전통을 가진 종합병원으로서 정형외과1~11 내과1~3 산부인과  일반외과 신경과 마취통증의학과 진단검사의학과 영상진단의학과 건강관리과를 갖추고 있습니다.","영등포소방서 뒷편 영등포 타임스퀘어 맞은편","씨엠병원","02-2678-0001","070-4698-7811","1730","1730","1730","1730","1730","1230","1600","1400","0900","0900","0900","0900","0900","0900","1000","0900","073","01","126.90367981067837","37.518848328762154","2022-07-07 14:55:23.0"
"A1100041","서울특별시 관악구 남부순환로 1636 양지병원 (신림동)","A","종합병원","G006","지역응급의료센터","1","산부인과내과 (월요일~금요일) 09:00 ~ 19:00소아과외과 (월요일~금요일) 09:00 ~ 18:00","26개과 281병상 운영 종합병원","서울 관악구 신림동 신림사거리에서 강남방향100미터(지하철2호선1번출구)","에이치플러스양지병원","02-1877-8875","070-4665-9119","1730","1730","1730","1730","1730","1230","1500","1300","0830","0830","0830","0830","0830","0830","0930","0900","087","79","126.93253922577287","37.48427507045319","2022-07-07 14:55:24.0"
"A1100015","서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동)","A","종합병원","G006","지역응급의료센터","1","135째주 토요일은 휴진 24째주는 14시까지 진료","소아청소년과전문의","한티역 6번 출구 도곡중 옆","연세대학교의과대학강남세브란스병원","02-2019-3114","02-2019-3333","1730","1730","1730","1730","1730","1230","1800","1430","0830","0830","0830","0830","0830","0830","1400","1000","062","73","127.04631254186797","37.492806984645476","2022-07-07 14:55:25.0"
"A1100007","서울특별시 서대문구 연세로 50-1 (신촌동)","A","종합병원","G006","지역응급의료센터","1","135째주 토요일은 휴진 24째주는 14시까지 진료","소아청소년과전문의","2호선 신촌역 1번출구 셔틀버스 이용 또는 3번 출구 10분 거리/중앙선 신촌역 2번 출구","연세대학교의과대학세브란스병원","02-2228-0114","02-2227-7777","1730","1730","1730","1730","1730","1230","1800","1430","0830","0830","0830","0830","0830","0830","1400","1000","037","22","126.94082769649863","37.56211711412639","2022-07-07 14:55:25.0"
"A1100042","서울특별시 강서구 하늘길 70 (과해동)","A","종합병원","G009","응급실운영신고기관","1","마지막 주 토요일 휴진","척추관절 원인치료 최소절개 서울김포공항 우리들병원","1)지하철 김포공항역 내려서 한국공항공사 출구에서 200m 2)버스 정류장 한국공항공사하차후 100m","우리들병원","02-2660-7500","02-2660-7057","1800","1800","1800","1800","1800","1300","1300","1300","0930","0930","0930","0930","0930","0930","0900","0900","075","05","126.7963653099318","37.56199597494205","2022-07-07 14:55:27.0"
"A1100152","서울특별시 은평구 연서로 177 (갈현동)","B","병원","G009","응급실운영신고기관","1","점심시간 : 12:30~14:00","갑상선유방치질하지정맥류 전문","6호선 구산역 4번출구 36호선 연신내역 6번 출구","은평연세병원","02-388-8114","02-388-0119","1730","1730","1730","1730","1730","1230","1400","1300","0830","0830","0830","0830","0830","0830","1000","0900","033","34","126.91747199206596","37.61469222070537","2022-07-07 14:55:29.0"
"A1100025","서울특별시 서대문구 연희로 272 동신병원 본관동 (홍은동)","A","종합병원","G007","지역응급의료기관","1","토요일은 진료과 확인후 내원 바랍니다.","점심시간 12:00~13:00","서대문구청앞 교차로 인근","의료법인동신의료재단동신병원","02-396-9161","02-396-9161","1730","1730","1730","1730","1730","1230","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","036","53","126.93658306608872","37.58110428173239","2022-07-07 14:55:29.0"
"A1100030","서울특별시 강북구 도봉로 301 (수유동 대한병원)","A","종합병원","G009","응급실운영신고기관","1","법정 공휴일은 기본적으로 휴진이나 법정 및 대체 공휴일의 진료는 상황에 따라 진료여부가 변경될 수 있습니다.","국가유공자 보훈지정병원한방병원협진","지하철 4호선 수유역 5번 출구역 정면방향 3분거리","의료법인성화의료재단대한병원","02-903-3231","02-905-9110","1800","1800","1800","1800","1800","1300","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","010","81","127.02267251878474","37.63547043209498","2022-07-07 14:55:29.0"
"A1100255","서울특별시 영등포구 당산로31길 10 (당산동3가)","B","병원","G009","응급실운영신고기관","1","일반진료 외 클리닉 진료 스케쥴 방문 확인은 사전에 홈페이지 및 문의 후 방문 바랍니다. (설날  추석 당일 외래진료는 휴무입니다.)","의료재단 우리아이들병원은 서울 서남권역 최초로 설립된 어린이 병원으로서 20명의 소아청소년 전문의(소아영상의학과 소아내분비과 소아청소년 정신건강의학과 소아심장과 소아치과)와 130여 명의 병원 가족들이 함께 우리아이들의 건강을 책임지고 있습니다.","영등포구청역 3번 출구  영등포구청 옆","의료법인인봉의료재단영등포병원","02-2635-2809","02-2632-0013","1730","1730","1730","1730","1730","1230","1600","1600","0830","0830","0830","0830","0830","0830","0900","0900","072","56","126.89561256105342","37.52685673672304","2022-07-07 14:55:29.0"
"A1100023","서울특별시 은평구 통일로 873 (갈현동)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","뇌졸중 파킨슨병 치매를 비롯한 노인성질환에 적합한 신경과 재활의학 및 신장내과 한방과 진료합니다. [전문재활치료 신경과특화 인공신장실 양한방협진 인증의료기관 적정성평가1등급 소방안전관리모범사업장]","연신내역 7번 출구","의료법인청구성심병원","02-350-3300","02-383-0129","1730","1730","1730","1730","1730","1220","2200","2200","0830","0830","0830","0830","0830","0830","0900","0900","033","30","126.91955399169245","37.62079154435882","2022-07-07 14:55:29.0"
"A1100075","서울특별시 중랑구 망우로 511 (망우동 동부제일병원)","A","종합병원","G007","지역응급의료기관","1","응급실운영시간 : 24시간","건강검진센터를 포함한 모든 진료과가 08시(오전 8시) 부터 시작합니다.","7호선 상봉역 5번출구에서 구리방향버스 탑승","의료법인풍산의료재단동부제일병원","02-437-5011","02-490-8880","1730","1730","1730","1730","1730","1230","2200","2200","0800","0800","0800","0800","0800","0800","0900","0900","020","63","127.1090292210168","37.60067564592665","2022-07-07 14:55:29.0"
"A1100020","서울특별시 도봉구 우이천로 308 한일병원 (쌍문동)","A","종합병원","G006","지역응급의료센터","1","토요진료 한시적 중단","의료법인한국의료재단","쌍문역 3번 출구","의료법인한전의료재단한일병원","02-901-3114","02-901-3119","1730","1730","1730","1730","1730","1400","2200","2200","0900","0900","0900","0900","0900","0900","0900","0900","014","50","127.02902417950423","37.64611570419094","2022-07-07 14:55:29.0"
"A1100005","서울특별시 양천구 안양천로 1071 (목동)","A","종합병원","G001","권역응급의료센터","1","공휴일 진료시간은 변동 가능성 있으니 전화 후 방문 바랍니다.","평일 외래진료시간 진료과목별 차이운영","당산역 영등포구청역 오목교역에서 셔틀버스 이용","이화여자대학교의과대학부속목동병원","02-2650-5114","02-2650-5911","1800","1800","1800","1800","1800","1200","1800","1300","0800","0800","0800","0800","0800","0900","1000","1000","079","85","126.8862159683056","37.53654282637804","2022-07-07 14:55:30.0"
"A1120796","서울특별시 강서구 공항대로 260 이화의대부속서울병원 (마곡동)","A","종합병원","G006","지역응급의료센터","1","공휴일 진료시간은 변동 가능성 있으니 전화 후 방문 바랍니다.","평일 외래진료시간 진료과목별 차이운영","당산역 영등포구청역 오목교역에서 셔틀버스 이용","이화여자대학교의과대학부속서울병원","1522-7000","02-6986-5119","1700","1700","1700","1700","1700","1200","1800","1300","0830","0830","0830","0830","0830","0830","1000","1000","078","04","126.8362659275","37.557261149","2022-07-07 14:55:30.0"
