번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),법인구분명,구분명
12,무료직업소개소,11_50_01_P,4730000,2.01647E+18,2016.4.15,,1,영업/정상,20,영업중,,,,,,,,,전라북도 진안군 진안읍 진장로 22,55432,진안군 인력지원센터,2017.9.4 11:23,I,2018.8.31 23:59,,239123.9586,254779.4387,법인,무료
13,무료직업소개소,11_50_01_P,4700000,2.00647E+18,2006.3.2,,1,영업/정상,20,영업중,,,,,,,,전라북도 남원시 고죽동 200호 9통 4반 남원의료원사택 가 201,"전라북도 남원시 충정로 365, 가동 201호 (고죽동,남원의료원사택)",,전라북도남원의료원,2006.3.2 9:50,I,2018.8.31 23:59,,236989.2246,214775.9862,법인,무료
14,무료직업소개소,11_50_01_P,4700000,2.00747E+18,2007.10.11,,1,영업/정상,20,영업중,,,,,6201111,,590-702,전라북도 남원시 고죽동 200번지 남원의료원,"전라북도 남원시 충정로 365 (고죽동,남원의료원)",,전라북도남원의료원무료직업소개소,2007.10.11 15:24,I,2018.8.31 23:59,,236989.2246,214775.9862,법인,무료
15,무료직업소개소,11_50_01_P,4500000,2.00945E+18,2009.12.10,,1,영업/정상,20,영업중,,,,,041 856 7071,,,충청남도 공주시 계룡면 기산리 627번지 1호,충청남도 공주시 계룡면 영규대사로 747,314-834,충남남부장애인종합복지관 직업재활센터,2022.5.12 9:59,U,2022.5.14 2:40,,212770.7517,320166.0633,법인,무료
16,무료직업소개소,11_50_01_P,4510000,2.01645E+18,2016.7.15,,1,영업/정상,20,영업중,,,,,041 931 7202,,,충청남도 보령시 명천동 442-16 보령시니어클럽,"충청남도 보령시 보령남로 49, 보령시니어클럽 (명천동)",33475,보령시니어클럽,2023.6.12 17:06,U,2023.6.14 2:40,,164098.2444,315597.0356,법인,무료
17,무료직업소개소,11_50_01_P,4510000,2.00745E+18,2007.3.26,,1,영업/정상,20,영업중,,,,,041 935 9663,,,충청남도 보령시 대천동 54호 3통 1반,,,보령여성인력개발센터무료직업소개소,2023.6.8 14:14,U,2023.6.10 2:40,,164117.6356,316989.8712,법인,무료
18,무료직업소개소,11_50_01_P,4510000,2.00945E+18,2009.5.1,,1,영업/정상,20,영업중,,,,,041 934 7231,,,충청남도 보령시 주교면 관창리 397번지 4호,충청남도 보령시 주교면 보령북로 404,,충남서부장애인종합복지관,2023.7.13 14:24,U,2023.7.15 2:40,,162860.1302,319762.1453,법인,무료
19,무료직업소개소,11_50_01_P,4610000,2.00246E+18,2002.12.16,,1,영업/정상,20,영업중,,,,,041 334 6500,,,충청남도 예산군 신암면 신택리 174번지 3호,충청남도 예산군 신암면 추사고택로 496,,예산장애인무료직업소개소,2023.1.18 9:05,U,2023.1.20 2:40,,182956.3072,362270.4966,법인,무료
20,무료직업소개소,11_50_01_P,4600000,2.00146E+18,2001.5.24,,1,영업/정상,20,영업중,,,,,041 634 0267,,,충청남도 홍성군 금마면 장성리 230호 17통,,,홍성장애인무료직업소개소,2022.12.8 14:54,U,2022.12.10 2:40,,172743.5493,344129.8103,법인,무료
21,무료직업소개소,11_50_01_P,4600000,2.01446E+18,2014.4.21,,1,영업/정상,20,영업중,,,,,041 631 5815,,,,"충청남도 홍성군 홍성읍 의사로72번길 41-8, 1층",350-806,충남홍성지역자활센터,2022.12.8 14:45,U,2023.5.26 8:48,,170932.6836,344633.2427,법인,무료
22,무료직업소개소,11_50_01_P,4490000,2.00957E+18,2009.5.20,,1,영업/정상,20,영업중,,,,,041 551 0420,,331-210,충청남도 천안시 서북구 두정동 1843번지,충청남도 천안시 서북구 두정고2길 51 (두정동),331-964,천안시장애인종합복지관무료직업소개소,2022.4.19 12:39,U,2022.4.21 2:40,,211631.9857,370803.8847,법인,무료
23,무료직업소개소,11_50_01_P,4490000,2.01257E+18,2012.5.10,,1,영업/정상,20,영업중,,,,,041 589 0370,,,충청남도 천안시 서북구 직산읍 삼은리 503 (재)충남테크노파크천안밸리,"충청남도 천안시 서북구 직산읍 직산로 136, (재)충남테크노파크천안밸리 3210호",31035,(사)충남벤처협회,2023.3.21 17:42,U,2023.3.23 2:40,,214193.3391,376280.2491,법인,무료
24,무료직업소개소,11_50_01_P,4490000,2.01257E+18,2012.6.26,,1,영업/정상,20,영업중,,,,,041 553 1193,,,충청남도 천안시 동남구 안서동 522 단국대학교천안캠퍼스,"충청남도 천안시 동남구 단대로 119, 단국대학교산학협력관 507호 (안서동)",31116,(사)중소기업기술혁신협회대전세종충남지회 천안지부,2022.3.10 10:36,U,2022.3.12 2:40,,215074.4744,370829.4213,법인,무료
25,무료직업소개소,11_50_01_P,4490000,2.01257E+18,2012.12.5,,1,영업/정상,20,영업중,,,,,041 559 5724,,,충청남도 천안시 서북구 불당동 1418번지,충청남도 천안시 서북구 광장로 215 (불당동),331-985,충남북부상공회의소,2021.12.10 12:24,U,2021.12.14 2:40,,209609.0595,366312.6764,법인,무료
26,무료직업소개소,11_50_01_P,5580000,2.01256E+18,2012.12.27,,1,영업/정상,20,영업중,,,,,042 551 9191,,,충청남도 계룡시  14번지 7호 금암프라자 402호,"충청남도 계룡시 계룡대로 320, 402호 (금암동)",321-900,사회복지법인 계룡시사회복지협의회,2022.12.12 10:51,U,2022.12.14 2:40,,222907.066,308242.4316,법인,무료
27,무료직업소개소,11_50_01_P,3170000,2.01332E+18,2013.1.22,,1,영업/정상,20,영업중,,,,,02  867 1982,,,서울특별시 금천구 시흥동 산 139번지 2호,서울특별시 금천구 독산로50길 23 (시흥동),153-030,서울특별시남부여성발전센터,2021.10.18 17:59,U,2021.10.20 2:40,,191622.1566,440113.6437,법인,무료
28,무료직업소개소,11_50_01_P,3170000,2.01432E+18,2014.2.6,,1,영업/정상,20,영업중,,,,,070 70905414,,,,서울특별시 금천구 시흥대로51길 93-32 (시흥동),153-847,사회복지법인 서울 가톨릭 사회복지회 금천노인종합복지관,2023.5.19 10:58,U,2023.5.26 8:48,,190884.8698,438677.9964,법인,무료
29,무료직업소개소,11_50_01_P,3170000,2.01532E+18,2015.1.9,,1,영업/정상,20,영업중,,,,,02  69490501,,,,서울특별시 금천구 독산로72길 86-5 (독산동),153-821,(사)대한노인회금천구지회,2021.8.12 17:57,U,2021.8.14 2:40,,191653.5401,440820.3587,법인,무료
30,무료직업소개소,11_50_01_P,3170000,2.01732E+18,2017.1.4,,1,영업/정상,20,영업중,,,,,02  806 1600,,,서울특별시 금천구 독산동 287번지 2호 한국금형공업협동조합,"서울특별시 금천구 시흥대로 422, 한국금형공업협동조합 6층 (독산동)",8576,금천HRD협회,2019.10.14 11:22,U,2019.10.16 2:40,,190965.3583,441001.5148,법인,무료
31,무료직업소개소,11_50_01_P,3050000,2.01531E+18,2015.10.7,,1,영업/정상,20,영업중,,,,,29212020,,,서울특별시 동대문구 용두동 234번지 1호,"서울특별시 동대문구 왕산로 60-1, 포은빌딩 (용두동)",2583,동대문여성인력개발센터,2018.4.25 15:54,I,2018.8.31 23:59,,202594.7016,452773.2825,법인,무료
32,무료직업소개소,11_50_01_P,3170000,2.01032E+18,2005.7.8,,1,영업/정상,20,영업중,,,,,02   8057272,,153-857,서울특별시 금천구 시흥1동 879번지 77호,서울특별시 금천구 금하로11길 17 (시흥동),153-857,함께사는사람들 무료직업소개소,2018.8.31 17:45,I,2018.8.31 23:59,,191366.4212,439191.7789,법인,무료
33,무료직업소개소,11_50_01_P,3090000,2.00931E+18,2009.8.11,,1,영업/정상,20,영업중,,,,,02  993 1900,,132-858,서울특별시 도봉구 쌍문동 19번지 12호,"서울특별시 도봉구 도당로2길 12-13, 1층 (쌍문동)",132-858,도봉노인종합복지관,2023.3.25 13:30,U,2023.3.27 2:40,,203112.1392,461839.7436,법인,무료
34,무료직업소개소,11_50_01_P,3090000,2.01031E+18,2010.5.13,,1,영업/정상,20,영업중,,,,,02  991 3205,,,서울특별시 도봉구 창동 1-1,"서울특별시 도봉구 마들로 536, 도봉통합복지센터 4층 (창동)",1408,(사)대한노인회 도봉 통합 취업지원센터,2023.1.17 20:16,U,2023.1.19 2:40,,204426.1393,461930.4121,법인,무료
35,무료직업소개소,11_50_01_P,3090000,2.01731E+18,2017.12.15,,1,영업/정상,20,영업중,,,,,,,,,"서울특별시 도봉구 마들로 664-23, 도봉장애인종합복지관 (도봉동)",1330,도봉장애인종합복지관,2023.2.23 8:32,U,2023.5.26 8:48,,204144.2917,463004.6755,법인,무료
36,무료직업소개소,11_50_01_P,3050000,2.00331E+18,2003.8.11,,1,영업/정상,20,영업중,,,,,3295009,,130-866,서울특별시 동대문구 청량리동 11번지 1호,서울특별시 동대문구 제기로33길 25 (청량리동),130-866,서울특별시립동대문노인종합복지관,2022.7.22 9:09,U,2022.7.24 2:40,,204346.7152,453883.4532,법인,무료
37,무료직업소개소,11_50_01_P,4470000,2.01845E+18,2018.11.5,,1,영업/정상,20,영업중,,,,,,,,충청북도 음성군 대소면 오류리 802,충청북도 음성군 대소면 대금로 286,27669,음성상공회의소,2023.2.6 11:25,U,2023.2.8 2:40,,242027.4609,386077.1647,법인,무료
38,무료직업소개소,11_50_01_P,4840000,2.01848E+18,2018.12.27,,1,영업/정상,20,영업중,,,,,061 795 7200,,,,"전라남도 광양시 사동로 28, 2층 (중동)",57783,광양시니어클럽,2021.5.24 11:47,U,2021.5.26 2:40,,262710.1187,160535.0115,법인,무료
39,무료직업소개소,11_50_01_P,3210000,2.01832E+18,2018.12.4,,1,영업/정상,20,영업중,,,,,02  716 9030,,,서울특별시 서초구 서초동 1637번지 5호 서은빌딩 5층호,"서울특별시 서초구 서초중앙로22길 122, 서은빌딩 5층 (서초동)",6631,(사)한국직업건강간호협회,2022.2.5 16:41,U,2022.2.8 2:40,,201738.9681,443592.1596,법인,무료
40,무료직업소개소,11_50_01_P,4640000,2.01846E+18,2018.12.4,,1,영업/정상,20,영업중,,,,,063 255 9112,,,,"전라북도 전주시 완산구 백제대로 342, 1층 (중화산동2가)",54981,일드림 사회적협동조합,2023.2.16 14:17,U,2023.5.26 8:48,,211065.2055,258177.7001,법인,무료
41,무료직업소개소,11_50_01_P,6510000,2.01965E+18,2019.1.23,,1,영업/정상,20,영업중,,,,,064 745 3999,,,,"제주특별자치도 제주시 중앙로 165, 제주특별자치도 고용복지플러스센터 5층 (이도일동)",63197,제주시니어클럽,2023.1.12 10:38,U,2023.5.26 8:48,,155987.2558,988.4371666,법인,무료
42,무료직업소개소,11_50_01_P,5690000,2.01957E+18,2019.1.11,,1,영업/정상,20,영업중,,,,,050 63373578,,,세종특별자치시 어진동 671 에비뉴힐 B동 6111호,"세종특별자치시 갈매로 351, 에비뉴힐 B동 6층 6111-1호 (어진동)",30121,사단법인 세종시과학기술인협회,2022.11.3 17:14,U,2022.11.5 2:40,,223417.5849,332712.111,법인,무료
43,무료직업소개소,11_50_01_P,3000000,2.0193E+18,2019.1.29,,1,영업/정상,20,영업중,,,,,02  67312600,,,,"서울특별시 종로구 청계천로 35, 관정빌딩 3층 (서린동)",3188,재단법인 청년재단,2023.1.30 11:29,U,2023.5.26 8:48,,198284.3922,451901.406,법인,무료
44,무료직업소개소,11_50_01_P,4720000,2.01947E+18,2019.1.31,,1,영업/정상,20,영업중,,,,,063 290 3980,,,전라북도 완주군 봉동읍 둔산리 881 완주군근로자종합복지관,"전라북도 완주군 봉동읍 둔산3로 94, 완주군근로자종합복지관 3층",55316,(사)전주벤처기업육성촉진지구발전협의회,2020.12.8 9:04,U,2020.12.10 2:40,,211534.1064,273578.5795,법인,무료
45,무료직업소개소,11_50_01_P,3310000,2.01933E+18,2019.2.15,,1,영업/정상,20,영업중,,,,,051 611 1002,,,부산광역시 남구 대연동 1552 부산예술대학,"부산광역시 남구 못골번영로71번길 74, 부산예술대학 강의3동 3층 D3313호 (대연동)",48429,유엔PEC사회적협동조합,2021.2.9 17:39,U,2021.2.11 2:40,,389930.1262,184550.2382,법인,무료
46,무료직업소개소,11_50_01_P,3180000,2.01932E+18,2019.2.8,,1,영업/정상,20,영업중,,,,,262772345,,,,"서울특별시 영등포구 여의대방로65길 23, 포레스텔빌딩 309호 (여의도동)",7332,(사)한국은빛희망협회,2019.2.8 10:30,I,2019.2.10 2:21,,193637.7915,446447.2996,법인,무료
47,무료직업소개소,11_50_01_P,4750000,2.01948E+18,2019.1.31,,1,영업/정상,20,영업중,,,,,632805256,,,전라북도 장수군 장수읍 장수리 291-3,"전라북도 장수군 장수읍 준비길 12, 2층",55633,전주기전대학 산학협력단,2023.6.7 11:10,U,2023.6.9 2:40,,247011.7415,238854.2594,법인,무료
48,무료직업소개소,11_50_01_P,3180000,2.01932E+18,2019.3.19,,1,영업/정상,20,영업중,,,,,27856526,,,,"서울특별시 영등포구 은행로 30, 중소기업중앙회 본관동 620호 (여의도동)",7242,(사)중소기업진흥회,2019.3.19 17:43,I,2019.3.21 2:21,,193099.5636,447330.4458,법인,무료
49,무료직업소개소,11_50_01_P,4480000,2.01945E+18,1999.11.4,,1,영업/정상,20,영업중,,,,,,,,충청북도 단양군 단양읍 별곡리 311번지 단양군 노인복지회관,"충청북도 단양군 단양읍 별곡1로 17, 단양군 노인복지회관",27010,(사)대한노인회 충북연합회 취업지원센터,2019.8.26 14:04,U,2019.8.28 2:40,,321640.8474,387889.7765,법인,무료
50,무료직업소개소,11_50_01_P,3340000,2.01933E+18,2019.3.14,,1,영업/정상,20,영업중,,,,,516466849,,,,"부산광역시 사하구 낙동대로535번길 42, 1층 (하단동)",49307,하루마을문화교실 무료직업소개사업소,2019.3.14 12:01,I,2019.3.16 2:21,,378831.1673,180909.3667,법인,무료
51,무료직업소개소,11_50_01_P,5570000,2.01956E+18,2019.3.8,,1,영업/정상,20,영업중,,,,,043 838 1906,,,,"충청북도 증평군 증평읍 송티로 76-23, 증평어린이집 2층",27914,증평종합사회복지관,2022.8.18 9:37,U,2022.8.20 2:40,,251447.1457,366892.895,법인,무료
52,무료직업소개소,11_50_01_P,3170000,2.01932E+18,2013.12.4,,1,영업/정상,20,영업중,,,,,02  69567571,,,서울특별시 금천구 가산동 505번지 14호 코오롱디지털타워애스턴,"서울특별시 금천구 가산디지털1로 212, 코오롱디지털타워애스턴 109호 (가산동)",8502,(사)한국외식산업진흥원,2020.5.20 15:34,U,2020.5.22 2:40,,189353.0506,442493.0202,법인,무료
53,무료직업소개소,11_50_01_P,5370000,2.01954E+18,2019.1.30,,1,영업/정상,20,영업중,,,,,,,,"경상남도 거제시 고현동 769번지 1호 거제시여성회관,거제시노인복지회관","경상남도 거제시 계룡로13길 6, 거제시여성회관 (고현동)",53257,거제시여성인력개발센터,2023.5.25 10:52,U,2023.5.27 2:40,,347958.3735,155149.8157,법인,무료
54,무료직업소개소,11_50_01_P,4740000,2.01947E+18,2019.3.15,,1,영업/정상,20,영업중,,,,,,,,,"전라북도 전주시 완산구 전주천서로 267, 전주기전대학 (중화산동1가)",54989,무주군로컬잡센터,2020.5.18 17:40,U,2020.5.20 2:40,,212172.9115,257499.2474,법인,무료
55,무료직업소개소,11_50_01_P,5480000,2.01955E+18,2019.2.25,,1,영업/정상,20,영업중,,,,,559320085,,,경상남도 합천군 합천읍 합천리 319번지 9호,"경상남도 합천군 합천읍 대야로 867, 신화빌딩 202호",50233,합천시니어클럽((사)합천황가람실버복지회),2019.2.25 21:13,I,2019.2.27 2:21,,305332.9101,230176.7068,법인,무료
56,무료직업소개소,11_50_01_P,5710000,2.01957E+18,2007.3.20,,1,영업/정상,20,영업중,,,,,432830785,,,충청북도 청주시 흥덕구 복대동 858번지 2호,"충청북도 청주시 흥덕구 사직대로 42-1, 4층 (복대동)",28594,충북여성인력취업지원센터,2020.1.17 18:04,U,2020.1.19 2:40,,240383.8748,348192.2012,법인,무료
57,무료직업소개소,11_50_01_P,3460000,2.01935E+18,2019.2.22,,1,영업/정상,20,영업중,,,,,053 383 7999,,,,"대구광역시 수성구 청수로 119, 4층 (황금동)",42149,사단법인 대구광역시생활폐기물협회,2019.2.22 8:57,I,2019.2.24 2:21,,346406.6999,261253.5091,법인,무료
58,무료직업소개소,11_50_01_P,5060000,2.01951E+18,2019.3.29,,1,영업/정상,20,영업중,,,,,,,,,경상북도 김천시 대항면 덕전길 308-65,39569,김천시니어클럽,2019.3.29 13:20,I,2019.3.31 2:20,,293568.5393,292118.7065,법인,무료
59,무료직업소개소,11_50_01_P,4990000,2.0225E+18,2022.4.20,,1,영업/정상,20,영업중,,,,,615553505,,,,"전라남도 완도군 완도읍 장보고대로 239-1, 1층",59120,사회적협동조합 청해복지원,2022.4.20 10:38,I,2022.4.22 0:22,,177063.2493,90982.61806,법인,무료
60,무료직업소개소,11_50_01_P,3270000,2.02233E+18,2022.4.21,,1,영업/정상,20,영업중,,,,,515550501,,,,"부산광역시 동구 중앙대로196번길 12-3, 10층 (초량동)",48821,사단법인 부산광역시 장애인청년연합회,2022.4.21 17:30,I,2022.4.23 0:22,,385975.0035,181329.8052,법인,무료
61,무료직업소개소,11_50_01_P,3010000,2.0223E+18,2022.4.26,,1,영업/정상,20,영업중,,,,,,,,,"서울특별시 중구 명동11길 20, 서울YWCA회관 3층 (명동1가)",4538,사단법인 서울와이더블유씨에이,2023.4.12 19:23,U,2023.5.26 8:48,,198705.5273,451401.1648,법인,무료
62,무료직업소개소,11_50_01_P,5100000,2.02351E+18,2023.7.18,,1,영업/정상,20,영업중,,,,,543308000,,,,경상북도 영천시 괴연1길 24-24 (괴연동),38899,(재)경북하이브리드부품연구원,2023.7.18 11:14,I,2023.7.20 0:18,,377438.2897,268481.573,법인,무료
63,무료직업소개소,11_50_01_P,4390000,2.02344E+18,2023.7.25,,1,영업/정상,20,영업중,,,,,043 842 1929,,,,"충청북도 충주시 천변로 163, 4층 (교현동)",27366,사단법인 충주YWCA,2023.7.25 13:10,I,2023.7.27 0:18,,282435.2604,386566.5088,법인,무료
64,무료직업소개소,11_50_01_P,5150000,2.01752E+18,2017.4.26,,1,영업/정상,20,영업중,,,,,,,,,"경상북도 의성군 의성읍 안평의성로 1122-36, 2층 (종합복지관)",37333,(사)대한노인회 의성군지회,2022.9.13 20:26,U,2022.9.15 2:40,,350824.4283,318817.5983,법인,무료
65,무료직업소개소,11_50_01_P,4860000,2.01449E+18,2014.12.16,,1,영업/정상,20,영업중,,,,,,,,전라남도 곡성군 겸면 마전리 644번지 4호,전라남도 곡성군 겸면 마전길 19,57514,곡성시니어클럽,2023.6.21 13:20,U,2023.6.23 2:40,,215106.5143,198335.0342,법인,무료
66,무료직업소개소,11_50_01_P,4900000,2.01649E+18,2016.7.14,,1,영업/정상,20,영업중,,,,,613710046,,,,"전라남도 화순군 화순읍 중앙로 82, 4층 (운암빌딩)",58125,(사)전국아파트입주자 대표회의 전남도지부,2016.7.14 17:24,I,2018.8.31 23:59,,199049.0171,173466.2976,법인,무료
67,무료직업소개소,11_50_01_P,4940000,2.01549E+18,2015.1.22,,1,영업/정상,20,영업중,,,,,,,,,전라남도 영암군 삼호읍 대불주거1로8길 23,526-897,사단법인 함께하는 다문화 네트워크,2015.1.22 14:32,I,2018.8.31 23:59,,150041.0178,139574.9811,법인,무료
68,무료직업소개소,11_50_01_P,4640000,2.00146E+18,2001.10.12,,1,영업/정상,20,영업중,,,,,,,560-014,전라북도 전주시완산구 중앙동4가 1번지,,,사)전북지체장애인협회무료직업소개소익산사업소,2013.9.17 15:16,I,2018.8.31 23:59,,,,법인,무료
69,무료직업소개소,11_50_01_P,4640000,2.00146E+18,2001.10.12,,1,영업/정상,20,영업중,,,,,,,560-014,전라북도 전주시완산구 중앙동4가 1번지,,,사)전북지체장애인협회무료직업소개소완주사업소,2007.11.30 16:27,I,2018.8.31 23:59,,,,법인,무료
70,무료직업소개소,11_50_01_P,4640000,2.00146E+18,2001.10.12,,1,영업/정상,20,영업중,,,,,,,560-014,전라북도 전주시완산구 중앙동4가 1번지,,,사)전북지체장애인협회무로직업소개소 김제사업소,2007.11.30 16:25,I,2018.8.31 23:59,,,,법인,무료
71,무료직업소개소,11_50_01_P,4640000,2.00146E+18,2001.10.12,,1,영업/정상,20,영업중,,,,,,,560-014,전라북도 전주시완산구 중앙동4가 1번지,,,사)전북지체장애인협회무료직업소개소 정읍사업소,2007.11.30 16:24,I,2018.8.31 23:59,,,,법인,무료
72,무료직업소개소,11_50_01_P,4640000,2.00146E+18,2001.10.12,,1,영업/정상,20,영업중,,,,,,,560-014,전라북도 전주시완산구 중앙동4가 1번지,,,사)전북지체장애인협회무료직업소개소 고창사업소,2007.11.30 16:27,I,2018.8.31 23:59,,,,법인,무료
73,무료직업소개소,11_50_01_P,4640000,2.00146E+18,2001.10.12,,1,영업/정상,20,영업중,,,,,,,560-014,전라북도 전주시완산구 중앙동4가 1번지,,,사)전북지체장애인협회무료직업소개소 임실사업소,2007.11.30 16:24,I,2018.8.31 23:59,,,,법인,무료
74,무료직업소개소,11_50_01_P,4640000,2.00446E+18,2004.4.22,,1,영업/정상,20,영업중,,,,,063 283 6013,,560-023,전라북도 전주시 완산구 경원동3가 17번지 9호,전라북도 전주시 완산구 현무1길 21-15 (경원동3가),,전주시니어클럽무료취업알선센터,2018.7.10 16:30,I,2018.8.31 23:59,,213255.732,257775.1485,법인,무료
75,무료직업소개소,11_50_01_P,4830000,2.00848E+18,2008.1.3,,1,영업/정상,20,영업중,,,,,061 333 8890,,520-240,전라남도 나주시 영산동 75번지 3호,전라남도 나주시 오포길 31 (영산동),,나주자활무료직업소개소,2015.11.13 18:00,I,2018.8.31 23:59,,173708.9052,166639.1054,법인,무료
76,무료직업소개소,11_50_01_P,4850000,2.00849E+18,2008.7.9,,1,영업/정상,20,영업중,,,,,613824548,,,전라남도 담양군 금성면 금성리 92번지,전라남도 담양군 금성면 새덕굴길 317,57352,혜림종합복지관,2020.7.1 9:36,U,2020.7.3 2:40,,205248.697,208091.4266,법인,무료
77,무료직업소개소,11_50_01_P,4640000,2.01346E+18,2013.11.4,,1,영업/정상,20,영업중,,,,,063 213 2356,,560-800,전라북도 전주시 완산구 효자동2가 1241번지 5호 전북지방중소기업청 1층,"전라북도 전주시 완산구 서원로 77 (효자동2가, 전북지방중소기업청 1층)",560-800,(사)중소기업기술혁신협회전북지회,2022.5.3 13:24,U,2022.5.5 2:40,,209193.9389,257137.6021,법인,무료
78,무료직업소개소,11_50_01_P,4640000,2.01546E+18,2015.10.20,,1,영업/정상,20,영업중,,,,,063 219 0300,,,,전라북도 전주시 덕진구 유상로 67 (팔복동2가),54852,(사)캠틱종합기술원,2022.4.1 15:36,U,2022.4.3 2:40,,207199.2002,262433.2909,법인,무료
79,무료직업소개소,11_50_01_P,4640000,2.01646E+18,2016.3.14,,1,영업/정상,20,영업중,,,,,063 236 8812,,,전라북도 전주시 덕진구 인후동1가 21통 2반 아중현대아파트 103동 1205호,"전라북도 전주시 완산구 용머리로 36, 5층 552호 (효자동1가, 서도프라자)",55080,전주효자시니어클럽,2022.10.25 14:59,U,2022.10.27 2:40,,210268.0235,256157.4371,개인,무료
80,무료직업소개소,11_50_01_P,4640000,2.01846E+18,2008.3.19,,1,영업/정상,20,영업중,,,,,063 713 6900,,,전라북도 전주시 덕진구 만성동 1165번지 국민연금공단,"전라북도 전주시 덕진구 기지로 180, 국민연금공단 (만성동)",54870,국민연금공단본부,2021.7.9 10:36,U,2021.7.11 2:40,,206400.9276,259677.62,법인,무료
