번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
11,식용얼음판매업,07_22_21_P,5370000,5370000-111-2002-00002,2002.8.2,,1,영업/정상,1,영업,,,,,6360355,27,656-852,경상남도 거제시 동부면 구천리 605-1 서당골 관광농원 내,경상남도 거제시 동부면 구천5길 23 (서당골관광농원),53332,유진유통,2014.2.28 13:16,I,2018.8.31 23:59,식용얼음판매업,349838.6781,147090.9392,식용얼음판매업,,,,,상수도전용,,0,0,1,1,,,,N,0,,,
12,식용얼음판매업,07_22_21_P,5370000,5370000-111-1982-00001,1982.6.29,,1,영업/정상,1,영업,,,,,,,656-930,경상남도 거제시 고현동 98-27,경상남도 거제시 거제중앙로 1883-2 (고현동),53254,만덕식품,2015.8.26 12:11,I,2018.8.31 23:59,식용얼음판매업,348356.3402,155369.2086,식용얼음판매업,,,,,상수도전용,,0,0,0,0,,,,N,0,,,
13,식용얼음판매업,07_22_21_P,3490000,3490000-111-1985-00001,1985.4.23,,1,영업/정상,1,영업,,,,,032 8821997,76.13,400-801,인천광역시 중구 항동7가 27-135,인천광역시 중구 연안부두로21번길 31 (항동7가),22348,천일얼음상사,2022.3.21 15:09,U,2022.3.23 2:40,식용얼음판매업,165127.887,439239.2839,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
14,식용얼음판매업,07_22_21_P,3490000,3490000-111-1998-00001,1998.7.10,,1,영업/정상,1,영업,,,,,7639925,82.44,400-201,인천광역시 중구 북성동1가 98-218,인천광역시 중구 월미로218번길 1 (북성동1가),22303,은정얼음,2013.2.7 15:51,I,2018.8.31 23:59,식용얼음판매업,164480.883,441654.3219,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
15,식용얼음판매업,07_22_21_P,4610000,4610000-111-2015-00001,2015.9.1,,1,영업/정상,1,영업,,,,,041 332 3211,,340-803,충청남도 예산군 예산읍 산성리 116-2,충청남도 예산군 예산읍 군청로 88,32432,예산축산업협동조합하나로마트,2015.9.1 11:31,I,2018.8.31 23:59,식용얼음판매업,185950.9556,353895.7596,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
16,식용얼음판매업,07_22_21_P,4500000,4500000-111-2002-00001,2002.6.24,,1,영업/정상,1,영업,,,,,041 8564889,13.92,314-030,충청남도 공주시 산성동 191-1,충청남도 공주시 산성시장1길 99 (산성동),32540,시장얼음,2014.1.24 9:25,I,2018.8.31 23:59,식용얼음판매업,210958.9177,328614.6423,식용얼음판매업,,,,,상수도전용,,0,0,0,0,임대,,,N,0,,,
17,식용얼음판매업,07_22_21_P,4570000,4570000-111-1982-00001,1982.7.31,,1,영업/정상,1,영업,,,,,041 8352694,,323-805,충청남도 부여군 부여읍 구아리 375-1,충청남도 부여군 부여읍 부여로 30-8,33140,부여전일냉동,2008.1.30 16:09,I,2018.8.31 23:59,식용얼음판매업,191709.0657,309071.4547,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
18,식용얼음판매업,07_22_21_P,4570000,4570000-111-1996-00002,1996.7.30,,1,영업/정상,1,영업,,,,,041 8361228,,323-842,충청남도 부여군 홍산면 남촌리 103-7,충청남도 부여군 홍산면 홍산시장로 43,33199,중앙식품상회,2021.4.8 13:15,U,2021.4.10 2:40,식용얼음판매업,178187.9304,301484.4713,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
19,식용얼음판매업,07_22_21_P,4620000,4620000-111-1977-00001,1977.7.23,,1,영업/정상,1,영업,,,,,041 6732150,,357-931,충청남도 태안군 소원면 모항리 1325-72,,,대흥어름집,2001.12.24 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
20,식용얼음판매업,07_22_21_P,4620000,4620000-111-1978-00001,1978.8.1,,1,영업/정상,1,영업,,,,,041 6742744,,357-942,충청남도 태안군 근흥면 도황리 1526,,,연포어름집,2001.12.24 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
21,식용얼음판매업,07_22_21_P,4170000,4170000-111-1986-00001,1986.5.13,,1,영업/정상,1,영업,,,,,031 774 5171,0,476-802,경기도 양평군 양평읍 양근리 293-5,경기도 양평군 양평읍 양근로 210-1,12555,양평얼음,2020.4.13 13:28,U,2020.4.15 2:40,식용얼음판매업,243426.7472,443046.9632,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
22,식용얼음판매업,07_22_21_P,4170000,4170000-111-2012-00001,2012.4.3,,1,영업/정상,1,영업,,,,,031 775 2005,30,476-801,경기도 양평군 양평읍 공흥리 475-3 (1층),경기도 양평군 양평읍 시민로 108 (1층),12560,경기얼음,2012.4.3 14:28,I,2018.8.31 23:59,식용얼음판매업,244466.8153,443246.4548,식용얼음판매업,,,,,,,,,,,임대,10000000,,N,0,,,
23,식용얼음판매업,07_22_21_P,3820000,3820000-111-1992-00001,1992.4.13,,1,영업/정상,1,영업,,,,,031 8726691,6.12,480-867,경기도 의정부시 호원동 341-30,경기도 의정부시 백석로52번길 37 (호원동),11632,가능제일얼음,2004.9.20 0:00,I,2018.8.31 23:59,식용얼음판매업,203828.4117,469567.2471,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
24,식용얼음판매업,07_22_21_P,3740000,3740000-111-2013-00003,2013.4.11,,1,영업/정상,1,영업,,,,,,16.5,441-833,경기도 수원시 권선구 권선동 1229 농수산물도매시장 수산동 1층,"경기도 수원시 권선구 세권로 243, 수산동 1층 (권선동, 농수산물도매시장)",16561,수원얼음,2013.4.11 14:00,I,2020.8.5 0:23,식용얼음판매업,202690.8629,417032.8521,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
25,식용얼음판매업,07_22_21_P,3740000,3740000-111-2013-00001,2013.2.8,,1,영업/정상,1,영업,,,,,031 212 3889,82.5,443-801,경기도 수원시 영통구 매탄동 196-59,"경기도 수원시 영통구 매여울로 24, 1층 (매탄동)",16524,청수얼음,2023.6.21 14:22,U,2023.6.23 2:40,식용얼음판매업,204069.8518,418785.3907,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
26,식용얼음판매업,07_22_21_P,3740000,3740000-111-2013-00004,2013.4.15,,1,영업/정상,1,영업,,,,,031 238 5319,6.6,441-833,경기도 수원시 권선구 권선동 1229 농수산물시장내 수협공판장,"경기도 수원시 권선구 세권로 243, 1층 (권선동, 농수산물시장내 수협공판장)",16561,반석얼음,2013.4.15 13:32,I,2020.8.5 0:23,식용얼음판매업,202690.8629,417032.8521,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
27,식용얼음판매업,07_22_21_P,3820000,3820000-111-1985-00001,1985.5.22,,1,영업/정상,1,영업,,,,,,21.62,480-842,경기도 의정부시 의정부동 143-8,"경기도 의정부시 시민로157번길 22, 1층 (의정부동)",11694,의정부얼음,2014.1.14 15:44,I,2018.8.31 23:59,식용얼음판매업,204557.1437,470682.8575,식용얼음판매업,,,,,상수도전용,,0,0,0,0,임대,,,N,0,,,
28,식용얼음판매업,07_22_21_P,5350000,5350000-111-1996-00001,1996.1.10,,1,영업/정상,1,영업,,,,,055 3376878,,621-020,"경상남도 김해시 동상동 881-1 ,871-20",경상남도 김해시 구지로180번길 25 (동상동),50915,금호얼음,2020.7.1 14:51,U,2020.7.3 2:40,식용얼음판매업,371380.4364,194605.2567,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
29,식용얼음판매업,07_22_21_P,5350000,5350000-111-2005-00001,2005.3.21,,1,영업/정상,1,영업,,,,,055 3324297,30.75,621-020,경상남도 김해시 동상동 883-16 4동 가-4호,"경상남도 김해시 분성로335번길 24-12 (동상동,4동 가-4호)",50915,만장얼음,2005.3.21 0:00,I,2018.8.31 23:59,식용얼음판매업,371317.9715,194592.0232,식용얼음판매업,,,,,,,0,0,0,0,임대,0,0,N,0,,,
30,식용얼음판매업,07_22_21_P,5350000,5350000-111-2005-00002,2005.4.18,,1,영업/정상,1,영업,,,,,055 3125585,0,621-240,경상남도 김해시 무계동 189-3 무계리,경상남도 김해시 장유로301번길 9-1 (무계리),51007,장유얼음,2012.10.31 10:06,I,2018.8.31 23:59,식용얼음판매업,365201.2995,190547.0608,식용얼음판매업,,,,,,,0,0,0,0,자가,0,0,N,0,,,
31,식용얼음판매업,07_22_21_P,5310000,5310000-111-2005-00001,2005.7.12,,1,영업/정상,1,영업,,,,,055 7632563,2,660-985,경상남도 진주시 초전동 260 하나로마트내,"경상남도 진주시 남강로 1689 (초전동,하나로마트내)",52733,진주원예농협도매시장지점,2019.6.14 15:35,U,2019.6.16 2:40,식용얼음판매업,302213.5529,190763.2797,식용얼음판매업,,,,,상수도전용,,0,0,0,0,,,,N,0,,,
32,식용얼음판매업,07_22_21_P,4690000,4690000-111-2008-00001,2008.5.6,,1,영업/정상,1,영업,,,,,063 535 5314,7,580-060,전라북도 정읍시 시기동 409-37,전라북도 정읍시 태평6길 46-8 (시기동),56164,정주수산,2016.6.27 8:18,I,2018.8.31 23:59,식용얼음판매업,186823.3406,229171.9556,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
33,식용얼음판매업,07_22_21_P,4690000,4690000-111-2007-00003,2007.8.17,,1,영업/정상,1,영업,,,,,063 535 3827,7.5,580-060,전라북도 정읍시 시기동 224-21,전라북도 정읍시 천변로 202 (시기동),56201,남해수산,2016.6.27 8:20,I,2018.8.31 23:59,식용얼음판매업,186361.6382,229277.5174,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
34,식용얼음판매업,07_22_21_P,4540000,4540000-111-1998-00001,1998.5.15,,1,영업/정상,1,영업,,,,,041 7359543,,320-120,충청남도 논산시 화지동 41-49,충청남도 논산시 중앙로500번길 21-1 (화지동),32967,왕대수산,2020.5.13 11:50,U,2020.5.15 2:40,식용얼음판매업,207561.768,300842.0376,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
35,식용얼음판매업,07_22_21_P,4060000,4060000-111-1986-00004,1986.4.10,,1,영업/정상,1,영업,,,,,3109414883,25.32,413-814,경기도 파주시 금촌동 320-18 외 1필지,"경기도 파주시 금정24길 12 (금촌동,외 1필지)",10929,동경얼음,2022.2.11 13:12,U,2022.2.13 2:40,식용얼음판매업,179965.2445,473365.2905,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
36,식용얼음판매업,07_22_21_P,4060000,4060000-111-2008-00001,2008.8.8,,1,영업/정상,1,영업,,,,,,66,413-070,경기도 파주시 교하동 527-2,경기도 파주시 교하로 1339 (교하동),10867,하나석유·파주얼음,2014.5.9 10:57,I,2018.8.31 23:59,식용얼음판매업,177087.0556,472191.9587,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
37,식용얼음판매업,07_22_21_P,3830000,3830000-111-1992-00001,1992.5.2,,1,영업/정상,1,영업,,,,,4427686,8,430-846,경기도 안양시 만안구 박달동 16-11 19통4반,,,형제얼음,1999.10.25 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,0,0,,,,,0,0,0,0,,0,0,N,0,,,
38,식용얼음판매업,07_22_21_P,3830000,3830000-111-1995-00004,1995.5.31,,1,영업/정상,1,영업,,,,,4295138,17.39,431-802,경기도 안양시 동안구 평촌동 921-4 Tel.384-9936,"경기도 안양시 동안구 귀인로190번길 61-12 (평촌동,Tel.384-9936)",14103,평촌얼음,1999.10.29 0:00,I,2018.8.31 23:59,식용얼음판매업,196584.3479,431195.6675,식용얼음판매업,0,0,,,,,0,0,0,0,,0,0,N,0,,,
39,식용얼음판매업,07_22_21_P,3830000,3830000-111-1996-00005,1996.6.20,,1,영업/정상,1,영업,,,,,4214596,7.4,431-070,경기도 안양시 동안구 평촌동 50-15 1층,,,삼미얼음,1999.10.29 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,0,0,,,,,0,0,0,0,,0,0,N,0,,,
40,식용얼음판매업,07_22_21_P,3830000,3830000-111-1998-00002,1998.1.17,,1,영업/정상,1,영업,,,,,4528244,29.41,431-841,경기도 안양시 동안구 호계동 994-22,경기도 안양시 동안구 흥안대로145번길 50 (호계동),14111,안성얼음,1999.10.29 0:00,I,2018.8.31 23:59,식용얼음판매업,196331.3595,430124.6505,식용얼음판매업,0,0,,,,,0,0,0,0,,0,0,N,0,,,
41,식용얼음판매업,07_22_21_P,3830000,3850000-111-2000-00006,2000.2.7,,1,영업/정상,1,영업,,,,,4221461,0,431-070,경기도 안양시 동안구 평촌동 초원럭키(아)101호,,,임선열,2015.7.15 17:14,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,0,0,,,,,0,1,0,0,,0,0,N,0,,,
42,식용얼음판매업,07_22_21_P,5590000,5590000-111-2004-00001,2004.8.31,,1,영업/정상,1,영업,,,,,031 8630646,56.08,482-050,경기도 양주시 덕계동 624-3 1층 전체,"경기도 양주시 평화로1479번길 79 (덕계동, 1층 전체)",11440,양주얼음,2015.12.23 15:34,I,2018.8.31 23:59,식용얼음판매업,203903.1668,479990.6576,식용얼음판매업,,,,,,,0,0,0,1,임대,0,0,N,9.3,,,
43,식용얼음판매업,07_22_21_P,5590000,5590000-111-2015-00001,2015.11.25,,1,영업/정상,1,영업,,,,,,13.5,482-861,경기도 양주시 은현면 도하리 437-1 나동 1층 일부,경기도 양주시 은현면 삼일로342번길 240 (나동 1층 일부),11432,여리유통,2018.3.16 9:58,I,2018.8.31 23:59,식용얼음판매업,200172.9813,482782.6477,식용얼음판매업,,,,,상수도전용,,,,1,,임대,,,N,0,,,
44,식용얼음판매업,07_22_21_P,3910000,3910000-111-1986-00001,1986.5.12,,1,영업/정상,1,영업,,,,,031 656 5189,,450-040,"경기도 평택시 통복동 66-1 ,2","경기도 평택시 중앙1로 6 (통복동,,2)",17893,평택럭키금성,2010.8.2 14:56,I,2018.8.31 23:59,식용얼음판매업,207366.8355,388550.6847,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
45,식용얼음판매업,07_22_21_P,3910000,3910029-111-1992-00001,1992.9.13,,1,영업/정상,1,영업,,,,,031 662 5455,64.23,459-120,경기도 평택시 신장동 306-120,경기도 평택시 신장로82번길 10 (신장동),17751,송탄얼음,2013.3.18 11:41,I,2018.8.31 23:59,식용얼음판매업,204359.1438,397866.3357,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
46,식용얼음판매업,07_22_21_P,3910000,3910000-111-2001-00002,2001.10.13,,1,영업/정상,1,영업,,,,,031 655 5511,65.52,450-040,경기도 평택시 통복동 76-16 외1필지(1층),"경기도 평택시 통복시장로26번길 5 (통복동,외1필지(1층))",17894,대우종합얼음,2011.1.12 11:04,I,2018.8.31 23:59,식용얼음판매업,207576.8188,388457.2465,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
47,식용얼음판매업,07_22_21_P,3030000,3030000-111-1997-00496,1997.10.7,,1,영업/정상,1,영업,,,,,02 2947500,3.25,133-815,서울특별시 성동구 마장동 766-8,서울특별시 성동구 마장로37길 40 (마장동),4753,동원특9호,2015.10.30 15:25,I,2018.8.31 23:59,식용얼음판매업,203556.3701,451853.4574,식용얼음판매업,,,기타,기타,상수도전용,,0,0,0,0,,,,N,0,,,
48,식용얼음판매업,07_22_21_P,3070000,3070000-111-1986-00004,1986.7.12,,1,영업/정상,1,영업,,,,,,24.86,136-035,서울특별시 성북구 동소문동5가 56-2,"서울특별시 성북구 동소문로 86-19, 1층 (동소문동5가)",2846,한솔얼음,2016.6.1 16:58,I,2018.8.31 23:59,식용얼음판매업,201276.1577,454350.877,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
49,식용얼음판매업,07_22_21_P,3070000,3070000-111-2000-00723,2000.5.16,,1,영업/정상,1,영업,,,,,02 9157585,50.32,136-830,서울특별시 성북구 장위동 75-11,"서울특별시 성북구 돌곶이로 149, 1층 (장위동)",2768,신용얼음,2022.6.21 14:58,U,2022.6.23 2:40,식용얼음판매업,204515.1623,456961.2658,식용얼음판매업,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
50,식용얼음판매업,07_22_21_P,3230000,3230000-111-1992-01664,1992.2.25,,1,영업/정상,1,영업,,,,,02 4071454,36,138-160,서울특별시 송파구 가락동 산 600-0,서울특별시 송파구 양재대로 932 (가락동),5699,서한얼음직매장,2017.1.20 15:52,I,2018.8.31 23:59,식용얼음판매업,209790.9599,443481.2122,식용얼음판매업,0,0,기타,기타,상수도전용,,0,0,0,0,,,,N,0,,,
51,식용얼음판매업,07_22_21_P,3230000,3230000-111-2009-00001,2009.3.31,,1,영업/정상,1,영업,,,,,,26.44,138-845,서울특별시 송파구 석촌동 240-7 지상1층 107호,"서울특별시 송파구 가락로6길 4, 지상1층 107호 (석촌동)",5694,삼성ice,2014.11.11 9:39,I,2018.8.31 23:59,식용얼음판매업,208978.7459,444117.9091,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
52,식용얼음판매업,07_22_21_P,3000000,3000000-111-1999-00155,1999.8.7,,1,영업/정상,1,영업,,,,,222723494,,110-833,서울특별시 종로구 예지동 3-2,서울특별시 종로구 창경궁로 88 (예지동),3195,대구상회,1999.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,199939.0586,451978.7563,식용얼음판매업,1,0,기타,기타,상수도전용,,,,,,,,,N,0,,,
53,식용얼음판매업,07_22_21_P,3230000,3230000-111-1985-01657,1985.9.12,,1,영업/정상,1,영업,,,,,02   00000,33,138-864,서울특별시 송파구 잠실동 247-10,서울특별시 송파구 백제고분로19길 14 (잠실동),5567,새마을얼음,2017.1.20 14:55,I,2018.8.31 23:59,식용얼음판매업,207632.7404,444871.6043,식용얼음판매업,1,1,주택가주변,지도,상수도전용,,0,0,0,0,,,,N,0,,,
54,식용얼음판매업,07_22_21_P,3180000,3180000-111-2015-00001,2015.3.24,,1,영업/정상,1,영업,,,,,26772700,19.8,150-841,서울특별시 영등포구 신길동 256-4,"서울특별시 영등포구 가마산로71길 13-1, 1층 (신길동)",7386,대광석유얼음,2019.3.19 17:48,U,2019.3.21 2:40,식용얼음판매업,191924.8737,445003.4329,식용얼음판매업,,,,,,,0,0,0,0,자가,,,N,0,,,
55,식용얼음판매업,07_22_21_P,3140000,3140000-111-1976-00347,1976.4.16,,1,영업/정상,1,영업,,,,,02  26459583,3.3,158-851,서울특별시 양천구 신정동 179-7,서울특별시 양천구 목동남로2길 67 (신정동),8104,백조얼음,2009.6.1 18:04,I,2018.8.31 23:59,식용얼음판매업,187958.7716,444855.741,식용얼음판매업,1,0,주택가주변,지도,상수도전용,,0,0,0,0,,,,N,0,,,
56,식용얼음판매업,07_22_21_P,4181000,4181000-111-1989-00001,1989.7.3,,1,영업/정상,1,영업,,,,,033 241 4555,,,강원특별자치도 춘천시 운교동 187-2,강원특별자치도 춘천시 춘천로185번길 12-1 (운교동),24350,대한얼음,2016.12.15 15:40,I,2023.6.13 0:00,식용얼음판매업,264549.0006,486360.8917,식용얼음판매업,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
57,식용얼음판매업,07_22_21_P,4191000,4191000-111-1974-00001,1974.3.15,,1,영업/정상,1,영업,,,,,033 7641802,,,강원특별자치도 원주시 명륜동 0-0 남부시장 24,,,남부얼음판매소,2002.7.28 0:00,I,2023.6.13 0:00,식용얼음판매업,,,식용얼음판매업,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
58,식용얼음판매업,07_22_21_P,4191000,4191000-111-1994-00001,1994.7.14,,1,영업/정상,1,영업,,,,,033 7439321,,,강원특별자치도 원주시 평원동 323-21,강원특별자치도 원주시 평원로 24 (평원동),26430,수정어름집,2011.7.7 16:06,I,2023.6.13 0:00,식용얼음판매업,284365.2601,427871.9051,식용얼음판매업,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,0,,,
59,식용얼음판매업,07_22_21_P,4191000,4191000-111-2002-00001,2002.5.13,,1,영업/정상,1,영업,,,,,,8.75,,강원특별자치도 원주시 단구동 701-8,강원특별자치도 원주시 단구로 330 (단구동),,금강얼음,2014.5.12 17:22,I,2023.6.13 0:00,식용얼음판매업,284864.3283,425364.2292,식용얼음판매업,0,0,,,상수도전용,0,0,0,0,0,자가,0,0,N,0,,,
60,식용얼음판매업,07_22_21_P,4191000,4191000-111-2013-00001,2013.4.3,,1,영업/정상,1,영업,,,,,033 744 7003,32.93,,강원특별자치도 원주시 원동 304-5 지상1층,"강원특별자치도 원주시 남산로48번길 31-3, 지상1층 (원동)",26440,얼음나라,2017.3.31 10:17,I,2023.6.13 0:00,식용얼음판매업,283924.6981,427099.4368,식용얼음판매업,0,0,,,상수도전용,0,0,0,0,0,임대,0,0,N,0,,,
61,식용얼음판매업,07_22_21_P,3620000,3620000-111-2001-00001,2001.4.30,,1,영업/정상,1,영업,,,,,062 2660183,,500-120,"광주광역시 북구 각화동 352 ,352-1,355-1","광주광역시 북구 동문대로266번길 35 (각화동,,352-1,355-1)",61137,다농마트,2002.5.31 0:00,I,2018.8.31 23:59,식용얼음판매업,194175.095,187292.5558,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
62,식용얼음판매업,07_22_21_P,5380000,5380000-111-1994-00001,1994.5.31,,1,영업/정상,1,영업,,,,,,17.42,626-050,경상남도 양산시 중부동 423-5 6.7.8,"경상남도 양산시 중앙로 133 (중부동,6.7.8)",50621,제일상회,2002.5.17 0:00,I,2018.8.31 23:59,식용얼음판매업,385133.6931,206722.7331,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
63,식용얼음판매업,07_22_21_P,5340000,5340000-111-2011-00001,2011.7.19,,1,영업/정상,1,영업,,,,,055 832 2391,12,664-836,경상남도 사천시 서동 311-18,경상남도 사천시 어시장길 22 (서동),52569,가풍,2011.7.19 15:42,I,2018.8.31 23:59,식용얼음판매업,297588.479,159196.1325,식용얼음판매업,,,,,,,,,,,임대,,,N,0,,,
64,식용얼음판매업,07_22_21_P,5340000,5340000-111-1987-00001,1987.6.12,,1,영업/정상,1,영업,,,,,055 8337762,84.33,664-020,경상남도 사천시 동동 156-6,경상남도 사천시 수남길 39 (동동),52569,현대얼음,2010.3.26 10:47,I,2018.8.31 23:59,식용얼음판매업,297866.2089,159365.4549,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
