범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 마산,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
풍속범죄,성풍속범죄,5421,1164,933,1190,376,438,257,22,288,24,46,38,104,46,72,77,23,360,315,368,305,491,58,244,31,28,44,156,20,126,27,71,163,16,25,97,30,18,5,15,53,52,3,13,192,35,3,17,7,44,15,14,64,185,51,14,13,38,233,28,22,2,104,42,28,63,46,68,17,6,5,12,8,11,131,38,92,0,5,6,52,37,164,12,27,236,73,306
풍속범죄,도박범죄,1320,921,485,390,216,251,146,7,108,1,34,42,22,33,52,53,13,115,115,343,89,131,17,69,25,16,13,63,14,39,28,34,52,19,50,53,19,8,12,18,48,24,4,22,154,33,6,13,29,45,17,38,46,105,53,23,20,51,92,20,29,0,59,78,49,36,57,66,26,9,11,25,19,12,124,113,56,0,16,10,24,27,124,89,38,106,46,744
특별경제범죄,특별경제범죄,22075,13868,3421,5751,2535,1635,1289,187,1278,60,818,360,299,383,420,589,107,1449,1749,1596,623,1597,322,902,226,108,342,831,138,613,209,667,928,287,147,631,253,120,87,190,342,283,32,137,704,204,23,94,113,118,101,113,304,910,227,87,67,363,577,96,129,31,350,273,280,257,287,481,143,45,52,520,81,91,443,230,640,10,109,145,310,399,1018,111,269,982,1631,3027
마약범죄,마약범죄,1360,759,393,557,69,78,67,2,82,4,15,22,16,15,13,24,25,56,79,118,41,71,92,37,25,114,18,137,6,103,10,48,124,38,10,56,5,2,1,0,61,39,2,63,73,18,0,7,3,19,10,18,36,52,7,1,2,5,32,1,7,0,13,14,23,11,28,44,17,11,17,19,11,27,19,22,121,1,43,24,25,90,122,10,6,20,16,509
보건범죄,보건범죄,3941,1832,417,654,760,204,230,15,223,6,90,87,62,45,68,261,20,162,244,368,302,134,51,88,77,22,32,170,19,86,41,102,94,50,41,186,37,23,7,34,93,31,7,44,96,56,1,4,21,26,33,20,57,63,97,18,26,88,144,37,15,9,42,24,78,34,53,118,25,8,17,18,11,21,100,71,126,1,51,29,57,123,258,19,37,131,36,843
환경범죄,환경범죄,53,198,19,69,8,13,53,2,30,3,2,52,9,0,14,52,5,14,4,25,58,29,3,5,44,4,7,60,5,15,43,51,355,119,13,171,7,15,7,5,14,8,1,13,28,9,1,4,12,5,9,24,7,28,15,4,3,40,11,7,6,2,12,5,38,10,27,16,7,1,4,9,4,18,27,19,125,0,19,18,7,20,77,21,24,22,30,503
교통범죄,교통범죄,74958,35841,39725,31163,23412,13556,16600,1056,11926,720,2740,3660,2151,2121,3726,4795,954,10467,8900,14715,7830,11372,2490,5909,2547,1687,2009,7716,1722,3670,2653,6218,7646,2677,2583,5902,2737,1519,1110,1436,6012,5008,594,1839,8972,3902,138,1230,1182,1943,1703,1767,2296,9104,3497,997,752,3202,6444,1115,2434,276,4699,4954,5083,2464,4839,8505,2121,1005,1160,1750,1644,1346,7475,4832,8691,2,1216,2517,3759,3351,12650,2936,3581,10857,2325,43877
노동범죄,노동범죄,215,190,31,28,13,14,63,0,13,0,6,13,2,4,4,6,0,21,9,28,5,26,3,34,5,1,1,5,0,5,0,5,29,2,1,15,15,0,0,5,2,2,0,1,7,1,0,0,3,2,1,2,0,11,5,0,3,1,34,2,2,0,18,16,6,6,3,13,6,0,1,6,3,0,15,14,14,0,0,1,10,0,19,43,3,6,1,45
안보범죄,안보범죄,38,4,4,20,3,4,2,0,1,0,1,0,0,0,0,0,0,2,2,3,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,6
선거범죄,선거범죄,24,24,18,19,9,8,15,5,4,1,3,0,2,0,3,0,0,0,2,2,3,1,7,3,1,8,0,8,1,0,9,11,8,0,0,6,7,1,4,1,1,1,0,12,5,1,0,3,5,7,10,3,4,1,0,10,6,2,9,7,5,6,6,5,7,4,9,9,11,3,17,2,0,3,5,3,4,0,4,5,3,30,17,4,12,11,3,267
병역범죄,병역범죄,4591,959,800,1200,371,630,382,86,360,10,61,170,71,53,50,312,44,355,362,433,228,332,101,201,137,19,104,235,34,188,71,142,156,105,36,225,33,23,9,8,110,79,3,22,316,53,6,25,72,49,20,36,99,414,82,12,19,55,186,27,38,1,98,91,82,82,76,214,37,5,32,38,14,31,243,112,198,1,57,42,158,92,355,52,52,190,155,808
기타범죄,기타범죄,41752,19868,9766,13677,5301,4602,4881,462,3473,174,1138,1135,699,672,1205,2361,372,3804,3297,4856,1961,3293,939,1924,847,368,913,2304,305,1642,829,1355,2122,881,482,2058,899,397,739,333,1130,910,140,443,2838,697,61,393,505,1384,959,669,888,2693,1765,297,255,1142,2262,401,424,140,1471,811,2846,802,1239,1307,464,190,229,532,242,268,2130,957,2018,12,410,1040,978,933,3643,1594,1331,3130,1341,17797
