시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호
두엄자리,A0765,(노인) 노인요양시설,노인의료복지시설,자치구,김명화,1147000000,양천구,서울특별시 양천구 목동중앙남로16다길 6-13 (목동),22,21,02-2642-8267,7952
용산재가노인지원센터,A0773,(노인) 재가노인복지시설,재가노인복지시설,자치구,권용자,1117000000,용산구,서울특별시 용산구 한강대로 43길 13 대우아이빌 712호(한강로동),134,134,02-792-7882,4376
길음노인복지센터,A0789,(노인) 재가노인복지시설,재가노인복지시설,자치구,장민균,1129000000,성북구,서울특별시 성북구 삼양로2길 55 (길음동),17,17,02-989-0161,2732
남산실버복지센터,A0839,(노인) 재가노인복지시설,재가노인복지시설,자치구,박창남,1114000000,중구,서울특별시 중구 동호로5길 189 (신당동),34,34,02-2238-9941,4595
행복창조노인복지센터(방문요양),A0877,(노인) 재가노인복지시설,재가노인복지시설,자치구,김현훈,1138000000,은평구,서울특별시 은평구 응암로21길 10(응암동),20,23,02-382-1442,3456
강서구립봉제산노인복지센터,A0922,(노인) 노인복지관(소규모),노인여가복지시설,자치구,서순애,1150000000,강서구,서울특별시 강서구 초록마을로15길 12,,250,02-2605-1553,7676
청운실버센터,A0937,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,이지원,1111000000,종로구,서울특별시 종로구 자하문로28길 29 (청운동),9,9,02-730-4966,3047
시립중계노인전문요양원,A0974,(노인) 노인요양시설,노인의료복지시설,자치구,민동세,1135000000,노원구,서울특별시 노원구 섬밭로 313 (중계동),258,256,02-3399-7500,1771
정수데이케어센터,A1000,(노인) 재가노인복지시설,재가노인복지시설,자치구,권기현,1120000000,성동구,서울특별시 성동구 한림말길 16-5 (옥수동),21,21,02-2282-1126,4736
시립중랑노인종합복지관,A1022,(노인) 노인복지관,노인여가복지시설,자치구,조희정,1126000000,중랑구,서울특별시 중랑구 겸재로9길 45(면목동),18000,18000,02-493-9966,2134
시립서부노인전문요양센터,A1025,(노인) 노인요양시설,노인의료복지시설,자치구,이희근,1144000000,마포구,서울특별시 마포구 월드컵로36길 15 (성산동),270,270,02-376-0472,3937
우리모두데이케어센터,A1074,(노인) 재가노인복지시설,재가노인복지시설,자치구,김기철,1150000000,강서구,서울특별시 강서구 화곡로63가길 92,17,17,02)2658-1118,7577
푸른햇살데이케어센터,A1082,(노인) 재가노인복지시설,재가노인복지시설,자치구,최성숙,1162000000,관악구,서울특별시 관악구 난곡로 110(난항동),22,22,02-851-2833,8860
시립동부데이케어센터,A1103,(노인) 재가노인복지시설,재가노인복지시설,자치구,곽금봉,1120000000,성동구,서울특별시 성동구 마장로23길 12 (홍익동),35,35,02-3407-2738,4706
휘경데이케어센터,A1144,(노인) 재가노인복지시설,재가노인복지시설,자치구,정국인,1123000000,동대문구,서울특별시 동대문구 망우로20가길 34-6(휘경동),20,18,02-2249-0173,2501
한마음방문요양센터,A1153,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은점,1150000000,강서구,서울특별시 강서구 초록마을로14길 44 (화곡동),80,0,02-2607-7315,7722
강남구립강남노인종합복지관,A1165,(노인) 노인복지관,노인여가복지시설,자치구,고영한,1168000000,강남구,서울특별시 강남구 삼성로 628강남노인종합복지관 (삼성동),,1150,02-549-7070,6085
강북노인종합복지관,A1174,(노인) 노인복지관,노인여가복지시설,자치구,김시재,1130500000,강북구,서울특별시 강북구 삼양로92길 40-0강북노인종합복지관,80,80,02-999-9179,1082
참사랑재가노인지원센터,A1193,(노인) 재가노인복지시설,재가노인복지시설,자치구,조병기,1150000000,강서구,서울특별시 강서구 곰달래로 852층,80,80,02-2606-9559,7772
아현노인복지센터,A1216,(노인) 재가노인복지시설,재가노인복지시설,자치구,윤승임,1144000000,마포구,서울특별시 마포구 마포대로26길 19-0(공덕동),25,25,02-365-3677,4201
어르신이행복한세상주야간보호센터,A1294,(노인) 재가노인복지시설,재가노인복지시설,자치구,박병택,1147000000,양천구,서울특별시 양천구 신월로 338원빌딩 2층,9,7,02-2646-3898,8086
중앙소규모요양시설,A1302,(노인) 노인요양시설,노인의료복지시설,자치구,박형준,1141000000,서대문구,서울특별시 서대문구 서소문로 43-49 (합동),24,24,02-362-9262,3741
남부실버요양원,A1307,(노인) 노인요양시설,노인의료복지시설,자치구,송평섭,1154500000,금천구,서울특별시 금천구 범안로12가길 59,28,27,02-804-1957,8602
순애노인전문요양원,A1310,(노인) 노인요양시설,노인의료복지시설,자치구,마민주,1129000000,성북구,경기 고양시 덕양구 고골길 178번길73(관산동),114,80,031-962-8360,10265
어르신이행복한세상요양센터01호,A1328,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,박병택,1147000000,양천구,서울특별시 양천구 신월로 338원빌딩 2층,9,8,02-2646-3893,8086
중계데이케어센터,A1372,(노인) 재가노인복지시설,재가노인복지시설,자치구,구종회,1135000000,노원구,서울특별시 노원구 중계4동 358주공3단지내,35,32,02-952-0502,1711
상계데이케어센터,A1434,(노인) 재가노인복지시설,재가노인복지시설,자치구,박용철,1135000000,노원구,서울특별시 노원구 덕릉로115나길 25상계데이케어센터 (상계동),18,18,02-951-9997,1638
한사랑실버케어요양원,A1515,(노인) 노인요양시설,노인의료복지시설,자치구,주광미,1123000000,동대문구,서울특별시 동대문구 장한로28길 56 (장안동),29,20,02-3394-4560,2524
자비의집,A1547,(노인) 노인요양시설,노인의료복지시설,자치구,허영숙,1138000000,은평구,서울특별시 은평구 서오릉로 30-17(녹번동),25,26,02-354-1116,3380
북가좌노인복지관,A1599,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이은희,1141000000,서대문구,서울특별시 서대문구 증가로20길 43북가좌2동노인복지센터,110,110,02-376-5040,3668
갈현데이케어센터,A1605,(노인) 재가노인복지시설,재가노인복지시설,자치구,손진호,1138000000,은평구,서울특별시 은평구 통일로89길 12-6갈현노인복지관,21,19,02-357-2640,3328
약수데이케어센터,A1609,(노인) 재가노인복지시설,재가노인복지시설,자치구,강경희,1159000000,동작구,서울특별시 동작구 양녕로36길 132층(상도동),24,24,02-825-7071,6965
보사노인복지센터,A1676,(노인) 재가노인복지시설,재가노인복지시설,자치구,한서경,1144000000,마포구,서울특별시 마포구 성미산로29안길 302층 (연남동)(연남동),12,12,02-3273-6692,3980
구립하계실버센터,A1703,(노인) 노인요양시설,노인의료복지시설,자치구,김민성,1135000000,노원구,서울특별시 노원구 한글비석로 4 (하계동),76,76,02-975-9555,1862
정성요양원,A1704,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,김대경,1159000000,동작구,서울특별시 동작구 보라매로 89-0거성빌딩 6층,9,9,02-822-8636,7060
송파노인복지센터,A1717,(노인) 재가노인복지시설,재가노인복지시설,자치구,이후자,1171000000,송파구,서울특별시 송파구 백제고분로41길 19-24신원빌딩,21,21,02-2202-3677,5625
효림데이케어센터,A1721,(노인) 재가노인복지시설,재가노인복지시설,자치구,김동금,1141000000,서대문구,서울특별시 서대문구 경기대로9길 624층,17,17,02-313-5124,3746
은천재가노인지원센터,A1722,(노인) 재가노인복지시설,재가노인복지시설,자치구,노선영,1123000000,동대문구,서울특별시 동대문구 장한로27가길 53(장안2동),120,122,02-2249-0580,2527
효림노인요양센터,A1723,(노인) 노인요양시설,노인의료복지시설,자치구,김동금,1141000000,서대문구,서울특별시 서대문구 경기대로9길 62 (충정로3가),21,21,02-313-5124,3746
중앙노인보호전문기관,A1729,(노인) 노인보호전문기관,노인보호전문기관,자치구,최영숙,1156000000,영등포구,서울특별시 마포구 마포대로 182-10성촌빌딩 2층공덕동,0,,02-3667-1389,4207
양천어르신종합복지관,A1732,(노인) 노인복지관,노인여가복지시설,자치구,한승호,1147000000,양천구,서울특별시 양천구 목동로3길 106서울특별시 양천구 목동로3길106 (신정동),,,02-2649-8815,8098
연희노인복지관,A1756,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김태경,1141000000,서대문구,서울특별시 서대문구 홍제천로2길 111연희노인여가복지시설,190,160,02-3143-7778,3700
호선실버센터,A1926,(노인) 노인요양시설,노인의료복지시설,자치구,배국원,1150000000,강서구,서울특별시 강서구 수명로2길 96-0,110,95,02-2662-6712,7636
강북노인전문요양원,A1945,(노인) 노인요양시설,노인의료복지시설,자치구,김응익,1130500000,강북구,서울특별시 강북구 삼양로92길 20(수유동),80,78,02-900-8957,1082
한빛데이케어센터,A1963,(노인) 재가노인복지시설,재가노인복지시설,자치구,권구택,1147000000,양천구,서울특별시 양천구 신월로11길 16(신월4동),28,27,02-2698-9977,8031
청담노인복지센터,A1980,(노인) 재가노인복지시설,재가노인복지시설,자치구,유지훈,1154500000,금천구,서울특별시 금천구 금하로29길 36(시흥2동),21,21,070-4680-2461,8656
유자원,A2007,(노인) 노인요양시설,노인의료복지시설,자치구,장영실,1123000000,동대문구,서울특별시 동대문구 망우로 82 (휘경동),120,100,02-3394-5467,2500
한사랑복지센터,A2055,(노인) 재가노인복지시설,재가노인복지시설,자치구,한정옥,1162000000,관악구,서울특별시 관악구 은천로 83-1,0,0,02-3285-8969,8715
송파치매주.야간보호센터,A2065,(노인) 재가노인복지시설,재가노인복지시설,자치구,이경수,1171000000,송파구,서울특별시 송파구 백제고분로32길 41,34,32,02-3431-6736,5598
홍은데이케어센터,A2069,(노인) 재가노인복지시설,재가노인복지시설,자치구,백영수,1141000000,서대문구,서울특별시 서대문구 홍은중앙로9길 21홍은중앙로9길 21 ,21,21,02-391-1355,3602
노인주간보호센터은빛마을,A2075,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은주,1165000000,서초구,서울특별시 서초구 신반포로 33길 22(잠원동)반포종합사회복지관 2층,21,21,02-3477-1011,6522
시립은평노인종합복지관,A2077,(노인) 노인복지관,노인여가복지시설,자치구,김승자,1138000000,은평구,서울특별시 은평구 연서로 415,0,1600,02-385-1351,3310
노원1치매데이케어센터,A2104,(노인) 재가노인복지시설,재가노인복지시설,자치구,김윤희,1135000000,노원구,서울특별시 노원구 월계3동사슴1단지아파트 내 노원1종합사회복지관 1층,17,17,02-974-0755,139775
시립동부노인전문요양센터,A2112,(노인) 노인요양시설,노인의료복지시설,자치구,곽금봉,1120000000,성동구,서울특별시 성동구 마장로23길 12 (홍익동),296,296,02-3407-2705,4706
도봉동어르신복지관,A2149,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미혜,1132000000,도봉구,서울특별시 도봉구 도봉로 169가길 52,0,4630,02-3491-3356,1305
서울성모원,A2156,(노인) 양로시설,노인주거복지시설,자치구,오양식,1156000000,영등포구,서울특별시 영등포구 대림로12가길 7-1,9,9,02-831-9311,7438
정원치매노인요양센터,A2159,(노인) 노인요양시설,노인의료복지시설,자치구,이호석,1138000000,은평구,경기도 파주시 장지산로200번길 32-83(광탄면),168,148,031-943-7001,10954
청암노인요양원,A2214,(노인) 노인요양시설,노인의료복지시설,자치구,이성희,1171000000,송파구,서울특별시 송파구 성내천로 193 (마천동),70,70,02-443-4048,5745
정원노인요양원,A2215,(노인) 노인요양시설,노인의료복지시설,자치구,강혜식,1138000000,은평구,경기도 파주시 장지산로200번길 32-83(광탄면),112,96,031-942-8887,10954
성우회,A2218,(노인) 양로시설,노인주거복지시설,자치구,남상미,1138000000,은평구,서울특별시 은평구 통일로92길 13 (불광동),25,20,02-354-8116,3337
구립역촌노인복지관,A2224,(노인) 노인복지관(소규모),노인여가복지시설,자치구,차화석,1138000000,은평구,서울특별시 은평구 연서로3나길 11-30역촌노인복지관,0,500,02-385-9500,3419
구립갈현노인복지관,A2247,(노인) 노인복지관(소규모),노인여가복지시설,자치구,손진호,1138000000,은평구,서울특별시 은평구 통일로89길 12-6갈현노인복지관,0,480,02-357-2640,3328
궁동데이케어센터,A2252,(노인) 재가노인복지시설,재가노인복지시설,자치구,심우철,1153000000,구로구,서울특별시 구로구 부일로17길 158-4(수궁동),21,20,02-2616-0157,152883
약수노인복지관,A2255,(노인) 노인복지관,노인여가복지시설,자치구,민진암,1114000000,중구,서울특별시 중구 다산로6길 11신당동,0,1200,02-2234-3515,4597
서울강남시니어클럽,A2300,(노인) 노인일자리지원기관,노인일자리지원기관,자치구,박주형,1168000000,강남구,"서울특별시 강남구 학동로43길 17논현2문화센터 2층,4층 (논현동)",,100,02-547-8866,6058
그린리버노인복지센터,A2310,(노인) 재가노인복지시설,재가노인복지시설,자치구,윤영자,1171000000,송파구,서울특별시 송파구 성내천로 1894층,80,80,02-406-2688,138818
송파노인종합복지관,A2315,(노인) 노인복지관,노인여가복지시설,자치구,이경수,1171000000,송파구,서울특별시 송파구 백제고분로32길 41,0,1220,02-2203-9400,5598
서초성심노인복지센터(주야간보호),A2360,(노인) 재가노인복지시설,재가노인복지시설,자치구,오명숙,1165000000,서초구,서울특별시 서초구 반포대로22길 61(서초동 1558-15),24,24,02-582-6004,6646
서초성심노인복지센터,A2361,(노인) 노인요양시설,노인의료복지시설,자치구,오명숙,1165000000,서초구,서울특별시 서초구 반포대로22길 61 (서초동 1558-15),29,29,02-582-6004,6646
일광노인요양센터,A2412,(노인) 노인요양시설,노인의료복지시설,자치구,장성란,1129000000,성북구,서울특별시 성북구 보문로31길 70 (삼선동3가),29,24,02-742-0755,2863
마포노인복지센터부설마포재가노인지원센터,A2419,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은정,1144000000,마포구,"서울특별시 마포구 만리재로 992,3층 (공덕동, 헤이븐 오피스텔)(공덕동, 헤이븐 오피스텔)",80,80,02-365-7775,4208
동작노인종합복지관,A2509,(노인) 노인복지관,노인여가복지시설,자치구,김익환,1159000000,동작구,서울특별시 동작구 상도로11길 7(대방동),0,1034,02-823-0064,6953
청남노인요양공동생활가정,A2538,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,강경희,1159000000,동작구,서울특별시 동작구 강남초등8길 20-04층,9,9,02-566-6976,156830
다정노인복지센터,A2610,(노인) 재가노인복지시설,재가노인복지시설,자치구,이수정,1120000000,성동구,서울특별시 성동구 용답중앙11길 3-1 (용답동),150,150,02-2245-1020,4803
정토데이케이센터,A2678,(노인) 재가노인복지시설,재가노인복지시설,자치구,안민숙,1153000000,구로구,서울특별시 구로구 디지털로 31길 93(구로3동),20,20,02-852-0522,8375
성북구립 장위실버복지센터,A2723,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김승현,1129000000,성북구,서울특별시 성북구 한천로 7083층 (장위동),,250,02-913-3369,2760
구립중화경로복지관,A2732,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김형기,1126000000,중랑구,서울특별시 중랑구 동일로138길 28 (중화동),1986,1986,02-436-1390,2050
시립성북노인종합복지관,A2733,(노인) 노인복지관,노인여가복지시설,자치구,송향숙,1129000000,성북구,서울특별시 성북구 종암로15길 10(종암동),,1500,02-929-7950,2810
시립노원노인종합복지관,A2739,(노인) 노인복지관,노인여가복지시설,자치구,박지은,1135000000,노원구,서울특별시 노원구 노원로16길 15호(하계동),1005,1005,02-948-8540,1748
시립용산노인종합복지관,A2758,(노인) 노인복지관,노인여가복지시설,자치구,이성희,1117000000,용산구,서울특별시 용산구 독서당로11길16 (한남동),,,02-794-6100,4410
서울시립강서노인종합복지관,A2771,(노인) 노인복지관,노인여가복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85서울특별시 강서구 화곡로61길  85,1000,1000,02-3664-0322,7590
관악노인종합사회복지관병설관악데이케어센터,A2773,(노인) 재가노인복지시설,재가노인복지시설,자치구,이석영,1162000000,관악구,서울특별시 관악구 보라매로 35(봉천동),,,02-888-9978,8708
관악노인종합복지관,A2776,(노인) 노인복지관,노인여가복지시설,자치구,이석영,1162000000,관악구,서울특별시 관악구 보라매로 35(봉천동),1000,1000,02-888-6144,8708
광진데이케어센터,A2777,(노인) 재가노인복지시설,재가노인복지시설,자치구,최광식,1121500000,광진구,서울특별시 광진구 군자로 88(군자동),24,18,02-466-6248,5004
시립서부데이케어센터,A2795,(노인) 재가노인복지시설,재가노인복지시설,자치구,이희근,1144000000,마포구,서울특별시 마포구 월드컵로36길 15-0(성산동),50,50,02-350-0700,3937
가양5데이케어센터,A2870,(노인) 재가노인복지시설,재가노인복지시설,자치구,조인영,1150000000,강서구,서울특별시 강서구 양천로57길 36,31,30,02-3664-8805,7526
마포데이케어센터,A2905,(노인) 재가노인복지시설,재가노인복지시설,자치구,김윤태,1144000000,마포구,서울특별시 마포구 창전동(마포노인종합복지관 2층),24,24,02-6360-0521,121881
사랑이있는집노인요양공동생활가정,A2912,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,정문자,1121500000,광진구,서울특별시 광진구 용마산로8마길 7-10(중곡동),9,9,02-456-0775,4939
구립용산노인전문요양원,A2944,(노인) 노인요양시설,노인의료복지시설,자치구,김신희,1117000000,용산구,서울특별시 용산구 효창원로93길 51 (효창동),91,91,02-715-5540,4311
서울노인복지센터,A2947,(노인) 노인복지관,노인여가복지시설,자치구,김경미,1111000000,종로구,서울특별시 종로구 삼일대로 467(경운동),0,3200,02-739-9501,3147
서대문노인종합복지관,A2955,(노인) 노인복지관,노인여가복지시설,자치구,탁우상,1141000000,서대문구,서울특별시 서대문구 독립문로8길 57(천연동),1000,1300,02-363-9988,3745
기둥재가노인복지시설,A2958,(노인) 재가노인복지시설,재가노인복지시설,자치구,조성삼,1126000000,중랑구,서울특별시 중랑구 면목로33길 50,80,80,02-2207-3927,2241
창동어르신복지관,A2991,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미연,1132000000,도봉구,서울특별시 도봉구 덕릉로60차길 6-0,0,2880,02-906-2968,1480
구립신내노인종합복지관,A3015,(노인) 노인복지관,노인여가복지시설,자치구,김종범,1126000000,중랑구,서울특별시 중랑구 신내로15길 175(신내동),10140,10140,02-3421-4800,2041
서울시니어스타워㈜강서본부,A3022,(노인) 노인복지주택,노인주거복지시설,자치구,김영채,1150000000,강서구,서울특별시 강서구 공항대로 315 (등촌동),220,173,02-2660-3800,7591
쌍문동어르신복지관,A3085,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미정,1132000000,도봉구,서울특별시 도봉구 우이천로 363,0,3240,02-900-4641,1370
구립영등포노인케어센터,A3121,(노인) 노인요양시설,노인의료복지시설,자치구,이지은,1156000000,영등포구,서울특별시 영등포구 도림로 482,118,118,02-2637-3960,7296
시립노원노인종합복지관 병설노원데이케어센터,A3130,(노인) 재가노인복지시설,재가노인복지시설,자치구,박지은,1135000000,노원구,"서울특별시 노원구 노원로16길 15912동 B1층 (하계동, 중계주공9단지아파트)",20,20,02-948-1532,1748
섭리의집,A3167,(노인) 양로시설,노인주거복지시설,자치구,박정희,1154500000,금천구,서울특별시 금천구 시흥대로40길 111-5섭리의집,28,27,02-803-3055,8648
서울시립동대문노인종합복지관,A3206,(노인) 노인복지관,노인여가복지시설,자치구,민경원,1123000000,동대문구,서울특별시 동대문구 제기로33길 25-0(청량리동),0,400,02-963-0565,2462
시립성북노인종합복지관 주간보호센터,A3223,(노인) 재가노인복지시설,재가노인복지시설,자치구,최유준,1129000000,성북구,서울특별시 성북구 종암로21길 21-4 (종암동),21,16,02-929-4956,2804
구로노인종합복지관 병설 데이케어센터,A3269,(노인) 재가노인복지시설,재가노인복지시설,자치구,임성희,1153000000,구로구,서울특별시 구로구 새말로16길 7구로노인종합복지관 (구로동),17,17,02-855-1811,8289
엘림노인복지원,A3318,(노인) 재가노인복지시설,재가노인복지시설,자치구,유광수,1171000000,송파구,서울특별시 송파구 거마로3길 14-32층,80,0,02-3012-8004,5744
서울예정재가노인복지센터,A3334,(노인) 재가노인복지시설,재가노인복지시설,자치구,설동욱,1126000000,중랑구,서울특별시 중랑구 용마산로 3485동 1504호,20,2,02-494-2944,2194
남부실버요양센터 다솔관,A3370,(노인) 노인요양시설,노인의료복지시설,자치구,이경옥,1154500000,금천구,서울특별시 금천구 범안로12가길 59,63,63,02-804-1957,8602
시립서대문노인종합복지관주간보호센터,A3382,(노인) 재가노인복지시설,재가노인복지시설,자치구,탁우상,1141000000,서대문구,서울특별시 서대문구 독립문로8길 57(천연동),21,21,02-363-9980,3745
중랑데이케어센터,A3397,(노인) 재가노인복지시설,재가노인복지시설,자치구,조희정,1126000000,중랑구,서울특별시 중랑구 면목2동(면목동),20,20,02-432-9996,131820
성가정데이케어센터,A3430,(노인) 재가노인복지시설,재가노인복지시설,자치구,최은영,1174000000,강동구,서울특별시 강동구 양재대로156길 28(고덕동),21,21,02-481-2217,5235
아름다운실버홈,A3469,(노인) 노인요양시설,노인의료복지시설,자치구,박은영,1111000000,종로구,서울특별시 종로구 평창길 123 (평창동),16,16,02-394-0461,3002
덕수노인복지센터,A3678,(노인) 재가노인복지시설,재가노인복지시설,자치구,신영삼,1129000000,성북구,서울특별시 성북구 성북로28길 14(성북동),38,38,02-762-4262,136823
성암장수마을,A3710,(노인) 노인요양시설,노인의료복지시설,자치구,황용규,1174000000,강동구,서울특별시 강동구 구천면로68길 46 (천호동),100,75,02-489-2081,5306
강남데이케어센터,A3755,(노인) 재가노인복지시설,재가노인복지시설,자치구,이동섭,1168000000,강남구,서울특별시 강남구 삼성로 628삼성로 628,17,14,02-549-8488,6085
방학동어르신복지관,A3812,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박현우,1132000000,도봉구,서울특별시 도봉구 시루봉로 15라길 59-9 (방학동),0,4020,02-3491-4651,1314
동작데이케어센터,A3938,(노인) 재가노인복지시설,재가노인복지시설,자치구,김익환,1159000000,동작구,서울특별시 동작구 대방동대방동,17,17,02-824-2415,156808
종로노인종합복지관,A3971,(노인) 노인복지관,노인여가복지시설,자치구,정영순,1111000000,종로구,서울특별시 종로구 율곡로19길 17-8(이화동),2000,2000,02-742-9500,3100
북악실버홈 (휴지중),A3980,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,손양순,1111000000,종로구,서울특별시 종로구 진흥로 493-6 (신영동),5,0,02-391-7936,3007
목련데이케어센터,A3989,(노인) 재가노인복지시설,재가노인복지시설,자치구,신민선,1168000000,강남구,서울특별시 강남구 개포로 617-8(일원2동),21,20,02-3412-2226,6336
e-포근한 요양원,A3996,(노인) 노인요양시설,노인의료복지시설,자치구,황광민,1130500000,강북구,서울특별시 강북구 도봉로 266 (미아동),25,25,02-989-9987,1128
성동노인종합복지관,A4002,(노인) 노인복지관,노인여가복지시설,자치구,김광수,1120000000,성동구,서울특별시 성동구 마조로 77 (마장동),0,0,02-2298-5117,4759
도봉노인종합복지관주간보호센터,A4008,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은주,1132000000,도봉구,서울특별시 도봉구 도당로2길 12-13 ,24,24,02-990-6670,1394
