일반명코드,제형구분코드,제형,일반명,분류번호,투여,함량,단위
101334ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen,114,내복,0.16,g(32mg/mL)
101335BIJ,IJ,주사제,acetaminophen,114,주사,0.5,g(10mg/mL)
101336BIJ,IJ,주사제,acetaminophen,114,주사,0.75,g(10mg/mL)
101337ASY,SY,"시럽제,건조시럽",acetaminophen,114,내복,0.16,g(32mg/mL)
101338ASY,SY,"시럽제,건조시럽",acetaminophen,114,내복,0.48,g(32mg/mL)
101339ASY,SY,"시럽제,건조시럽",acetaminophen,114,내복,0.64,g(32mg/mL)
101401ATB,TB,"정제,저작정",acetaminophen(encapsulated),114,내복,0.16,g
101402ATR,TR,서방형정제,acetaminophen encapsulated,114,내복,325,mg
101403ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen(encapsulated),114,내복,32,mg
101404ATB,TB,"정제,저작정",acetaminophen(encapsulated),114,내복,0.325,g
101404ATR,TR,서방형정제,acetaminophen(encapsulated),114,내복,0.325,g
101405ATR,TR,서방형정제,acetaminophen(encapsulated),114,내복,0.65,g
101406ATB,TB,"정제,저작정",acetaminophen(encapsulated),114,내복,80,mg
101407ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen encapsulated,114,내복,30,mg
101408ATB,TB,"정제,저작정",acetaminophen encapsulated(as acetaminophen),114,내복,500,mg
101430ATR,TR,서방형정제,acetaminophen(encapsulated),114,내복,0.65,g
101431ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen(encapsulated),114,내복,1.92,g(32mg/mL)
101432ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen(encapsulated),114,내복,3.2,g(32mg/mL)
101433ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acetaminophen(encapsulated),114,내복,16,g(32mg/mL)
101501ATB,TB,"정제,저작정",acetazolamide,213,내복,0.25,g
101502BIJ,IJ,주사제,acetazolamide sodium (as acetazolamide),213,주사,0.5,g
101601APD,PD,산제,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),219,내복,0.5,g
101601ATB,TB,"정제,저작정",acetyl L-carnitine hydrochloride (as acetyl L-carnitine),219,내복,0.5,g
101601ATE,TE,장용정제,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),219,내복,0.5,g
101701COS,OS,점안제(점안액),acetylcholine chloride,131,외용,20,mg(10mg/mL)
101801ACH,CH,경질캡슐제,acetylcysteine,222,내복,0.1,g
101801AGN,GN,"과립제,세립",acetylcysteine,222,내복,100,mg
101802BIJ,IJ,주사제,acetylcysteine,222,주사,300,mg
101803AGN,GN,"과립제,세립",acetylcysteine,222,내복,100,mg
101804ACH,CH,경질캡슐제,acetylcysteine,222,내복,0.2,g
101804AGN,GN,"과립제,세립",acetylcysteine,222,내복,200,mg
101804ATB,TB,"정제,저작정",acetylcysteine,222,내복,200,mg
101805ALQ,LQ,액제,acetylcysteine,222,내복,800,mg
101805CLQ,LQ,액제,acetylcysteine,222,외용,800,mg
101806AGN,GN,"과립제,세립",acetylcysteine,222,내복,200,mg
101807ATB,TB,"정제,저작정",acetylcysteine,222,내복,0.6,g
101807BIJ,IJ,주사제,acetylcysteine,222,주사,600,mg
101808ASY,SY,"시럽제,건조시럽",acetylcysteine,222,내복,20,mg
101809BIJ,IJ,주사제,acetylcysteine,222,주사,1000,mg
101810BIJ,IJ,주사제,acetylcysteine,222,주사,900,mg
101830AGN,GN,"과립제,세립",acetylcysteine,222,내복,0.2,g(0.2g/g)
101831BIJ,IJ,주사제,acetylcysteine,222,주사,0.3,g(0.1g/mL)
101832BIJ,IJ,주사제,acetylcysteine,222,주사,0.3,g(0.15g/mL)
101833BIJ,IJ,주사제,acetylcysteine,222,주사,0.6,g(0.1g/mL)
101834CLQ,LQ,액제,acetylcysteine,222,외용,0.8,g(0.2g/mL)
101835BIJ,IJ,주사제,acetylcysteine,222,주사,0.9,g(0.1g/mL)
101836BIJ,IJ,주사제,acetylcysteine,222,주사,1,g(0.1g/mL)
101837ASY,SY,"시럽제,건조시럽",acetylcysteine,222,내복,1,g(20mg/mL)
101838ASY,SY,"시럽제,건조시럽",acetylcysteine,222,내복,2,g(20mg/mL)
101839ASY,SY,"시럽제,건조시럽",acetylcysteine,222,내복,10,g(20mg/mL)
101840ASY,SY,"시럽제,건조시럽",acetylcysteine,222,내복,11,g(20mg/mL)
101841ASY,SY,"시럽제,건조시럽",acetylcysteine,222,내복,12,g(20mg/mL)
101842AGN,GN,"과립제,세립",acetylcysteine,222,내복,20,g(0.2g/g)
101843AGN,GN,"과립제,세립",acetylcysteine,222,내복,40,g(0.2g/g)
101844AGN,GN,"과립제,세립",acetylcysteine,222,내복,60,g(0.2g/g)
101845CLQ,LQ,액제,acetylcysteine,222,외용,1,g(0.2g/mL)
101901ATB,TB,"정제,저작정",acetylcysteine glycine thiamphenicol,618,내복,250,mg
102001ATB,TB,"정제,저작정",acetylkitasamycin,614,내복,400,mg
102101ATB,TB,"정제,저작정",acetylspiramycin,614,내복,200,mg
102102ATB,TB,"정제,저작정",acetylspiramycin,614,내복,500,mg
102201ACH,CH,경질캡슐제,acipimox,218,내복,250,mg
102301ACH,CH,경질캡슐제,acitretin,311,내복,10,mg
102302ACH,CH,경질캡슐제,acitretin,311,내복,25,mg
102401BIJ,IJ,주사제,aclarubicin HCl,617,주사,20,mg
102501ACH,CH,경질캡슐제,aclatonium napadisilate,123,내복,25,mg
102501ATB,TB,"정제,저작정",aclatonium napadisilate,123,내복,25,mg
102502ACH,CH,경질캡슐제,aclatonium napadisilate,123,내복,50,mg
102502ATB,TB,"정제,저작정",aclatonium napadisilate,123,내복,50,mg
102601ACH,CH,경질캡슐제,acrivastine,141,내복,8,mg
102701ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",activated charcoal,799,내복,200,mg
102702ACH,CH,경질캡슐제,activated charcoal,799,내복,0.2,g
102703AGN,GN,"과립제,세립",activated charcoal,799,내복,900,mg
102704APD,PD,산제,activated charcoal,799,내복,1,g
102705ATB,TB,"정제,저작정",activated charcoal,239,내복,300,mg
102706BIJ,IJ,주사제,activated charcoal,799,주사,120,mg
102730ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",activated charcoal,799,내복,50,g(0.2g/mL)
102801BIJ,IJ,주사제,actovegin,419,주사,1,ml
102802BIJ,IJ,주사제,actovegin,419,주사,2,ml
102803CCM,CM,"크림제,겔제,젤리",actovegin,419,외용,0.01,ml
102804BIJ,IJ,주사제,actovegin,419,주사,0.4,ml
102901ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acyclovir,629,내복,160,mg
102901ASY,SY,"시럽제,건조시럽",acyclovir,629,내복,160,mg
102902BIJ,IJ,주사제,acyclovir,629,주사,250,mg
102903COO,OO,"안연고제,점안겔제",acyclovir,131,외용,30,mg
102904ACH,CH,경질캡슐제,acyclovir,629,내복,200,mg
102904ATB,TB,"정제,저작정",acyclovir,629,내복,0.2,g
102905BIJ,IJ,주사제,acyclovir,629,주사,0.5,g
102906CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,50,mg
102906COM,OM,연고제,acyclovir,269,외용,50,mg
102907ATB,TB,"정제,저작정",acyclovir,629,내복,0.4,g
102908ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acyclovir,629,내복,40,mg
102909ATB,TB,"정제,저작정",acyclovir,629,내복,0.8,g
102910ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",acyclovir,629,내복,80,mg
102910ASY,SY,"시럽제,건조시럽",acyclovir,629,내복,80,mg
102930CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,0.1,g(50mg/g)
102931COO,OO,"안연고제,점안겔제",acyclovir,131,외용,0.105,g(30mg/g)
102932COO,OO,"안연고제,점안겔제",acyclovir,131,외용,0.135,g(30mg/g)
102933CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,0.15,g(50mg/g)
102934BIJ,IJ,주사제,acyclovir,629,주사,0.25,g(25mg/mL)
102935CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,0.25,g(50mg/g)
102935COM,OM,연고제,acyclovir,269,외용,0.25,g(50mg/g)
102936CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,0.35,g(50mg/g)
102937CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,0.5,g(50mg/g)
102937COM,OM,연고제,acyclovir,269,외용,0.5,g(50mg/g)
102938ASY,SY,"시럽제,건조시럽",acyclovir,629,내복,1.2,g(80mg/mL)
102939COM,OM,연고제,acyclovir,269,외용,1,g(50mg/g)
102940ASY,SY,"시럽제,건조시럽",acyclovir,629,내복,2.4,g(80mg/mL)
102941CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,12,g(50mg/g)
102942ASY,SY,"시럽제,건조시럽",acyclovir,629,내복,12,g(80mg/mL)
102943CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,22.5,g(50mg/g)
102944ASY,SY,"시럽제,건조시럽",acyclovir,629,내복,24,g(0.16g/mL)
102945CCM,CM,"크림제,겔제,젤리",acyclovir,269,외용,25,g(50mg/g)
102946ATC,TC,구강정,acyclovir,629,내복,50,mg/정
103001BIJ,IJ,주사제,adenosine,212,주사,6,mg
103002BIJ,IJ,주사제,adenosine,212,주사,90,mg
103030BIJ,IJ,주사제,adenosine,219,주사,6,mg(3mg/mL)
103031BIJ,IJ,주사제,adenosine,219,주사,90,mg(3mg/mL)
103101ATE,TE,장용정제,adenosine triphosphate,399,내복,20,mg
103201BIJ,IJ,주사제,adenosine triphosphate disodium,399,주사,20,mg(10mg/mL)
103202BIJ,IJ,주사제,adenosine triphosphate disodium,399,주사,21.96,mg
103301BIJ,IJ,주사제,s-adenosyl-l-methionine sulfate-p-toluene sulfonate (as s-adenosyl-l-methionine),399,주사,0.1,g
103401CCM,CM,"크림제,겔제,젤리",alclometasone dipropionate,264,외용,0.5,mg
103401CLT,LT,로션제,alclometasone dipropionate,264,외용,0.5,mg
103402CCM,CM,"크림제,겔제,젤리",alclometasone dipropionate,264,외용,1,mg
103402COM,OM,연고제,alclometasone dipropionate,264,외용,1,mg
103430CCM,CM,"크림제,겔제,젤리",alclometasone dipropionate,264,외용,0.5,mg(0.5mg/g)
103431CCM,CM,"크림제,겔제,젤리",alclometasone dipropionate,264,외용,5,mg(0.5mg/g)
103431CLT,LT,로션제,alclometasone dipropionate,264,외용,5,mg(0.5mg/g)
103432CCM,CM,"크림제,겔제,젤리",alclometasone dipropionate,264,외용,10,mg(1mg/g)
103433CCM,CM,"크림제,겔제,젤리",alclometasone dipropionate,264,외용,0.225,g(0.5mg/g)
103501ATB,TB,"정제,저작정",adrenochrome monoaminoguanidine methanesulfonate,332,내복,30,mg
103502ATB,TB,"정제,저작정",adrenochrome monoaminoguanidine methanesulfonate,332,내복,50,mg
103601BIJ,IJ,주사제,aesalus hippocastanum L. leaves ext.,429,주사,32,mg
103701ATB,TB,"정제,저작정",aescin,429,내복,20,mg
103702BIJ,IJ,주사제,aescin,429,주사,5.1,mg
103801COM,OM,연고제,aesculus hippocastanum L. ext.,429,외용,52,mg
103802COM,OM,연고제,aesculus hippocastanum L. ext.,429,외용,42.6,mg
103901BIJ,IJ,주사제,aesculus hippocastanum L. leaves ext.,429,주사,16,mg
103902BIJ,IJ,주사제,aesculus hippocastanum L. leaves ext.,429,주사,6.4,mg
104001ATB,TB,"정제,저작정",aesculus hippocastanum L. seeds ext.,429,내복,110,mg
104002ACH,CH,경질캡슐제,aesculus hippocastanum L. seeds ext.,429,내복,25,mg
104002ATB,TB,"정제,저작정",aesculus hippocastanum L. seeds ext.,429,내복,25,mg
104003ACS,CS,연질캡슐제,aesculus hippocastanum L. seeds ext.,429,내복,40,mg
104003ATB,TB,"정제,저작정",aesculus hippocastanum L. seeds ext.,429,내복,40,mg
104004ACH,CH,경질캡슐제,aesculus hippocastanum L. seeds ext.,429,내복,50,mg
104004ATB,TB,"정제,저작정",aesculus hippocastanum L. seeds ext.,429,내복,50,mg
104005ACR,CR,서방캡슐제,aesculus hippocastanum L. seeds ext.,429,내복,265,mg
104101ATB,TB,"정제,저작정",afloqualone,119,내복,20,mg
104201ATB,TB,"정제,저작정",alacepril,214,내복,25,mg
104202ATB,TB,"정제,저작정",alacepril,214,내복,50,mg
104301ATB,TB,"정제,저작정",albendazol,642,내복,0.2,g
104302ASY,SY,"시럽제,건조시럽",albendazol,642,내복,20,mg
104303ATB,TB,"정제,저작정",albendazol,642,내복,0.4,g
104401CSP,SP,좌제,albotyl,259,외용,180,mg
104501BIJ,IJ,주사제,aldesleukin(rhIL-2),421,주사,18,MI.U
104601ACS,CS,연질캡슐제,alfacalcidol,311,내복,0.5,㎍
104601ATB,TB,"정제,저작정",alfacalcidol,311,내복,0.5,㎍
104602ACS,CS,연질캡슐제,alfacalcidol,311,내복,1,㎍
104603ACS,CS,연질캡슐제,alfacalcidol,311,내복,0.25,㎍
104701BIJ,IJ,주사제,alfentanil HCl,821,주사,1.088,mg
104702BIJ,IJ,주사제,alfentanil HCl,821,주사,10.88,mg
104703BIJ,IJ,주사제,alfentanil HCl,821,주사,2.72,mg
104704BIJ,IJ,주사제,alfentanil HCl,821,주사,5.44,mg
104730BIJ,IJ,주사제,alfentanil hydrochloride (as alfentanil),821,주사,1,mg(0.5mg/mL)
104731BIJ,IJ,주사제,alfentanil hydrochloride (as alfentanil),821,주사,2.5,mg(0.5mg/mL)
104732BIJ,IJ,주사제,alfentanil hydrochloride (as alfentanil),821,주사,5,mg(0.5mg/mL)
104801ATB,TB,"정제,저작정",alfuzosin HCl,259,내복,2.5,mg
104802ATR,TR,서방형정제,alfuzosin HCl,259,내복,5,mg
104803ATR,TR,서방형정제,alfuzosin hydrochloride,259,내복,10,mg
104901AGN,GN,"과립제,세립",alibendol,239,내복,100,mg
104901ATB,TB,"정제,저작정",alibendol,239,내복,0.1,g
104902AGN,GN,"과립제,세립",alibendol,239,내복,50,mg
105001ATB,TB,"정제,저작정",allopurinol,394,내복,0.1,g
105002ATB,TB,"정제,저작정",allopurinol,394,내복,200,mg
105003ATB,TB,"정제,저작정",allopurinol,394,내복,300,mg
105101ATB,TB,"정제,저작정",allylestrenol,247,내복,25,mg
105201ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",almagate,234,내복,1.5,g(0.1g/mL)
105202APD,PD,산제,almagate,234,내복,1,g
105202ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",almagate,234,내복,1,g
105202ATB,TB,"정제,저작정",almagate,234,내복,1,g
105203ATB,TB,"정제,저작정",almagate,234,내복,0.5,g
105230ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",almagate,234,내복,1,g(66.667mg/mL)
105301ATB,TB,"정제,저작정",alminoprofen,114,내복,150,mg
105302ATB,TB,"정제,저작정",alminoprofen,114,내복,300,mg
105401ATB,TB,"정제,저작정",aloxiporin,114,내복,600,mg
105501ATB,TB,"정제,저작정",alprazolam,117,내복,1,mg
105501ATR,TR,서방형정제,alprazolam,117,내복,1,mg
105502ATB,TB,"정제,저작정",alprazolam,117,내복,0.25,mg
105503ATB,TB,"정제,저작정",alprazolam,117,내복,2,mg
105503ATR,TR,서방형정제,alprazolam,117,내복,2,mg
105504ATB,TB,"정제,저작정",alprazolam,117,내복,0.4,mg
105505ATB,TB,"정제,저작정",alprazolam,117,내복,0.5,mg
105505ATR,TR,서방형정제,alprazolam,117,내복,0.5,mg
105506ATB,TB,"정제,저작정",alprazolam,117,내복,800,㎍
105507ATB,TB,"정제,저작정",alprazolam,117,내복,0.125,mg
105601BIJ,IJ,주사제,alprostadil,219,주사,10,㎍
105602BIJ,IJ,주사제,alprostadil,219,주사,500,㎍
105602CSP,SP,좌제,alprostadil,219,외용,500,㎍
105603BIJ,IJ,주사제,alprostadil,219,주사,5,㎍
105604BIJ,IJ,주사제,alprostadil,219,주사,20,㎍
105605CSP,SP,좌제,alprostadil,219,외용,125,㎍
105606CSP,SP,좌제,alprostadil,219,외용,250,㎍
105607CLQ,LQ,액제,alprostadil,219,외용,1000,㎍
105607CSP,SP,좌제,alprostadil,219,외용,1000,㎍
105608CCM,CM,"크림제,겔제,젤리",alprostadil,219,외용,4,mg
105611BIJ,IJ,주사제,alprostadil,219,주사,40,㎍
105630BIJ,IJ,주사제,alprostadil,219,주사,5,μg(5μg/mL)
105631BIJ,IJ,주사제,alprostadil,219,주사,10,μg(5μg/mL)
105701BIJ,IJ,주사제,alprostadil α-cyclodextrin,219,주사,0.6667,mg
105801ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",aluminum hydroxide gel,234,내복,1.01,g
105802ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",aluminum hydroxide gel,234,내복,1,g
105803BIJ,IJ,주사제,aluminum hydroxide gel,341,주사,441,g
105804BIJ,IJ,주사제,aluminum hydroxide gel,341,주사,882,g
105901ATB,TB,"정제,저작정",aluminum hydroxide gel(dried),234,내복,300,mg
105902ATB,TB,"정제,저작정",aluminum hydroxide gel(dried) (as aluminum hydroxide),234,내복,0.3,g
105903APD,PD,산제,aluminum hydroxide gel(dried),234,내복,500,mg
106001ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",aluminum phosphate(colloidal),234,내복,12.38,g
106002ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",aluminum phosphate(colloidal),234,내복,11,g
106003ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",aluminum phosphate(dried),234,내복,2.6,g
106003ASY,SY,"시럽제,건조시럽",aluminum phosphate (dried),234,내복,2.6,g
106101ACH,CH,경질캡슐제,amantadine hydrochloride,629,내복,0.1,g
106201ATB,TB,"정제,저작정",amantadine sulfate,119,내복,0.1,g
106201BIJ,IJ,주사제,amantadine sulfate,119,주사,200,mg
106230BIJ,IJ,주사제,amantadine sulfate,119,주사,0.2,g(0.4mg/mL)
106301ACH,CH,경질캡슐제,ambroxol HCl,222,내복,30,mg
106301ATB,TB,"정제,저작정",ambroxol hydrochloride,222,내복,30,mg
106302BIJ,IJ,주사제,ambroxol hydrochloride,222,주사,15,mg
106303ASY,SY,"시럽제,건조시럽",ambroxol hydrochloride,222,내복,3,mg
106304ACH,CH,경질캡슐제,ambroxol HCl,222,내복,75,mg
106304ACR,CR,서방캡슐제,ambroxol hydrochloride,222,내복,75,mg
106305ALQ,LQ,액제,ambroxol HCl,222,내복,7.5,mg
106305CSI,SI,분무제 및 흡입제,ambroxol hydrochloride,222,외용,7.5,mg
106306ATB,TB,"정제,저작정",ambroxol hydrochloride,222,내복,20,mg
106306ATO,TO,트로키제,ambroxol hydrochloride,222,내복,20,mg
106307BIJ,IJ,주사제,ambroxol HCl,222,주사,1000,mg
106308ASY,SY,"시럽제,건조시럽",ambroxol hydrochloride,222,내복,6,mg
106330BIJ,IJ,주사제,ambroxol hydrochloride,222,주사,15,mg(7.5mg/mL)
106330CSI,SI,분무제 및 흡입제,ambroxol hydrochloride,222,외용,15,mg(7.5mg/mL)
106331ASY,SY,"시럽제,건조시럽",ambroxol hydrochloride,222,내복,1.5,g(3mg/mL)
106332ASY,SY,"시럽제,건조시럽",ambroxol hydrochloride,222,내복,3,g(3mg/mL)
106401CCM,CM,"크림제,겔제,젤리",amcinonide,269,외용,1,mg
106401COM,OM,연고제,amcinonide,269,외용,1,mg
106430CCM,CM,"크림제,겔제,젤리",amcinonide,264,외용,15,mg(1mg/g)
106501ATB,TB,"정제,저작정",amezinium methylsulfate,219,내복,10,mg
106601ACH,CH,경질캡슐제,amfenac sodium,114,내복,50,mg
106701BIJ,IJ,주사제,amifostine,339,주사,500,mg
106702BIJ,IJ,주사제,amifostine,339,주사,375,mg
106801BIJ,IJ,주사제,amikacin sulfate,612,주사,100,mg
106802BIJ,IJ,주사제,amikacin sulfate,612,주사,1,g
106803BIJ,IJ,주사제,amikacin sulfate,612,주사,0.2,g
106804BIJ,IJ,주사제,amikacin sulfate,612,주사,250,mg
106805BIJ,IJ,주사제,amikacin sulfate,612,주사,500,mg
106806CCM,CM,"크림제,겔제,젤리",amikacin sulfate,619,외용,50,mg
106830BIJ,IJ,주사제,amikacin,612,주사,0.1,g(50mg/mL)
106831BIJ,IJ,주사제,amikacin sulfate,612,주사,0.25,g(0.125g/mL)
106832BIJ,IJ,주사제,amikacin sulfate,612,주사,0.25,g(5mg/mL)
106833BIJ,IJ,주사제,amikacin sulfate,612,주사,0.5,g(0.25g/mL)
106834BIJ,IJ,주사제,amikacin sulfate,612,주사,0.5,g(5mg/mL)
106835BIJ,IJ,주사제,amikacin,613,주사,0.25,g(0.125g/mL)
106836BIJ,IJ,주사제,amikacin,612,주사,0.5,g(0.25g/mL)
106837BIJ,IJ,주사제,amikacin,612,주사,0.2,g(0.1g/mL)
106901ATB,TB,"정제,저작정",amiloride hydrochloride,213,내복,5,mg
107001ATB,TB,"정제,저작정",amineptine HCl,117,내복,100,mg
107101BIJ,IJ,주사제,amino acids,325,주사,0.75,%
107102BIJ,IJ,주사제,amino acids,325,주사,1.5,%
107103BIJ,IJ,주사제,amino acids,325,주사,2,%
107104BIJ,IJ,주사제,amino acids,325,주사,2.5,%
107105BIJ,IJ,주사제,amino acids,325,주사,3,%
107106BIJ,IJ,주사제,amino acids,325,주사,4,%
107107BIJ,IJ,주사제,amino acids,325,주사,4.5,%
107108BIJ,IJ,주사제,amino acids,325,주사,5,%
107109BIJ,IJ,주사제,amino acids,325,주사,5.5,%
107110BIJ,IJ,주사제,amino acids,325,주사,6,%
107111BIJ,IJ,주사제,amino acids,325,주사,6.1,%
107112BIJ,IJ,주사제,amino acids,325,주사,6.5,%
107113BIJ,IJ,주사제,amino acids,325,주사,7,%
107114BIJ,IJ,주사제,amino acids,325,주사,7.5,%
107115BIJ,IJ,주사제,amino acids,325,주사,8,%
107116BIJ,IJ,주사제,amino acids,325,주사,8.5,%
107117BIJ,IJ,주사제,amino acids,325,주사,10,%
107118BIJ,IJ,주사제,amino acids,325,주사,10.5,%
107119BIJ,IJ,주사제,amino acids,325,주사,12,%
107120BIJ,IJ,주사제,amino acids,325,주사,12.5,%
107121BIJ,IJ,주사제,amino acids,325,주사,12.8,%
107122BIJ,IJ,주사제,amino acids,325,주사,13,%
107123BIJ,IJ,주사제,amino acids,325,주사,15,%
107124BIJ,IJ,주사제,amino acids,325,주사,11.5,%
107125BIJ,IJ,주사제,amino acids,325,주사,3.5,%
107127BIJ,IJ,주사제,amino acids,325,주사,0.14,
107131BIJ,IJ,주사제,amino acids(2.5%) ,325,주사,12.5,g/100ml
107132BIJ,IJ,주사제,amino acids(2.5%),325,주사,25,g(25mg/mL)
107133BIJ,IJ,주사제,amino acids(3%),325,주사,6,g(30mg/mL)
107134BIJ,IJ,주사제,amino acids(3%),325,주사,15,g(30mg/mL)
107135BIJ,IJ,주사제,amino acids(4%),325,주사,4,g/100ml
107136BIJ,IJ,주사제,amino acids(4%),325,주사,10,g/250ml
107137BIJ,IJ,주사제,amino acids(4%),325,주사,20,g(40mg/mL)
107138BIJ,IJ,주사제,amino acids(4.5%),325,주사,11.25,g(45mg/mL)
107139BIJ,IJ,주사제,amino acids(5%),325,주사,12.5,g(50mg/mL)
107140BIJ,IJ,주사제,amino acids(5%),325,주사,25,g(50mg/mL)
107141BIJ,IJ,주사제,amino acids(5.5%),325,주사,13.75,g(55mg/mL)
107142BIJ,IJ,주사제,amino acids(6%),325,주사,6,g(60mg/mL)
107143BIJ,IJ,주사제,amino acids(6%),325,주사,12,g(60mg/mL)
107144BIJ,IJ,주사제,amino acids(6%),325,주사,15,g(60mg/mL)
107145BIJ,IJ,주사제,amino acids(6%),325,주사,30,g(60mg/mL)
