영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Angel Albino Corzo International Airport,앙헬알비노코르조 국제공항,TGZ,MMTG,중남미,Mexico,멕시코,Tuxtla Gutierrez
Angelholm Helsingborg Airport,앙헬름 헬싱보리 공항,AGH,ESTA,유럽,Sweden,스웨덴,Angelholm
Angkor International Airport,앙코르 국제공항,REP,VDSR,아시아,Cambodia,캄보디아,Siem Reap
Ankang Wulipu Airport,안강 울리푸 공항,AKA,ZLAK,아시아,China,중국,Ankang
Annecy-Meythe Airport,안시 메이스 공항,NCY,LFLP,유럽,France,프랑스,Annecy
Annisaton Airport,안니사톤 공항,MDL,VYMD,아시아,Myanmar,버마,Mandalay
Anqing Airport,안칭 공항,AQG,ZSAQ,아시아,China,중국,Anqing
Anshan Airport,안산 공항,AOG,ZYAS,아시아,China,중국,Anshan
Antalya Airport,안탈리아 공항,AYT,LTAI,유럽,Turkey,터키,Antalya
Antoine de Saint-Exupery Airport,안트완 데 생떽쥐베리 공항,LYS,LFLL,유럽,France,프랑스,Lyon
Antonio Borja Won Pat International Airport ,안토니오 보르냐 원 팟 국제공항,GUM,PGUM,대양주,Guam,괌,Hagatna
Antonio Juarbe Pol Airport,Antonio Juarbe Pol 공항,ARE,TJAB,중남미,Puerto Rico,푸에르토리코,Arecibo
Antonio Maceo Airport,안토니오 마세오 공항,SCU,MUCU,중남미,Cuba,쿠바,Santiago de Cuba 
Antonio Roldan Betancourt Airport,안토니오 롤란 베탄코트 공항,APO,SKLC,중남미,Colombia,콜롬비아,Apartado
Antwerpen International Airport,앤트워프 국제공항 ,ANR,EBAW,유럽,Belgium,벨기에,Antwerp
Aomori Airport,아오모리 공항,AOJ,RJSA,아시아,Japan,일본,Aomori
Apataki Airport,아파타키 공항,APK,NTGD,대양주,French Plynesia,프랑스령폴리네시아,Apataki
Aracatuba Airport,아라카츄바 공항,ARU,SBAU,중남미,Brazil,브라질,Aracatuba
Arad International Airport,아라드 국제공항,ARW,LRAR,유럽,Romania,루마니아,Arad
Arak Airport,Arak 공항,AJK,OIHR,중동,Iran,이란,Arak
Arar Domestic Airport,아라 국내공항,RAE,OERR,중동,Saudi Arabia,사우디아라비아,Arar
Araraquara Airport,아라라쿠아라 공항,AQA,SBAQ,중남미,Brazil,브라질,Araraquara
Aratika-Nord Airport,아라티카노르드 공항,RKA,NTKK,대양주,French Plynesia,프랑스령폴리네시아,Aratika
Araxos Airport,아락소스 공항,GPA,LGRX,유럽,Greece,그리스,Araxos/Patras
Ardabil Airport,아드블 공항,ADU,OITL,중동,Iran,이란,Ardabil
Aristotelis Airport,아리스토텔스 공항,KSO,LGKA,유럽,Greece,그리스,Kastoria
Arlanda Airport,알란다 공항,ARN,ESSA,유럽,Sweden,스웨덴,Stockholm
Armidale Airport,아미데일 공항,ARM,YARM,대양주,Australia,오스트레일리아,Armidale
Armor Airport,아머 공항,SBK,LFAZ,유럽,France,프랑스,Saint-Brieuc
Arnage Airport,아르나쥐 공항,LME,LFRM,유럽,France,프랑스,Arnage
Arras Roclincourt Airport,아라스 로클랭쿠르 공항,QRV,LFQD,유럽,France,프랑스,Arras / Roclincourt
Arrecife Airport,아리시페 공항,ACE,GCRR,유럽,Spain,스페인,Lanzarote
Arroyo Barril Airport,아로요 바릴 공항,EPS,MDAB,중남미,Dominican Republic,도미니카공화국,SAMANA
Arturo Merino Benitez Airport ,아우투로 메리노 베니테즈 공항,SCL,SCEL,중남미,Chile,칠레,Santiago
Arusha Airport,아루샤 공항,ARK,HTAR,아프리카,Tanzania,탄자니아,Arusha
Arutua Airport,아루투아 공항,AXR,NTGU,대양주,French Plynesia,프랑스령폴리네시아,Arutua
Arvidsjaur Airport,아르비스야우르 공항,AJR,ESNX,유럽,Sweden,스웨덴,Arvidsjaur
Arxan Yiershi Airport,Arxan Yiershi Airport,YIE,ZBES,아시아,China,중국,Arxan
Asahikawa Airport,아사히카와 공항,AKJ,RJEC,아시아,Japan,일본,Asahikawa
Asau Airport,아사우 공항,AAU,NSAU,대양주,Samoa,사모아,Apia
Asheville Regional Airport,애슈빌 공항,AVL,KAVL,북미,United States,미국,Asheville NC
Aspen-Pitkin County Airport,아스펜 핏킨 공항,ASE,KASE,북미,United States,미국,Aspen CO
Astana International Airport,아스타나 국제공항,TSE,UACC,아시아,Kazakhstan,카자흐스탄,Astana
Astor Piazzola International Airport ,아스토 피아졸라 국제공항 ,MDQ,SAZM,중남미,Argentina,아르헨티나,Mar Del Plata
Astrakhan Airport,아스트라한 공항,ASF,URWA,유럽,Russia,러시아,Astrakhan
Asturias Airport,아스투리아스 공항,OVD,LEAS,유럽,Spain,스페인,Asturias
Astypalaia Island National Airport,아스챠이팔리야 아일랜드 내셔널 공항,JTY,LGPL,유럽,Greece,그리스,Astypalaia
Aswan International Airport ,아스완국제공항,ASW,HESN,아프리카,Egypt,이집트,Aswan
Asyuy Airport,앗슈이 공항,ATZ,HEAT,아프리카,Egypt,이집트,Assiut
Ataturk Airport,아타투르크 공항,IST,LTBA,유럽,Turkey,터키,Istanbul
Atlantic City International Airport,애틀랜틱시티 국제공항,ACY,KACY,북미,United States,미국,Atlantic City NJ
Atlantique Airport,아틀란티끄 공항,NTE,LFRS,유럽,France,프랑스,Nantes
Atuona Airport,아투오나 공항,AUQ,NTMN,대양주,French Plynesia,프랑스령폴리네시아,Atuona
Atuona Airport,아투오나 공항,HIX,NTMN,대양주,French Plynesia,프랑스령폴리네시아,Hiva Oa
Auckland International Airport,오클랜드 국제공항,AKL,NZAA,대양주,New Zealand,뉴질랜드,Auckland
Augusta Regional Airport,오거스타 지역공항,AGS,KAGS,북미,United States,미국,Augusta GA
Augusto C. Sandino Airport ,아우구스토 C. 산디모 공항 ,MGA,MNMG,중남미,Nicaragua,니카라과,Managua
Augusto Severo Airport,아우구스토 세베로 공항,NAT,SBNT,중남미,Brazil,브라질,Natal
Aurillac Airport,오리락 공항,AUR,LFLW,유럽,France,프랑스,Aurillac
Aurukun Airport,Aurukun Airport,AUU,YAUR,대양주,Australia,오스트레일리아,Aurukun
Austin-Bergstrom International Airport,오스틴 벅스트롬 국제공항,AUS,KAUS,북미,United States,미국,Austin TX
Austin-Straubel Field Airport,오스튼 스트로벨 필드 공항,GRB,KGRB,북미,United States,미국,Green Bay WI
Auxerre Branches Airport,오세르 블랑슈 공항,AUF,LFLA,유럽,France,프랑스,Auxerre
Avarua Airport,아바루아 공항,AIT,NCAI,대양주,Cook Islands,쿡 군도,Aitutaki
Avesta Krylbo,아베 스타 크릴 보 공항,XYP,,유럽,France,프랑스,Persan / Beaumont
Avignon-Caum Airport,아비뇽 코움 공항,AVN,LFMV,유럽,France,프랑스,Avignon
Awang Airport,아왕 공항,CBO,RPMC,아시아,Philippines,필리핀,Cotabato
Axamo Airport,악사모 공항,JKG,ESGJ,유럽,Sweden,스웨덴,Jonkoping
Aydın Airport,아이딘 공항,CII,LTBD,유럽,Turkey,터키,Aydin
Ba Airport,바 공항,BFJ,NFFA,아시아,China,중국,Bijie
Babimost Airport,바비모스트 공항,IEG,EPZG,유럽,Poland,폴란드,Babimost
Bacacheri Airport,바스케리 공항,BFH,SBBI,중남미,Brazil,브라질,Curitiba
Bacau International Airport,바커우 국제공항,BCM,LRBC,유럽,Romania,루마니아,Bacau
Bacolod City Domestic Airport,바콜로드 국내공항,BCD,RPVB,아시아,Philippines,필리핀,Bacolod
Badajoz Airport,바다호스 공항,BJZ,LEBZ,유럽,Spain,스페인,Badajoz
Bagdogra Airport / Bagdogra Air Force Base,바그도그라 공항,IXB,VEBD,아시아,India,인도,Bagdogra
Baginton Airport,배징턴 공항,CVT,EGBE,유럽,United Kingdom,영국,Coventry
Bahawalpur Airport,바하왈퍼 공항,BHV,OPBW,아시아,Pakistan,파키스탄,Bahawalpur
Bahias de Huatulco International Airport,버하이 데 후아츌코 국제공항,HUX,MMBT,중남미,Mexico,멕시코,Huatulco
Bahrain International Airport,바레인 국제공항,BAH,OBBI,중남미,Bahamas,바하마,Bahrain
Baia Mare Airport,바이아마레 공항,BAY,LRBM,유럽,Romania,루마니아,Baia Mare
Baicheng Changan Airport,백성 장안 공항,DBC,,아시아,China,중국,Baicheng
Baillif Airport,베일리프 공항,BBR,TFFB,중남미,Guadeloupe,과들루프,Basse Terre
Baise Bama Airport,바이스 바마 공항,AEB,ZGBS,아시아,China,중국,Baise
Baiyun Airport,바이윤 공항,CAN,ZGGG,아시아,China,중국,Guangzhou
Bajpe Airport,바즈페 공항,IXE,VOML,아시아,India,인도,Mangalore
Balandino Airport,발란디노 공항,CEK,USCC,유럽,Russia,러시아,Chelyabinsk
Baler Airport,발러 공항,BQA,RPUR,아시아,Philippines,필리핀,Baler
Balıkesir Airport ,발리케시르 공항 ,BZI,LTBF,유럽,Turkey,터키,Balikesir
Ballina Byron Gateway Airport,밸리나 바이런 게이트웨이 공항,BNK,YBNA,대양주,Australia,오스트레일리아,Ballina
Baltimore - Washington International Thurgood Marshall Airport,볼티모어 워싱턴 국제공항 ,BWI,KBWI,북미,United States,미국,Baltimore MD
Baltra Airport,발트라 공항,GPS,SEGS,중남미,Ecuador,에콰도르,Baltra
Bam Airport,밤 공항,BXR,OIKM,중동,Iran,이란,Bam
Bamenda Airport,바멘다 공항,BPC,FKKV,아프리카,Cameroon,카메룬,Bamenda
Bamrauli Airport,밤라울리 공항,IXD,VIAL,아시아,India,인도,Allahabad
Ban Huoeisay Airport ,반 핫 사이 공항,HOI,VLHS,대양주,French Plynesia,프랑스령폴리네시아,Hao Island
Banak Airport,바낙 공항,LKL,ENNA,유럽,Norway,노르웨이,Lakselv
Bandar Abbass International Airport,반다르압바스 국제공항,BND,OIKB,중동,Iran,이란,Bandar Abbas
Bandar Lengeh Airport,반다랭게 공항,BDH,OIBL,중동,Iran,이란,Bandar Lengeh
Bandaranaike International Airport,밴다라나이크 국제공항,CMB,VCBI,아시아,Sri Lanka,스리랑카,Colombo
Bangor International Airport,뱅거 국제공항,BGR,KBGR,북미,United States,미국,Bangor ME
Bangui MPoko International Airport,방기 음포코 국제공항,BGF,FEFF,아프리카,Central African Republic,중앙아프리카공화국,Bangui
Banja Luka International Airport,바냐루카 국제공항,BNX,LQBK,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Banja Luka
Banyuwangi Airport,반유방기 공항,BWX,WADY,아시아,Indonesia,인도네시아,Banyuwangi
Baoshan Airport,바오산 공항,BSD,ZPBS,아시아,China,중국,Baoshan
Baotou Airport,바오터우 공항,BAV,ZBOW,아시아,China,중국,Baotou
Barca Airport ,바르카 공항 ,KSC,LZKZ,유럽,Slovakia,슬로바키아,Kosice
Barcelona International Airport,바르셀로나 국제공항,BCN,LEBL,유럽,Spain,스페인,Barcelona
Bardufoss Airport,바두포스 공항,BDU,ENDU,유럽,Norway,노르웨이,Bardufoss
Bari Karol Wojtyła International Airport ,바리 카롤 워틸랴 국제공항 ,BRI,LIBD,유럽,Italy,이탈리아,Bari
Bario Airport,바리오 공항,BBN,WBGZ,아시아,Malaysia,말레이시아,Bario 
Barkley Regional Airport,바클리 지역공항,PAH,KPAH,북미,United States,미국,Paducah KY
Barnaul Airport,바르나울 공항,BAX,UNBB,유럽,Russia,러시아,Barnaul
Barranco Minas Airport,Barranco Minas Airport,NBB,SKBM,중남미,Colombia,콜롬비아,Barranco Minas
Basco Airport,바스코 공항,BSO,RPUO,아시아,Philippines,필리핀,Basco
Bathurst Island Airport,베더스트아일랜드 공항,BRT,YBTI,대양주,Australia,오스트레일리아,Bathurst
Batman Airport,바트만 공항,BAL,LTCJ,유럽,Turkey,터키,Batman
Batna Airport,바트나 공항,BLJ,DABT,아프리카,Algeria,알제리,Batna
Baton Rouge Metropolitan Airport,배턴루지 메트로폴리탄 공항,BTR,KBTR,북미,United States,미국,Baton Rouge LA
Batsfjord Airport,보트스피오르 공항,BJF,ENBS,유럽,Norway,노르웨이,Batsfjord
Batu Berendum Airport,바투 베렌둠 공항,MKZ,WMKM,아시아,Malaysia,말레이시아,Malacca
Batumi Airport,바투미 공항,BUS,UGSB,아시아,Georgia,조지아,Batumi
Bayannur Tianjitai Airport,Bayannur Tianjitai 공항,RLK,ZBYZ,아시아,China,중국,Bayannur
Bazhong Enyang Airport,바중 엔양 공항,BZX,ZUBZ,아시아,China,중국,Bazhong 
Beauvais Airport ,보배 공항 ,BVA,LFOB,유럽,France,프랑스,Beauvais
Begishevo Airport,베지쉐프 공항,NBC,UWKE,유럽,Russia,러시아,Naberevnye Chelny
Beigan Airport,베이간 공항,MFK,RCMT,아시아,Chinese Taipei,대만,Beigan 
Beihai Airport,베이하이 공항,BHY,ZGBH,아시아,China,중국,Beihai
Beijing Capital Airport,베이징 캐피탈 공항,PEK,ZBAA,아시아,China,중국,Beijing
Beijing Daxing International Airport,베이징 다싱 국제공항,PKX,ZBAD,아시아,China,중국,Beijing 
Beira Airport,베이라 공항,BEW,FQBR,아프리카,Mozambique,모잠비크,Beira
Beirut International Airport ,베이루트 국제공항 ,BEY,OLBA,중동,Lebanon,레바논,Beirut
Beja Air Base,베자 에어베이스,BYJ,LPBJ,유럽,Portugal,포르투갈,Beja
Belaga Airport,벨라가 공항,BLG,WBGC,아시아,Malaysia,말레이시아,Belaga 
Belaya Gora Airport,벨라야 고라 공항,BGN,UESG,아시아,Philippines,필리핀,Bagabag
Belfast City Airport,벨파스트 시티 공항,BHD,EGAC,유럽,United Kingdom,영국,Belfast
Belfast International Airport,벨파스트 국제공항,BFS,EGAA,유럽,United Kingdom,영국,Belfast
Belgorod Airport,벨고로드 공항,EGO,UUOB,유럽,Russia,러시아,Belgorod
Belgrade Nikola Tesla International Airport,벨그라드 국제공항,BEG,LYBE,유럽,Serbia and Montenegro,세르비아,Belgrade
Bellingham International Airport,벨링헴 국제공항,BLI,KBLI,북미,United States,미국,Bellingham WA
Belmonte Airport,벨몬테 공항,PVH,SBPV,중남미,Brazil,브라질,Porto Velho
Belo Horizonte International Airport,벨루 오리 존치 국제 공항,BHZ,SBCF,중남미,Brazil,브라질,Belo Horizonte
Beloyarsk Airport,벨로스타크 공항,EYK,USHQ,유럽,Russia,러시아,Beloyarsky
Belp Airport ,벨프 공항,BRN,LSZB,유럽,Switzerland,스위스,Bern
Ben Gurion International Airport,반구리온 국제공항,TLV,LLBG,중동,Israel,이스라엘,Tel-Aviv
Ben Slimane Airport,벤슬리만 공항,GMD,GMMB,아프리카,Morocco,모로코,Ben Slimane
Benazir Bhutto International Airport ,베나지르 부토 국제공항 ,ISB,OPRN,아시아,Pakistan,파키스탄,Islamabad
Benbecula Airport,벤베쿠라 공항,BEB,EGPL,유럽,United Kingdom,영국,Benbecula
Bengaluru International Airport,벵갈루루 국제공항,BLR,VOBL,아시아,India,인도,Bangalore
Benin Airport,베닌 공항,BNI,DNBE,아프리카,Nigeria,나이지리아,Benin
Benito Juarez International Airport ,베니토 후아레즈 국제공항 ,MEX,MMMX,중남미,Mexico,멕시코,Mexico City
Benjamin Rivera Noriega Airport,벤쟈민 리베라 노리에가 공항,CPX,TJCP,중남미,Puerto Rico,푸에르토리코,Culebra
Berlevag Airport,벨레보그 공항,BVG,ENBV,유럽,Norway,노르웨이,Berlevag
Berlin Brandenburg Airport,베를린 브란덴부르크 공항,BER,EDDB,유럽,Germany,독일,BERLIN
Bertram Luiz Leupolz-Sorocaba Airport,버트램 루이즈루폴스-소로카바 공항,SOD,SDCO,중남미,Brazil,브라질,Sorocaba
Besancon La Veze Airport,브장송 라 베즈 공항,QBQ,LFQM,유럽,France,프랑스,Besancon / La Veze
Beslan Airport,베슬란 공항,OGZ,URMO,유럽,Russia,러시아,Vladikavkaz
Beziers-Vias Airport,베이지에르 비어스 공항,BZR,LFMU,유럽,France,프랑스,Beziers
Bhavnagar Airport,바브하가 공항,BHU,VABV,아시아,India,인도,Bhavnagar
Bhisiana Air Force Base,비자냐 공군기지,BUP,VIBT,아시아,India,인도,Bathinda
Bhuntar Airport,분타르 공항,KUU,VIBR,아시아,India,인도,Bhuntar
Biard Airport,비어드 공항,PIS,LFBI,유럽,France,프랑스,Poitiers
Biarritz-Parme Airport ,비아리츠 팜 공항 ,BIQ,LFBZ,유럽,France,프랑스,Biarritz
Biggin Hill Airport,비긴 힐 공항,BQH,EGKB,유럽,United Kingdom,영국,London
Biju Patnaik Airport ,비주 타르나익 공항 ,BBI,VEBS,아시아,India,인도,Bhubaneswar
Bilbao Airport,빌바오 공항,BIO,LEBB,유럽,Spain,스페인,Bilbao
Billard Municipal Airport,빌러드 시공항,TOP,KTOP,북미,United States,미국,Topeka KS
Billings Logan International Airport,빌링스 로건 국제공항,BIL,KBIL,북미,United States,미국,Billings MT
Billund Airport,빌룬드 공항,BLL,EKBI,유럽,Denmark,덴마크,Billund
Billy Bishop Toronto City Airport,빌리비숍 토론토 시티 공항 ,YTZ,CYTZ,북미,Canada,캐나다,Toronto ON
Bingol Airport,Bingol 공항,BGG,LTCU,유럽,Turkey,터키,Bingol
Bintulu Airport,빈툴루 공항,BTU,WBGB,아시아,Malaysia,말레이시아,Bintulu
Birjand Airport,버잔드 공항,XBJ,OIMB,중동,Iran,이란,Birjand
Birmingham International Airport,버밍햄 국제공항,BHX,EGBB,유럽,United Kingdom,영국,Birmingham
Birmingham-Shuttleworth International Airport,버밍햄 셔틀워스 국제공항,BHM,KBHM,북미,United States,미국,Birmingham AL
