부문,수집연도,작품명(국문),작품명(영문),작품규격,제작년도,재료/기법,작품해설,작가명,메인이미지,썸네일이미지
회화,2022,갈대의 춤2,갈대의 춤2,120×110cm,2011,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47317,http://collections.eseoul.go.kr/data/art/thumb/47317.jpg
회화,2022,억새소리11,억새소리11,110.5×120cm,2010,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47319,http://collections.eseoul.go.kr/data/art/thumb/47319.jpg
회화,2022,자연의 소리 II,자연의 소리 II,121×110.5cm,2010,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47321,http://collections.eseoul.go.kr/data/art/thumb/47321.jpg
회화,2022,자연의 소리 I,자연의 소리 I,120×110.5cm,2010,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47324,http://collections.eseoul.go.kr/data/art/thumb/47324.jpg
회화,2022,그린 하늘,그린 하늘,80×80cm,2010,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47326,http://collections.eseoul.go.kr/data/art/thumb/47326.jpg
회화,2022,자연의 소리 69(자연의 소리19),자연의 소리 69(자연의 소리19),44×44×5cm,2009,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47328,http://collections.eseoul.go.kr/data/art/thumb/47328.jpg
회화,2022,자연-유채,자연-유채,40×40cm,2009,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47331,http://collections.eseoul.go.kr/data/art/thumb/47331.jpg
회화,2022,억새의 소리,억새의 소리,65×65cm,2009,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47333,http://collections.eseoul.go.kr/data/art/thumb/47333.jpg
회화,2022,억새들판,억새들판,45×80cm,2008,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47335,http://collections.eseoul.go.kr/data/art/thumb/47335.jpg
회화,2022,억새들에서,억새들에서,46×90cm,2008,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47337,http://collections.eseoul.go.kr/data/art/thumb/47337.jpg
회화,2022,김녕 고목,김녕 고목,85.5×85.5cm,2008,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47339,http://collections.eseoul.go.kr/data/art/thumb/47339.jpg
회화,2022,자연의 소리 57(자연의소리9),자연의 소리 57(자연의소리9),65×65cm,2007,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47350,http://collections.eseoul.go.kr/data/art/thumb/47350.jpg
회화,2022,유채풍경 1,유채풍경 1,66×66cm,2007,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47352,http://collections.eseoul.go.kr/data/art/thumb/47352.jpg
회화,2022,제주 오름 억새들,제주 오름 억새들,119.5×110(×2개),2005,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47355,http://collections.eseoul.go.kr/data/art/thumb/47355.jpg
회화,2022,새별오름,새별오름,85×85cm,2005,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47361,http://collections.eseoul.go.kr/data/art/thumb/47361.jpg
회화,2022,자연의 소리 54,자연의 소리 54,100×120cm(×2개),2004,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47363,http://collections.eseoul.go.kr/data/art/thumb/47363.jpg
회화,2022,"녹색풍경, 유채","녹색풍경, 유채",91×91cm,2002,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47369,http://collections.eseoul.go.kr/data/art/thumb/47369.jpg
회화,2022,자연의 소리(김녕 고목),자연의 소리(김녕 고목),120×110cm,2002,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47372,http://collections.eseoul.go.kr/data/art/thumb/47372.jpg
회화,2022,성산입구 풍경,성산입구 풍경,60×91.5cm,2002,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47375,http://collections.eseoul.go.kr/data/art/thumb/47375.jpg
회화,2022,그린풍경,그린풍경,80×90.5cm,2002,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47377,http://collections.eseoul.go.kr/data/art/thumb/47377.jpg
회화,2022,억새 보이는 풍경,억새 보이는 풍경,65.5×65.5cm,2001,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47379,http://collections.eseoul.go.kr/data/art/thumb/47379.jpg
회화,2022,하얀 억새산,하얀 억새산,140×130cm,2001,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47382,http://collections.eseoul.go.kr/data/art/thumb/47382.jpg
회화,2022,금덕초가 마을,금덕초가 마을,61×50.5cm,2001,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47385,http://collections.eseoul.go.kr/data/art/thumb/47385.jpg
회화,2022,노랑오름,노랑오름,60×60cm,2001,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47388,http://collections.eseoul.go.kr/data/art/thumb/47388.jpg
회화,2022,제주 花,제주 花,41.5×61cm,2000,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47390,http://collections.eseoul.go.kr/data/art/thumb/47390.jpg
회화,2022,억새의 소리 23,억새의 소리 23,130×162cm(×2개),1998,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47392,http://collections.eseoul.go.kr/data/art/thumb/47392.jpg
회화,2022,한라산초가,한라산초가,45.5×60.5cm,1998,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47398,http://collections.eseoul.go.kr/data/art/thumb/47398.jpg
회화,2022,억새시리즈-4,억새시리즈-4,110×120cm,1997,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47400,http://collections.eseoul.go.kr/data/art/thumb/47400.jpg
회화,2022,제주오름 갈대길,제주오름 갈대길,41×73cm,1997,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47411,http://collections.eseoul.go.kr/data/art/thumb/47411.jpg
회화,2022,김녕해안,김녕해안,50×73cm,1997,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47413,http://collections.eseoul.go.kr/data/art/thumb/47413.jpg
회화,2022,제주 유채,제주 유채,27.5×45.5cm,1996,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47415,http://collections.eseoul.go.kr/data/art/thumb/47415.jpg
회화,2022,제주해안,제주해안,45.5×60.5cm,1993,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47418,http://collections.eseoul.go.kr/data/art/thumb/47418.jpg
회화,2022,성산 입구에서,성산 입구에서,65×91cm,1993,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47420,http://collections.eseoul.go.kr/data/art/thumb/47420.jpg
회화,2022,한라 철쭉,한라 철쭉,65×91cm,1992,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47422,http://collections.eseoul.go.kr/data/art/thumb/47422.jpg
회화,2022,가파도 보리밭,가파도 보리밭,45.5×60.5cm,1991,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47424,http://collections.eseoul.go.kr/data/art/thumb/47424.jpg
회화,2022,한라산 제주풍경,한라산 제주풍경,91×73cm,1990,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47426,http://collections.eseoul.go.kr/data/art/thumb/47426.jpg
회화,2022,산방산 유채,산방산 유채,45.5×60.5cm,1990,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47525,http://collections.eseoul.go.kr/data/art/thumb/47525.jpg
회화,2022,서귀포 바다,서귀포 바다,49.5×60.5cm,1988,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47527,http://collections.eseoul.go.kr/data/art/thumb/47527.jpg
회화,2022,한라산가는 길,한라산가는 길,45.5×61cm,1987,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47725,http://collections.eseoul.go.kr/data/art/thumb/47725.jpg
회화,2022,한라눈길,한라눈길,45.5×60.5cm,1985,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47727,http://collections.eseoul.go.kr/data/art/thumb/47727.jpg
회화,2022,한라만설,한라만설,45.5×60.5cm,1985,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47729,http://collections.eseoul.go.kr/data/art/thumb/47729.jpg
회화,2022,서귀포 외돌개,서귀포 외돌개,50×60.5cm,1983,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47731,http://collections.eseoul.go.kr/data/art/thumb/47731.jpg
회화,2022,어리목에서,어리목에서,50×60.5cm,1983,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47733,http://collections.eseoul.go.kr/data/art/thumb/47733.jpg
회화,2022,한라 눈길,한라 눈길,41×53cm,1980,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47735,http://collections.eseoul.go.kr/data/art/thumb/47735.jpg
회화,2022,한라의 눈이,한라의 눈이,50×61cm,1980,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47738,http://collections.eseoul.go.kr/data/art/thumb/47738.jpg
회화,2022,스페인에서,스페인에서,53.5×73cm,2011,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47740,http://collections.eseoul.go.kr/data/art/thumb/47740.jpg
회화,2022,평양 대동강,평양 대동강,33×53cm,1999,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47742,http://collections.eseoul.go.kr/data/art/thumb/47742.jpg
회화,2022,백두 장백폭포,백두 장백폭포,97×130cm,1990,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47747,http://collections.eseoul.go.kr/data/art/thumb/47747.jpg
회화,2022,몽쉘미셀,몽쉘미셀,45.5×53cm,1985,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47750,http://collections.eseoul.go.kr/data/art/thumb/47750.jpg
회화,2022,나이아가라,나이아가라,32×41cm,1983,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47752,http://collections.eseoul.go.kr/data/art/thumb/47752.jpg
회화,2022,미국 요세 밑,미국 요세 밑,32×41cm,1983,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47755,http://collections.eseoul.go.kr/data/art/thumb/47755.jpg
회화,2022,스웨덴 고성,스웨덴 고성,45.5×53cm,1982,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47757,http://collections.eseoul.go.kr/data/art/thumb/47757.jpg
회화,2022,스웨덴,스웨덴,55.5×53cm,1982,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47759,http://collections.eseoul.go.kr/data/art/thumb/47759.jpg
회화,2022,캐나다 여름,캐나다 여름,32×41cm,1991,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47761,http://collections.eseoul.go.kr/data/art/thumb/47761.jpg
회화,2022,영국의 고성,영국의 고성,45.5×53cm,1980,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47763,http://collections.eseoul.go.kr/data/art/thumb/47763.jpg
회화,2022,스웨덴 성당,스웨덴 성당,45.5×53cm,1978,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47765,http://collections.eseoul.go.kr/data/art/thumb/47765.jpg
회화,2022,센강과 노트르담 사원,센강과 노트르담 사원,60.5×91cm,1975,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47767,http://collections.eseoul.go.kr/data/art/thumb/47767.jpg
회화,2022,파리 노틀담사원,파리 노틀담사원,41×60.6cm,1975,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47769,http://collections.eseoul.go.kr/data/art/thumb/47769.jpg
회화,2022,루브르 미술관 보이는 Seine강,루브르 미술관 보이는 Seine강,41×60.5cm,1975,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47772,http://collections.eseoul.go.kr/data/art/thumb/47772.jpg
회화,2022,프랑스 Chateau de Vincennes,프랑스 Chateau de Vincennes,45.5×60.5cm,1975,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47774,http://collections.eseoul.go.kr/data/art/thumb/47774.jpg
회화,2022,네덜란드 수로,네덜란드 수로,46×60.5cm,1975,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47776,http://collections.eseoul.go.kr/data/art/thumb/47776.jpg
회화,2022,태국 사원,태국 사원,45.5×53cm,1973,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47778,http://collections.eseoul.go.kr/data/art/thumb/47778.jpg
회화,2022,월남 사이공 동물원,월남 사이공 동물원,46×61cm,1972,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47780,http://collections.eseoul.go.kr/data/art/thumb/47780.jpg
회화,2022,청평 근교 여름,청평 근교 여름,85×85cm,2008,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47783,http://collections.eseoul.go.kr/data/art/thumb/47783.jpg
회화,2022,독도,독도,60.5×91cm,2007,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47785,http://collections.eseoul.go.kr/data/art/thumb/47785.jpg
회화,2022,연못,연못,41×53cm,2000,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47787,http://collections.eseoul.go.kr/data/art/thumb/47787.jpg
회화,2022,염전,염전,45.5×60.5cm,1998,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47789,http://collections.eseoul.go.kr/data/art/thumb/47789.jpg
회화,2022,인천염전,인천염전,41×73cm,1997,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47792,http://collections.eseoul.go.kr/data/art/thumb/47792.jpg
회화,2022,오월,오월,45.5×60.5cm,1997,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47794,http://collections.eseoul.go.kr/data/art/thumb/47794.jpg
회화,2022,만추,만추,41×32cm,1996,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47796,http://collections.eseoul.go.kr/data/art/thumb/47796.jpg
회화,2022,길,길,41.5×53cm,1995,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47812,http://collections.eseoul.go.kr/data/art/thumb/47812.jpg
회화,2022,홍도,홍도,53×73cm,1995,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47810,http://collections.eseoul.go.kr/data/art/thumb/47810.jpg
회화,2022,염전,염전,50×73cm,1994,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47808,http://collections.eseoul.go.kr/data/art/thumb/47808.jpg
회화,2022,청평호반,청평호반,60.5×91.5cm,1993,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47806,http://collections.eseoul.go.kr/data/art/thumb/47806.jpg
회화,2022,광능내,광능내,53×73cm,1993,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47816,http://collections.eseoul.go.kr/data/art/thumb/47816.jpg
회화,2022,감천사 계곡,감천사 계곡,73×91cm,1992,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47818,http://collections.eseoul.go.kr/data/art/thumb/47818.jpg
회화,2022,냇가풍경2,냇가풍경2,41×61cm,1991,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47820,http://collections.eseoul.go.kr/data/art/thumb/47820.jpg
회화,2022,봉평설경,봉평설경,31×62cm,1990,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47822,http://collections.eseoul.go.kr/data/art/thumb/47822.jpg
회화,2022,설악 노송,설악 노송,50×60.5cm,1990,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47853,http://collections.eseoul.go.kr/data/art/thumb/47853.jpg
회화,2022,적벽강,적벽강,45.5×53cm,1990,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47855,http://collections.eseoul.go.kr/data/art/thumb/47855.jpg
회화,2022,부산 영도다리,부산 영도다리,65×80.5cm,1989,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47910,http://collections.eseoul.go.kr/data/art/thumb/47910.jpg
회화,2022,바위눈계곡,바위눈계곡,97.5×130.5cm,1988,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47912,http://collections.eseoul.go.kr/data/art/thumb/47912.jpg
회화,2022,고골리 설경,고골리 설경,45.5×60.5cm,1988,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47915,http://collections.eseoul.go.kr/data/art/thumb/47915.jpg
회화,2022,울릉도 통구미,울릉도 통구미,50×60.5cm,1988,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47917,http://collections.eseoul.go.kr/data/art/thumb/47917.jpg
회화,2022,수해리설경,수해리설경,50×72.5cm,1987,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47919,http://collections.eseoul.go.kr/data/art/thumb/47919.jpg
회화,2022,한계령의 설악,한계령의 설악,50×60.5cm,1987,캔버스에 유채,,박광진,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=47921,http://collections.eseoul.go.kr/data/art/thumb/47921.jpg
