자동차검사소명,자동차검사소유형,소재지도로명주소,소재지지번주소,위도,경도,검사소전화번호,운영시간,검사진로수,부지면적,건물면적,검사기술인력수,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부,관리기관전화번호,관리기관명,데이터기준일자
북광주자동차검사소,공공,광주광역시 광산구  사암로  877 (도천동),광주광역시 광산구 도천동 1-9,35.21802851,126.824738,062-962-0990,평일 9~18 토요일 9~13,3,4776,923,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2021-09-27
사하자동차검사소,공공,부산광역시 사하구  을숙도대로  631 (신평동),부산광역시 사하구 신평동 572,35.08608501,128.9747313,051-204-9536,평일 9~18 토요일 9~13,3,10126,1404,,Y,Y,Y,Y,Y,Y,Y,051-315-5000,부산본부,2021-09-27
상암자동차검사소,공공,서울특별시 마포구 구룡길 15  (상암동),서울특별시 마포구 상암동 1733,37.5864923,126.8840896,02-309-7033,평일 9~18 토요일 9~13,3,6620,3005,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2021-09-27
서수원자동차검사소,공공,경기도 수원시 권선구 수인로 24  (서둔동),경기도 수원시 권선구 서둔동 9-19,37.2707557,126.9954541,031-293-9339,평일 9~18 토요일 9~13,4,6166,1232,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2021-09-27
서인천자동차검사소,공공,인천광역시 서구 중봉대로 218  (가좌동),인천광역시 서구 가좌동 602-2,37.4985463,126.648561,032-579-7811,평일 9~18 토요일 9~13,4,4304,1097,,Y,Y,Y,Y,Y,Y,Y,032-833-5000,인천본부,2021-09-27
성남자동차검사소,공공,경기도 성남시 중원구 사기막골로148번길 8  (상대원동),경기도 성남시 중원구 상대원동 171-5,37.4410537,127.1783702,031-747-9467,평일 9~18 토요일 9~13,3,4222,1107,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2021-09-27
성동자동차검사소,공공,서울특별시 성동구  가람길  117 (송정동),서울특별시 성동구 송정동 73-36,37.55260324,127.0578565,02-2244-2556,평일 9~18 토요일 9~13,2,3089,491,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2021-09-27
성산자동차검사소,공공,서울특별시 마포구 월드컵로 220  (성산동),서울특별시 마포구 성산동 436-1,37.5673389,126.9013651,02-306-5986,평일 9~18 토요일 9~13,8,15731,2549,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2021-09-27
세종자동차검사소,공공,세종특별자치시    종합운동장로  11-5 (대평동),세종특별자치시 대평동 583-2,36.46750007,127.2671513,044-868-0515,평일 9~18 토요일 9~13,3,7197,1426,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2021-09-27
수성자동차검사소,공공,대구광역시 수성구  노변로  33 (노변동),대구광역시 수성구 노변동 435,35.83430845,128.6990104,053-791-6039,평일 9~18 토요일 9~13,4,10240,2038,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2021-09-27
수원자동차검사소,공공,경기도 수원시 영통구 신원로 240  (매탄동),경기도 수원시 영통구 매탄동 495-7,37.25666341,127.0607001,031-211-2414,평일 9~18 토요일 9~13,3,5270,1166,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2021-09-27
순천자동차검사소,공공,전라남도 순천시 해촌길 10  (조례동),전라남도 순천시 조례동 1791,34.9649137,127.5495402,061-741-5532,평일 9~18 토요일 9~13,2,2578,512,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2021-09-27
신탄진자동차검사소,공공,대전광역시 대덕구  대덕대로1417번길  31 (문평동),대전광역시 대덕구 문평동 83-1,36.4470167,127.4051163,042-931-8106,평일 9~18 토요일 9~13,3,6150,1649,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2021-09-27
안동자동차검사소,공공,경상북도 안동시  경북대로  166-13 (수상동),경상북도 안동시 수상동 590-41,36.548134,128.7028338,054-858-8447,평일 9~18 토요일 9~13,2,4629,833,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2021-09-27
안산자동차검사소,공공,경기도 안산시 상록구  안산천서로6길  16 (월피동),경기도 안산시 상록구 월피동 483-1,37.33739152,126.849213,031-475-5270,평일 9~18 토요일 9~13,2,4480,826,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2021-09-27
안양자동차검사소,공공,경기도 안양시 동안구 시민대로 392 (관양동),경기도 안양시 동안구 관양동 909-1,37.39550714,126.9736054,031-422-4500,평일 9~18 토요일 9~13,4,4367,1254,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2021-09-27
여수자동차검사소,공공,전라남도 여수시  만성로  184-11 (만흥동),전라남도 여수시 만흥동 1372-7,34.77331431,127.7167516,061-653-9893,평일 9~18 토요일 9~13,1,3258,368,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2021-09-27
영주자동차검사소,공공,경상북도 영주시  구성로88번길  52 (휴천동),경상북도 영주시 휴천동 1878,36.803408,128.6330261,054-636-0279,평일 9~18 토요일 9~13,1,2729,458,,Y,Y,Y,Y,Y,N,Y,053-794-3812,대구경북본부,2021-09-27
용인자동차검사소,공공,경기도 용인시 기흥구  중부대로  853 (상하동),경기도 용인시 기흥구 상하동 64-27,37.25286598,127.1458856,031-281-3709,평일 9~18 토요일 9~13,2,4323,776,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2021-09-27
울산자동차검사소,공공,울산광역시 남구 장생포로 8  (여천동),울산광역시 남구 여천동 866,35.51926466,129.3440447,052-269-8598,평일 9~18 토요일 9~13,3,3347,1226,,Y,Y,Y,Y,Y,Y,Y,052-256-9373,울산본부,2021-09-27
원주자동차검사소,공공,강원도 원주시 행구로 255  (행구동),강원도 원주시 행구동 1537-2,37.34348736,127.9843491,033-747-1110,평일 9~18 토요일 9~13,2,5699,827,,Y,Y,Y,Y,Y,Y,Y,033-261-1580,강원본부,2021-09-27
의정부자동차검사소,공공,경기도 의정부시  평화로  287 (호원동),경기도 의정부시 호원동 441-9,37.71730457,127.0470417,031-871-5000,평일 9~18 토요일 9~13,2,3198,507,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기북부본부,2021-09-27
이현자동차검사소,공공,대구광역시 서구  문화로  27 (이현동),대구광역시 서구 이현동 42-238,35.8749419,128.5357905,053-565-5000,평일 9~18 토요일 9~13,4,8145,1910,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2021-09-27
익산자동차검사소,공공,전라북도 익산시 석암로13길 101-7  (팔봉동),전라북도 익산시 팔봉동 835-1,35.9547307,127.0049552,063-832-0404,평일 9~18 토요일 9~13,2,989,301,,Y,Y,Y,Y,Y,Y,Y,063-212-4740,전북본부,2021-09-27
인천자동차검사소,공공,인천광역시 미추홀구  아암대로253번길 81 (학익동),인천광역시 미추홀구 학익동 587-76,37.44118408,126.6376729,032-831-0196,평일 9~18 토요일 9~13,5,6627,1690,,Y,Y,Y,Y,Y,Y,Y,032-833-5000,인천본부,2021-09-27
전주자동차검사소,공공,전라북도 전주시 덕진구 팔복동3가 신행로  44 (팔복동3가),전라북도 전주시 덕진구 팔복동3가 211-5,35.84901414,127.0928187,063-211-9936,평일 9~18 토요일 9~13,3,4737,1278,,Y,Y,Y,Y,Y,Y,Y,063-212-4740,전북본부,2021-09-27
정읍자동차검사소,공공,전라북도 정읍시  해평복룡길  11 (공평동),전라북도 정읍시 공평동 314,35.58358885,126.831227,063-535-6009,평일 9~18 토요일 9~13,2,3838,774,,Y,Y,Y,Y,Y,Y,Y,063-212-4740,전북본부,2021-09-27
제주자동차검사소,공공,제주특별자치도 제주시  삼봉로  79 (도련이동),제주특별자치도 제주시 도련이동 568-1,33.5143462,126.5894928,064-723-3114,평일 9~18 토요일 9~13,2,4893,966,,Y,Y,Y,Y,Y,Y,Y,064-755-3110,제주본부,2021-09-27
주례자동차검사소,공공,부산광역시 사상구  학장로  256 (주례동),부산광역시 사상구 주례동 1287,35.14567213,128.9946989,051-324-1431,평일 9~18 토요일 9~13,4,10542,1924,,Y,Y,Y,Y,Y,Y,Y,051-315-5000,부산본부,2021-09-27
진주자동차검사소,공공,경상남도 진주시 솔밭로43번길 15  (상평동),경상남도 진주시 상평동 235-8,35.1727322,128.1055381,055-752-0814,평일 9~18 토요일 9~13,2,2670,709,,Y,Y,Y,Y,Y,Y,Y,055-294-2501,경남본부,2021-09-27
창원자동차검사소,공공,경상남도 창원시 의창구  창원대로  494 (대원동),경상남도 창원시 의창구 대원동 76,35.22906134,128.648797,055-273-5000,평일 9~18 토요일 9~13,5,5883,1692,,Y,Y,Y,Y,Y,Y,Y,055-294-2501,경남본부,2021-09-27
천안자동차검사소,공공,충청남도 천안시 서북구  음봉로  909-15 (백석동),충청남도 천안시 서북구 백석동 604-18,36.82568276,127.1063325,041-552-6905,평일 9~18 토요일 9~13,2,4215,839,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2021-09-27
청주자동차검사소,공공,충청북도 청주시 흥덕구  사운로386번길  21 (신봉동),충청북도 청주시 흥덕구 신봉동 260-6,36.66122773,127.466392,043-272-1889,평일 9~18 토요일 9~13,2,3902,912,,Y,Y,Y,Y,Y,Y,Y,043-269-5000,충북본부,2021-09-27
춘천자동차검사소,공공,강원도 춘천시 동내로 10  (석사동),강원도 춘천시 석사동 123-1,37.84976428,127.7544064,033-262-2255,평일 9~18 토요일 9~13,2,4174,939,,Y,Y,Y,Y,Y,Y,Y,033-261-1580,강원본부,2021-09-27
충주자동차검사소,공공,충청북도 충주시  목행산단6로 29 (금릉동),충청북도 충주시 금릉동 206-46,37.00068991,127.9190498,043-853-5050,평일 9~18 토요일 9~13,1,4961,833,,Y,Y,Y,Y,Y,Y,Y,043-269-5000,충북본부,2021-09-27
태백자동차검사소,공공,강원도 태백시  태백로  576 (화전동),강원도 태백시 화전동 83-9,37.1869235,128.9616777,033-553-8191,평일 9~18 토요일 9~13,1,3306,451,,Y,Y,Y,Y,Y,N,Y,033-261-1580,강원본부,2021-09-27
포항자동차검사소,공공,경상북도 포항시 남구  섬안로45번길  34 (괴동동),경상북도 포항시 남구 괴동동 1100-4,35.99552941,129.3652649,054-285-2134,평일 9~18 토요일 9~13,2,4959,996,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2021-09-27
해운대자동차검사소,공공,부산광역시 해운대구  센텀동로  201 (재송동),부산광역시 해운대구 재송동 801-17,35.1840271,129.1197484,051-781-7570,평일 9~18 토요일 9~13,6,11424,2363,,Y,Y,Y,Y,Y,Y,Y,051-315-5000,부산본부,2021-09-27
홍성자동차검사소,공공,충청남도 홍성군 홍성읍 충서로 1207,충청남도 홍성군 홍성읍 남장리 217,36.58389087,126.6549167,041-632-5837,평일 9~18 토요일 9~13,1,5446,774,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2021-09-27
