순서,시설ID,컨텐츠 명,사용유무,테마 타입,x 좌표,y 좌표,좌표 배열,좌표타입,메인 이미지,새 주소,구 주소,우편번호,국가 지점 번호,테마 명,거리,업데이트 일,등록일,이미지 URL1,이미지 URL2,이미지 URL3,이미지 URL4,이미지 URL5,동영상 URL,음성파일 URL,평가 점수,평가자 인원,상세정보 이름 1,상세정보 값 1,상세정보 이름 2,상세정보 값 2,상세정보 이름 3,상세정보 값 3,상세정보 이름 4,상세정보 값 4,상세정보 이름 5,상세정보 값 5,상세정보 이름 6,상세정보 값 6,상세정보 이름 7,상세정보 값 7,상세정보 이름 8,상세정보 값 8,상세정보 이름 9,상세정보 값 9,상세정보 이름 10,상세정보 값 10
11,11103419_1679633600955,골마을근린공원_공기주입기,사용,일반,127.0749445,37.638794,"[127.07494449034367,37.638794000236096]",Point,https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_syk3383_20230324135443_1.png,서울특별시 노원구 노원로 236,서울특별시 노원구 하계동 266,1750,다사62496000,(친환경)자전거 편의시설,12498.67472,2023.3.24 13:54,2023.3.24 13:54,https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_syk3383_20230324135443_1.png,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),상시,설치지역,기타|공원|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),기계식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,노원구청 교통지도과,노원구청 교통지도과
12,중랑구_공기주입기_36,공기주입기,사용,일반,127.0930572,37.61680135,"[127.0930571888887,37.61680134943536]",Point,,서울특별시 중랑구 신내로 208,서울특별시 중랑구 신내동 640,2052,다사64085756,(친환경)자전거 편의시설,12954.44802,2022.3.14 11:32,2022.3.14 11:32,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
13,중랑구_공기주입기_1,공기주입기,사용,일반,127.1071246,37.60593921,"[127.10712464564068,37.60593921352669]",Point,,서울특별시 중랑구 양원역로 50,서울특별시 중랑구 망우동 239-1,2062,다사65325635,(친환경)자전거 편의시설,13886.6661,2022.3.14 10:42,2022.3.14 10:42,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
14,중랑구_공기주입기_29,공기주입기,사용,일반,127.0778445,37.61165516,"[127.0778444729453,37.61165515564452]",Point,,서울특별시 중랑구 공릉로 8,서울특별시 중랑구 묵동 189-5,2037,다사62745699,(친환경)자전거 편의시설,11356.29941,2022.3.14 11:23,2022.3.14 11:23,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
15,중랑구_공기주입기_33,공기주입기,사용,일반,127.0936646,37.61598885,"[127.09366457512529,37.6159888468459]",Point,,서울특별시 중랑구 신내로 201,서울특별시 중랑구 신내동 645,2024,다사64135747,(친환경)자전거 편의시설,12977.29781,2022.3.14 11:28,2022.3.14 11:28,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
16,중랑구_공기주입기_20,공기주입기,사용,일반,127.0855512,37.59734668,"[127.08555123074635,37.597346676565294]",Point,,서울특별시 중랑구 동일로126다길 34,서울특별시 중랑구 상봉동 315-102,2097,다사63415540,(친환경)자전거 편의시설,11572.00212,2022.3.14 11:14,2022.3.14 11:14,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
17,중랑구_공기주입기_12,공기주입기,사용,일반,127.0861011,37.61558332,"[127.08610112371089,37.61558332402983]",Point,,서울특별시 중랑구 숙선옹주로 82,서울특별시 중랑구 묵동 23,2041,다사63475743,(친환경)자전거 편의시설,12270.57916,2022.3.14 11:07,2022.3.14 11:07,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
18,중랑구_공기주입기_21,공기주입기,사용,일반,127.1049602,37.60596753,"[127.10496016528124,37.60596752752902]",Point,,서울특별시 중랑구 양원역로 67,서울특별시 중랑구 망우동 252-1,2057,다사65135635,(친환경)자전거 편의시설,13681.27145,2022.3.14 11:14,2022.3.14 11:14,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
19,11103419_1646270682521,공기주입기,사용,일반,127.0357417,37.63399872,"[127.03574167561843,37.633998723641376]",Point,,서울특별시 강북구 한천로115길 20,서울특별시 강북구 번동 230,1137,다사59035949,(친환경)자전거 편의시설,9276.605465,2022.3.3 10:25,2022.3.3 10:25,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,주공5단지(관리사무소앞 화단),,설치유형(*공기주입기와 주차장 만 선택하세요.),기계식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
20,중랑구_공기주입기_14,공기주입기,사용,일반,127.1085919,37.60354828,"[127.10859189182588,37.60354828329384]",Point,,서울특별시 중랑구 양원역로 32,서울특별시 중랑구 망우동 85-3,2062,다사65455608,(친환경)자전거 편의시설,13957.29286,2022.3.14 11:09,2022.3.14 11:09,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
21,중랑구_공기주입기_34,공기주입기,사용,일반,127.0884792,37.58164819,"[127.0884791978705,37.581648187165335]",Point,,서울특별시 중랑구 면목로 333,서울특별시 중랑구 면목동 496-1,2228,다사63665366,(친환경)자전거 편의시설,11512.18062,2022.3.14 11:29,2022.3.14 11:29,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
22,중랑구_공기주입기_38,공기주입기,사용,일반,127.1098806,37.61764222,"[127.10988055627512,37.61764221622785]",Point,,서울특별시 중랑구 신내역로1길 136,서울특별시 중랑구 신내동 242-2,2263,다사65575764,(친환경)자전거 편의시설,14538.41522,2022.3.14 11:35,2022.3.14 11:35,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
23,중랑구_공기주입기_15,공기주입기,사용,일반,127.1028979,37.61258548,"[127.10289793294272,37.612585479717424]",Point,,서울특별시 중랑구 신내역로 20,서울특별시 중랑구 망우동 320-1,2056,다사64955709,(친환경)자전거 편의시설,13704.73924,2022.3.14 11:10,2022.3.14 11:10,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
24,중랑구_공기주입기_2,공기주입기,사용,일반,127.0757069,37.60646548,"[127.07570691764616,37.60646548204693]",Point,,서울특별시 중랑구 동일로149길 47,서울특별시 중랑구 묵동 195-9,2012,다사62545642,(친환경)자전거 편의시설,10951.71566,2022.3.14 10:45,2022.3.14 10:45,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
25,중랑구_공기주입기_10,공기주입기,사용,일반,127.1047893,37.61195303,"[127.10478930648362,37.61195303026975]",Point,,서울특별시 중랑구 용마산로136길 64,서울특별시 중랑구 망우동 299-9,2057,다사65115702,(친환경)자전거 편의시설,13859.8911,2022.3.14 10:51,2022.3.14 10:51,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
26,중랑구_공기주입기_6,공기주입기,사용,일반,127.084581,37.61775038,"[127.08458101804041,37.61775037676756]",Point,,서울특별시 중랑구 신내로23길 57,서울특별시 중랑구 묵동 12,2022,다사63335767,(친환경)자전거 편의시설,12226.17576,2022.3.14 10:49,2022.3.14 10:49,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
27,중랑구_공기주입기_23,공기주입기,사용,일반,127.0877566,37.58740353,"[127.08775658822114,37.58740352677151]",Point,,서울특별시 중랑구 면목로 397,서울특별시 중랑구 면목동 115-18,2219,다사63605430,(친환경)자전거 편의시설,11542.81127,2022.3.14 11:18,2022.3.14 11:18,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
28,중랑구_공기주입기_35,공기주입기,사용,일반,127.0879474,37.58056737,"[127.08794743304057,37.580567365287905]",Point,,서울특별시 중랑구 사가정로 390,서울특별시 중랑구 면목동 634-27,2238,다사63615354,(친환경)자전거 편의시설,11443.61982,2022.3.14 11:31,2022.3.14 11:31,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
29,중랑구_공기주입기_22,공기주입기,사용,일반,127.09528,37.60026398,"[127.09527998692613,37.600263977106515]",Point,,서울특별시 중랑구 망우로55길 69,서울특별시 중랑구 상봉동 406,2086,다사64275572,(친환경)자전거 편의시설,12587.67589,2022.3.14 11:15,2022.3.14 11:15,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
30,중랑구_공기주입기_27,공기주입기,사용,일반,127.0796165,37.60179172,"[127.07961651392941,37.60179171823998]",Point,,서울특별시 중랑구 봉화산로 49,서울특별시 중랑구 중화동 50-3,2051,다사62895590,(친환경)자전거 편의시설,11146.93816,2022.3.14 11:22,2022.3.14 11:22,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
31,11103419_1646287152162,공기주입기,사용,일반,127.0131443,37.63109547,"[127.01314427538034,37.63109546688132]",Point,,서울특별시 강북구 인수봉로 127,서울특별시 강북구 수유동 468-43,1095,다사57045918,(친환경)자전거 편의시설,7720.131022,2022.3.3 15:00,2022.3.3 15:00,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,혜화여고,,설치유형(*공기주입기와 주차장 만 선택하세요.),기계식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
32,11103419_1646281865822,공기주입기,사용,일반,127.0139587,37.61741649,"[127.01395867597435,37.61741649380319]",Point,,서울특별시 강북구 솔샘로 174,서울특별시 강북구 미아동 1353,1192,다사57105766,(친환경)자전거 편의시설,6617.367782,2022.3.3 13:32,2022.3.3 13:32,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,SK북한산시티아파트(119동경비실),,설치유형(*공기주입기와 주차장 만 선택하세요.),기계식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
