번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수
17,산후조리업,01_01_04_P,5370000,PHMB120135370025042100001,2013.10.15,,3,폐업,3,폐업,2018.6.30,2015.3.2,2015.9.2,,055-632-8282,,656-935,경상남도 거제시 고현동 976번지 4호,"경상남도 거제시 거제중앙로 1938-3, 2,3층 (고현동)",53251,해피맘산후조리원,2018.6.25 16:22,I,2018.8.31 23:59,,348252.791,155912.8598,19,19,436.6,42.3,14.2,0,9.6,6.78,28.8,15.8,3,3,,2,2,3,2,2,
18,산후조리업,01_01_04_P,4490000,PHMB120064490042042100001,2006.12.8,,3,폐업,3,폐업,2009.1.18,,,,,,330-110,충청남도 천안시동남구 다가동 397번지,,,아랫목산후조리원,2008.12.18 16:21,I,2018.8.31 23:59,,,,10,10,6.57,21.73,7.51,22.74,8.22,4.8,7.13,6.9,2,6,0,1,1,0,0,0,0
19,산후조리업,01_01_04_P,4490000,PHMB120064490042042100002,2006.12.8,,3,폐업,3,폐업,2010.11.20,,,,552-8864,,330-072,충청남도 천안시동남구 원성동 508번지 1호,충청남도 천안시 동남구 버들로 118 (원성동),,나이팅게일산후조리원,2010.10.21 18:09,I,2018.8.31 23:59,,214169.8457,367202.0436,14,14,126,43,8,16,4,3,19,8,4,3,0,1,1,0,0,0,0
20,산후조리업,01_01_04_P,4400000,PHMB120064400020042100001,2006.7.28,,3,폐업,3,폐업,2013.10.31,,,,043-643-3332,,390-899,충청북도 제천시 청전동 125-7,충청북도 제천시 의림대로 222 (청전동),390-100,미래산후조리원,2013.11.4 17:40,I,2018.8.31 23:59,,307839.1483,405711.9578,10,10,125.56,17.38,12.9,22.88,2.4,10.24,11.74,,2,4,,1,1,,,,
21,산후조리업,01_01_04_P,4400000,PHMB120164400020042100001,2016.5.13,,3,폐업,3,폐업,2020.7.20,2020.5.13,2020.12.31,,043-652-6707,,,충청북도 제천시 남천동 294번지,충청북도 제천시 독순로 110 (남천동),27174,테레니아산후조리원,2020.7.20 17:55,U,2020.7.22 2:40,,307883.645,404652.0417,17,17,417.89,33.86,19.8,19.8,19.25,5.74,19.86,8.2,3,6,0,1,2,2,5,4,1
22,산후조리업,01_01_04_P,5710000,PHMB120145710011042100001,2014.8.11,,3,폐업,3,폐업,2016.7.13,2016.6.8,2016.8.2,,043)268-1000,,362-833,충청북도 청주시 서원구 사창동 261번지 4호,"충청북도 청주시 서원구 사직대로 140, 사창동 902`903호 (사창동, 현대코아)",28647,(주)현대휴한방산후조리원,2016.7.14 12:22,I,2018.8.31 23:59,,241311.7167,348256.4588,10,10,14,36,0,42,0,,3.45,6.4,2,6,0,2,2,1,10,9,1
23,산후조리업,01_01_04_P,5710000,PHMB120084360079042100001,2008.11.11,,3,폐업,3,폐업,2014.4.5,,,,043-296-1188,,361-822,충청북도 청주시서원구 분평동 326번지 1호 3층,,,행복한산후조리원,2014.7.14 18:01,I,2018.8.31 23:59,,242970.7986,345317.9058,10,10,13,23,9,31.05,,2.25,,11,2,5,,3,3,,3,1,
24,산후조리업,01_01_04_P,5710000,PHMB120074360079042100001,2007.3.6,,3,폐업,3,폐업,,,,,043-262-8542,,361-831,충청북도 청주시서원구 사창동 143번지 10호,충청북도 청주시 서원구 사직대로 101  (사창동),,민병열산부인과산후조리원,2014.7.14 18:01,I,2018.8.31 23:59,,240962.7846,348324.1402,7,7,18.48,,,,,1.95,3084,,2,4,,,,,,,
25,산후조리업,01_01_04_P,3070000,PHMB120093070034042100001,2009.4.16,,3,폐업,3,폐업,2016.7.26,,,,929-2100,,136-711,서울특별시 성북구 보문동7가 118번지  서광빌딩 5층,"서울특별시 성북구 보문로 35 (보문동7가,서광빌딩 5층)",2873,화인웰산후조리원,2016.7.26 17:53,I,2018.8.31 23:59,,201925.1215,452935.2215,18,18,317,41,6,22.5,8,2.8,8.5,7.6,5,4,0,2,2,3,13,10,3
26,산후조리업,01_01_04_P,3070000,PHMB120113070034042100001,2011.3.7,,3,폐업,3,폐업,2022.5.30,2018.7.16,2018.7.31,,02-2039-0000,,136-820,서울특별시 성북구 석관동 349번지 1호,"서울특별시 성북구 화랑로 248, 장위뉴타워 8층 (석관동)",2787,동그라미산후조리원 성북점,2022.5.30 14:31,U,2022.6.1 2:40,,204958.4055,456443.3872,18,18,196.75,32.04,14,19.42,18.55,0,0,5.75,3,11,1,1,1,0,2,2,0
27,산후조리업,01_01_04_P,3180000,PHMB120153180034042100003,2015.12.11,,3,폐업,3,폐업,2017.7.3,,,,02-2068-5150,,,서울특별시 영등포구 당산동6가 224번지,"서울특별시 영등포구 양평로 32 (당산동6가, 누가빌딩)",7223,아이엘산후조리원,2017.7.4 15:33,I,2018.8.31 23:59,,191349.2223,447939.3511,9,9,148.2,30,4,5,1.9,4,36,0,3,4,0,1,1,0,5,5,0
28,산후조리업,01_01_04_P,3210000,PHMB120073210034042100001,2007.8.22,,3,폐업,3,폐업,2020.8.10,2020.2.9,2020.8.9,,,,137-808,서울특별시 서초구 반포1동 706번지 6호 2층,"서울특별시 서초구 강남대로 545-12 (반포동,2층)",,동그라미산후조리원 논현점,2020.8.25 15:28,U,2020.8.27 2:40,,201752.8374,445355.0474,15,15,12.1,28.36,4.55,23.46,6.76,,4,5.07,2,7,,,,3,5,2,
29,산후조리업,01_01_04_P,3210000,PHMB120063210034042100001,2006.12.7,,3,폐업,3,폐업,2013.11.20,,,,3473-3330,,137-879,서울특별시 서초구 서초1동 1627번지 1호 교대벤처타워 7층,"서울특별시 서초구 사임당로 64 (서초동,교대벤처타워 7층)",,서희산후조리원,2013.11.21 17:40,I,2018.8.31 23:59,,201430.4766,442950.4715,13,13,13,23,,,,,,,4,4,,,,4,,,
30,산후조리업,01_01_04_P,3210000,PHMB120133210034042100001,2013.8.8,,3,폐업,3,폐업,2023.5.11,,,,02-592-3338,,137-044,"서울특별시 서초구 반포4동 83번지 16호 양지빌딩 3,4,5층","서울특별시 서초구 동광로49길 7 (반포동, 양지빌딩 3,4,5층)",6580,(주) 메르앙서래,2023.5.15 10:02,U,2023.5.17 2:40,,200105.9503,443487.2241,16,16,388.87,63,10.08,40.65,11.8,7.4,21,72,4,10,0,0,0,0,0,0,0
31,산후조리업,01_01_04_P,3230000,PHMB120073230034042100001,2007.2.8,,3,폐업,3,폐업,2010.9.1,,,,,,138-800,서울특별시 송파구 가락본동 2번지 5호 3층,"서울특별시 송파구 오금로 296 (가락동, 3층)",138-800,참사랑산후조리원,2012.3.13 15:15,I,2018.8.31 23:59,,211005.3023,444601.7899,15,15,,18.5,,,,,,,4,3,,,,2,6,1,
32,산후조리업,01_01_04_P,3230000,PHMB120093230034042100002,2009.12.29,,3,폐업,3,폐업,2015.12.22,2015.7.31,2015.12.31,,02-421-5590,,138-830,"서울특별시 송파구 방이2동 180번지 18호 한우리빌딩 3층,4층,5층","서울특별시 송파구 백제고분로50길 7-7 (방이동, 한우리빌딩 3,4,5층)",138-830,더퀸산후조리원,2015.12.22 16:18,I,2018.8.31 23:59,,210151.3909,445852.1991,12,12,188.78,21.27,13.68,24.07,2.78,32.88,32.88,27.86,3,7,,2,1,,6,5,1
33,산후조리업,01_01_04_P,3230000,PHMB120103230034042100002,2010.9.6,,3,폐업,3,폐업,2020.6.24,,,,02-415-7752,,138-171,서울특별시 송파구 송파1동 58번지 17호,서울특별시 송파구 석촌호수로 296 (송파동),5618,라벨락산후조리원,2020.6.22 11:03,U,2020.6.24 2:40,,209445.5823,445460.5474,16,16,225.7,29.97,21.26,33.66,7.85,2.54,69.78,3.8,3,3,,1,1,1,0,,
34,산후조리업,01_01_04_P,3230000,PHMB120113230034042100002,2014.10.31,,3,폐업,3,폐업,2022.5.31,,,,02-412-8855,,,서울특별시 송파구 송파동 48번지 13호 연세빌딩 4층,"서울특별시 송파구 오금로 152 (송파동, 연세빌딩)",5620,맘스맘산후조리원,2022.6.9 11:42,U,2022.6.11 2:40,,209776.6367,445347.7876,14,14,257.9,28.18,5.06,27.9,0,28,0,0,3,5,0,1,1,0,0,4,0
35,산후조리업,01_01_04_P,3230000,PHMB120063230034042100001,2006.12.8,,3,폐업,3,폐업,2009.3.4,,,,,,138-190,서울특별시 송파구 석촌동 277번지 1호,서울특별시 송파구 가락로 99 (석촌동),,사임당산후조리원 송파점,2009.3.26 9:28,I,2018.8.31 23:59,,209393.1416,444350.722,1,1,,,,,,,,,,,,,,,,,
36,산후조리업,01_01_04_P,3230000,PHMB120063230034042100002,2006.9.8,,3,폐업,3,폐업,2016.10.5,,,,,,138-804,서울특별시 송파구 가락본동 94번지 6호 2층-6층,"서울특별시 송파구 양재대로60길 3 (가락동, 2~6층)",5708,문산후조리원,2016.10.17 11:11,I,2018.8.31 23:59,,210251.5905,444061.4085,15,15,193.8,27.3,,,,,,,7,11,,,,4,7,5,
37,산후조리업,01_01_04_P,3230000,PHMB120063230034042100003,2006.12.15,,3,폐업,3,폐업,2012.9.27,,,,,,138-854,"서울특별시 송파구 송파2동 185번지 4호 6,7층","서울특별시 송파구 송파대로34길 33 (송파동, 6,7층)",138-854,마이홈산후조리원,2012.9.28 9:57,I,2018.8.31 23:59,,210155.049,444118.8662,17,17,,28,,,,,,,3,9,,,,3,10,2,
38,산후조리업,01_01_04_P,3230000,PHMB120063230034042100004,2006.12.20,,3,폐업,3,폐업,2010.2.12,,,,,,138-810,서울특별시 송파구 가락2동 167번지 3호 6층,"서울특별시 송파구 오금로 410 (가락동, 6층)",138-810,푸른잎산후조리원,2012.3.13 15:16,I,2018.8.31 23:59,,211907.6853,443924.8755,13,13,,35.3,,,,,,,3,4,,,,3,9,1,
39,산후조리업,01_01_04_P,3010000,PHMB120093010033042100001,2009.6.26,,3,폐업,3,폐업,2014.3.14,,,,02-562-5926,,100-826,서울특별시 중구 신당4동 79번지,,,노블렛스산후조리원,2014.12.31 14:03,I,2018.8.31 23:59,,,,19,19,284.7,38.39,9,16,7.17,0,65.8,13.13,3,2,0,1,1,0,2,2,0
40,산후조리업,01_01_04_P,3010000,PHMB120103010033042100001,2010.9.15,,3,폐업,3,폐업,2012.12.13,,,,2238-7700,,100-824,서울특별시 중구 신당6동 291-48 (5층),,,동산산후조리원,2014.6.12 10:53,I,2018.8.31 23:59,,,,10,10,136.43,23.46,3.63,0,2.56,0,0,4.07,1,1,0,0,0,0,0,0,0
41,산후조리업,01_01_04_P,3010000,PHMB120073010033042100001,2007.1.3,,3,폐업,3,폐업,2017.12.31,,,,02-2020-5500,,,,서울특별시 중구 퇴계로 244 (묵정동),100-380,제일병원 산후조리원,2017.12.29 18:07,I,2018.8.31 23:59,,199842.9928,451090.7934,23,23,525.5,83.4,0,35.1,39.3,5.2,122.3,16.2,26,4,2,4,3,3,6,456,0
42,산후조리업,01_01_04_P,4090000,PHMB120194090023042100002,2019.3.13,,3,폐업,3,폐업,2022.11.3,,,,070-42480862,,10113,,"경기도 김포시 김포대로 681, 9.10층 (풍무동)",10113,히즈메디 수 산후조리원,2022.11.3 15:45,U,2022.11.5 2:40,,,,21,21,517.79,66.62,10.53,54.99,7.25,0,73.97,7.55,3,7,0,2,0,0,2,2,0
43,산후조리업,01_01_04_P,3590000,PHMB120153590019042100001,2015.4.1,,3,폐업,3,폐업,2018.7.19,,,,,,501-080,"광주광역시 동구 계림동 559번지 13호 2,3,4층 외 1필지","광주광역시 동구 무등로 329, 2,3,4층 (계림동)",61401,(주)보금자리산후조리원,2018.7.19 13:53,I,2018.8.31 23:59,,192542.7468,184750.0391,29,15,572.82,25.9,8.13,60.45,10,,,6,1,3,1,1,1,,0,,
44,산후조리업,01_01_04_P,3470000,PHMB120063470022042100005,2006.12.22,,3,폐업,3,폐업,2010.3.22,,,,053-640-1070,,704-370,대구광역시 달서구 상인동 246번지 1호,대구광역시 달서구 월배로 204 (상인동),,성모,2010.3.22 15:13,I,2018.8.31 23:59,,338762.3243,258633.2779,9,9,128.6,16.14,2,,,0.5,24,5.4,2,4,,,,,8,7,1
45,산후조리업,01_01_04_P,3470000,PHMB120083470022042100001,2008.2.1,,3,폐업,3,폐업,2018.10.31,2017.11.9,2019.11.8,,053-630-5200,,704-370,대구광역시 달서구 상인동 230번지 1호,대구광역시 달서구 월배로46길 10 (상인동),,성모산후조리원,2018.10.31 14:52,U,2018.11.2 2:35,,338792.8838,258620.6624,22,22,286,46.6,13.3,88.7,11.3,4.4,62.4,13.4,3,5,,3,,,0,,
46,산후조리업,01_01_04_P,3470000,PHMB120123470022042100001,2012.4.5,,3,폐업,3,폐업,2016.8.31,,,,053-609-5171,,704-836,대구광역시 달서구 진천동 235번지 1호,대구광역시 달서구 월배로 58 (진천동),42771,미즈맘신관산후조리원,2016.9.5 10:10,I,2018.8.31 23:59,,337402.6271,258059.9082,16,16,306.89,29.91,22.33,,,,74.42,9.11,6,4,,,,,9,7,2
47,산후조리업,01_01_04_P,3470000,PHMB120123470022042100003,2012.7.16,,3,폐업,3,폐업,2021.5.31,,,,053)667-7575,,704-923,대구광역시 달서구 용산1동 230번지 22호,대구광역시 달서구 용산로 139 (용산동),42637,달서여성메디파크산후조리원,2021.5.31 15:45,U,2021.6.2 2:40,,338154.1812,262154.9754,28,27,473.16,46.68,11.15,,,,83.8,,6,6,,,1,,0,,
48,산후조리업,01_01_04_P,3470000,PHMB120143470022042100002,2014.9.18,,3,폐업,3,폐업,2020.5.18,,,,053-640-1081,,704-809,대구광역시 달서구 상인동 246번지 1호,대구광역시 달서구 월배로 204 (상인동),42785,성모여성산후조리원,2020.5.18 14:47,U,2020.5.20 2:40,,338762.3243,258633.2779,17,17,284.6,35,29.2,,,,104.5,,4,4,,,,,2,2,
49,산후조리업,01_01_04_P,3480000,PHMB120083480012042100001,2008.10.18,,3,폐업,3,폐업,2013.12.31,,,,,,711-812,대구광역시 달성군 다사읍 매곡리 1546번지 8호 5층,대구광역시 달성군 다사읍 달구벌대로 863 (5층),,로즈맘산후조리원,2014.1.3 11:04,I,2018.8.31 23:59,,332237.178,263095.1695,21,21,11.9,36.6,8.2,17.6,7.2,,8.9,4.4,3,6,,2,1,,11,9,2
50,산후조리업,01_01_04_P,3480000,PHMB120173480012042100001,2017.4.13,,3,폐업,3,폐업,2019.8.28,,,,285-7000,,,대구광역시 달성군 현풍읍 중리 505번지,대구광역시 달성군 현풍읍 테크노대로 61,43017,현풍미즈맘산후조리원,2019.8.28 11:36,U,2019.8.30 2:40,,331379.2617,244266.4889,22,22,414.53,41.3,12.09,,4.13,2.93,1.72,4.7,4,5,,,,1,6,6,
51,산후조리업,01_01_04_P,3470000,PHMB120063470022042100001,2006.12.8,,3,폐업,3,폐업,2023.6.30,,,,053-609-5071,,704-837,대구광역시 달서구 진천동 635번지 3호,대구광역시 달서구 월배로 62 (진천동),,달서미즈맘산후조리원,2023.6.29 15:17,U,2023.7.1 2:40,,337437.5802,258066.4201,30,30,276.76,52.6,28.26,65.7,0,1.6,169.92,31.8,11,5,0,0,0,1,8,7,1
52,산후조리업,01_01_04_P,3470000,PHMB120063470022042100002,2006.12.11,,3,폐업,3,폐업,2018.5.28,,,,053-667-7537,,704-130,대구광역시 달서구 용산동 230번지 12호,대구광역시 달서구 용산로 141 (용산동),,여성M파크,2018.5.28 14:36,I,2018.8.31 23:59,,338153.4321,262183.1733,41,41,588.91,79.04,20.87,0,0,0,16.28,,6,7,,,,1,15,13,2
53,산후조리업,01_01_04_P,3470000,PHMB120063470022042100003,2006.12.12,,3,폐업,3,폐업,2018.7.31,,,,053-608-7000,,704-932,대구광역시 달서구 죽전동 274번지 1호,대구광역시 달서구 와룡로41길 11 (죽전동),,미래,2018.8.9 14:30,I,2018.8.31 23:59,,338723.6463,262310.1143,29,31,557,45.22,14.85,49.34,5.94,8.1,,,5,9,1,2,1,,,,
54,산후조리업,01_01_04_P,3450000,PHMB120123450022042100001,2012.12.21,,3,폐업,3,폐업,2018.5.4,,,,951-7773,,702-012,대구광역시 북구 산격2동 505번지 7호,대구광역시 북구 동북로 117 (산격동),41519,신세계산후조리원,2018.6.12 11:41,I,2018.8.31 23:59,,345000.8046,268051.8563,20,20,316.2,45.2,21.4,60.4,6.9,80,10.2,36.9,4,5,,2,1,1,2,2,
55,산후조리업,01_01_04_P,3450000,PHMB120133450022042100001,2013.3.12,,3,폐업,3,폐업,2021.8.25,,,,053-958-1500,,702-841,대구광역시 북구 산격3동 1238번지 1호 9-10층,"대구광역시 북구 동북로 156 (산격동,9-10층)",,맘앤휴산후조리원,2021.8.25 16:56,U,2021.8.27 2:40,,345268.1582,267762.8644,24,24,379,44,26.44,48,2.5,0,10.4,9.92,2,4,0,2,1,1,0,0,0
56,산후조리업,01_01_04_P,5070000,PHMB120145070014042100001,2014.6.26,,3,폐업,3,폐업,2019.3.13,,,,054-850-3591,,,경상북도 안동시 옥동 1통 2반,경상북도 안동시 은행나무로 91 (옥동),36640,우리산후조리원,2019.3.13 10:54,U,2019.3.15 2:40,,351589.0071,342088.3159,15,15,275.4,32.4,16.2,0,10.26,3.6,3.6,15.04,3,8,0,0,0,0,6,6,1
57,산후조리업,01_01_04_P,5070000,PHMB120155070014042100001,2015.4.16,,3,폐업,3,폐업,2023.2.28,2022.10.3,2023.2.28,,054-840-1004,,760-410,경상북도 안동시 수상동 574번지 2호 6층,"경상북도 안동시 앙실로 11, 6층 (수상동)",36743,안동병원 산후조리원,2023.3.9 17:50,U,2023.3.11 2:40,,352236.1967,339760.4011,14,14,246.04,39.75,0,24.28,18.8,2.77,56,26.6,3,6,0,1,1,0,0,0,0
58,산후조리업,01_01_04_P,5680000,PHMB120084630020042100001,2008.6.10,,3,폐업,3,폐업,2011.12.8,,,,,,343-804,충청남도 당진군 당진읍 수청리 981번지 원당드림타워7층,,,미즈맘산후조리원,2012.2.6 10:20,I,2018.8.31 23:59,,,,12,12,306,41.9,,37.19,8.81,10.3,28.8,9.84,2,5,,3,3,,8,7,
59,산후조리업,01_01_04_P,5680000,PHMB120114630020042100001,2011.10.31,,3,폐업,3,폐업,2015.1.23,2014.12.21,2015.12.20,,041)357-3854,,343-805,충청남도 당진군 당진읍 읍내리 1059번지 3~5층,충청남도 당진군 당진읍 무수동3길 45,343-801,마망벨르산후조리원,2015.1.23 14:54,I,2018.8.31 23:59,,,,16,16,302.24,38.52,15,21.89,9.15,6.3,32.4,,5,6,,3,2,3,3,3,
60,산후조리업,01_01_04_P,5680000,PHMB120155680060042100001,2015.2.9,,3,폐업,3,폐업,2022.2.15,,,,041-357-3853,,343-925,충청남도 당진시 읍내동 1059번지,충청남도 당진시  시청1로  72 (읍내동),31772,맘앤캐슬 당진산후조리원,2022.2.15 13:03,U,2022.2.17 2:40,,167804.6353,376696.4299,16,16,251.22,27.57,10.95,21.89,9.15,6.3,32.4,8.09,4,3,0,1,1,5,0,0,0
61,산후조리업,01_01_04_P,4520000,PHMB120064520031042100001,2006.6.1,,3,폐업,3,폐업,2015.2.25,2014.10.24,2015.2.28,,,,336-861,충청남도 아산시 음봉면 덕지리 65번지,충청남도 아산시 음봉면 음봉로 663,336-861,주식회사 미소래산후조리원,2015.2.25 15:07,I,2018.8.31 23:59,,207267.8915,370438.212,28,28,,,,,,,,,4,11,1,4,3,7,4,3,1
62,산후조리업,01_01_04_P,4520000,PHMB120084520031042100001,2008.1.14,,3,폐업,3,폐업,2010.3.25,,,,041-549-3582,,336-852,충청남도 아산시 배방면 공수리 149번지,,,배방미래산후조리원,2010.3.25 14:35,I,2018.8.31 23:59,,,,6,6,,,,,,,,,2,2,,,1,,,,
