"키값","기관코드","유형1","유형2","대표기관명","전체기관명","최하위기관명","대표전화번호","새우편번호","주소","도로명주소","행정시","행정구","행정동"
"BE_LiST27-0181","1710764","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 국방부구내우체국","국방부구내우체국","02-795-2003","04383","","서울특별시 용산구 이태원로 22 (용산동3가)","서울특별시","용산구","한강로동"
"BE_LiST27-0182","1710756","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울남영동우체국","서울남영동우체국","02-793-2005","04352","","서울특별시 용산구 두텁바위로6-1 (남영동)","서울특별시","용산구","원효로2동"
"BE_LiST27-0183","1710761","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울보광동우체국","서울보광동우체국","02-793-0205","04394","","서울특별시 용산구 보광로 25 (보광동)","서울특별시","용산구","보광동"
"BE_LiST27-0184","1710765","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울숙명여자대학교우체국","서울숙명여자대학교우체국","02-713-0205","04310","","서울특별시 용산구 청파로47길 100 (청파동2가)","서울특별시","용산구","청파동"
"BE_LiST27-0185","1710755","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울용문동우체국","서울용문동우체국","02-715-1436","04363","","서울특별시 용산구 원효로41길 47 (원효로3가)","서울특별시","용산구","원효로2동"
"BE_LiST27-0100","1710766","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국","서울노원우체국","02-950-3284","01740","","서울특별시 노원구 중계로 123 (중계본동)","서울특별시","노원구","중계본동"
"BE_LiST27-0211","1710400","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울을지로6가우체국","서울을지로6가우체국","02-2264-2005","04561","","서울특별시 중구 을지로 228 (을지로5가)","서울특별시","중구","을지로동"
"BE_LiST27-0119","1714600","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울삼양동우체국","서울삼양동우체국","02-981-0110","01181","","서울특별시 강북구 삼양로 229","서울특별시","강북구","삼양동"
"BE_LiST27-0120","1714595","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울송천동우체국","서울송천동우체국","02-982-0114","01205","","서울특별시 강북구 도봉로 71","서울특별시","강북구","송천동"
"BE_LiST27-0121","1714596","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울수유3동우체국","서울수유3동우체국","02-994-2007","01054","","서울특별시 강북구 도봉로 383","서울특별시","강북구","수유3동"
"BE_LiST27-0122","1714597","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울수유동우체국","서울수유동우체국","02-903-0031","01039","","서울특별시 강북구 삼양로 468","서울특별시","강북구","수유2동"
"BE_LiST27-0123","1714570","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울쌍문2동우체국","서울쌍문2동우체국","02-992-2005","01432","","서울특별시 도봉구 도봉로 125길 88","서울특별시","도봉구","쌍문2동"
"BE_LiST27-0124","1714571","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울창5동우체국","서울창5동우체국","02-900-0267","01405","","서울특별시 도봉구 노해로 309","서울특별시","도봉구","창5동"
"BE_LiST27-0125","1710715","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울동작우체국","서울동작우체국","02-822-0004","07056","","서울특별시 동작구 여의대방로 22길 77 (신대방동)","서울특별시","동작구","신대방2동"
"BE_LiST27-0126","1710723","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울동작우체국 서울노량진우체국","서울노량진우체국","02-812-9052","06916","","서울특별시 동작구 노량진로 224 (본동)","서울특별시","동작구","노량진1동"
"BE_LiST27-0127","1710724","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울동작우체국 서울사당동우체국","서울사당동우체국","02-583-2005","07013","","서울특별시 동작구 동작대로 75 (사당동)","서울특별시","동작구","사당1동"
"BE_LiST27-0128","1710725","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울동작우체국 서울상도동우체국","서울상도동우체국","02-814-5634","06964","","서울특별시 동작구 상도로 236 (상도동)","서울특별시","동작구","상도2동"
"BE_LiST27-0129","1710726","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울동작우체국 서울흑석동우체국","서울흑석동우체국","02-812-9053","06972","","서울특별시 동작구 서달로15길 13 (흑석동)","서울특별시","동작구","흑석동"
"BE_LiST27-0130","1710513","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국","서울마포우체국","02-715-0004","04156","","서울특별시 마포구 마포대로 89","서울특별시","마포구","도화동"
"BE_LiST27-0131","1710521","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울망원동우체국","서울망원동우체국","02-337-0004","03963","","서울특별시 마포구 월드컵북로 111","서울특별시","마포구","성산1동"
"BE_LiST27-0132","1710530","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울상암디지털우체국","서울상암디지털우체국","02-303-1841","03905","","서울특별시 마포구 상암산로 1길 75","서울특별시","마포구","상암동"
"BE_LiST27-0133","1710522","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울서교동우체국","서울서교동우체국","02-332-0288","04045","","서울특별시 마포구 양화로 62","서울특별시","마포구","서교동"
"BE_LiST27-0134","1710523","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울서부지방법원우체국","서울서부지방법원우체국","02-711-4220","04207","","서울특별시 마포구 마포대로 174","서울특별시","마포구","공덕동"
"BE_LiST27-0135","1710525","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울성산2동우체국","서울성산2동우체국","02-306-2006","03936","","서울특별시 마포구 월드컵북로 227","서울특별시","마포구","성산2동"
"BE_LiST27-0136","1710524","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울성산동우체국","서울성산동우체국","02-333-6117","03973","","서울특별시 마포구 월드컵북로 112","서울특별시","마포구","성산1동"
"BE_LiST27-0137","1710526","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울아현동우체국","서울아현동우체국","02-313-0410","04116","","서울특별시 마포구 신촌로 266","서울특별시","마포구","아현동"
"BE_LiST27-0138","1710527","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울마포우체국 서울창전동우체국","서울창전동우체국","02-333-6118","04067","","서울특별시 마포구 독막로 109","서울특별시","마포구","서강동"
"BE_LiST27-0139","1710730","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국","서울서초우체국","02-3498-8008","06779","","서울특별시 서초구 동산로 19","서울특별시","서초구","양재2동"
"BE_LiST27-0140","1710740","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울반포우체국","서울반포우체국","02-533-0014","06504","","서울특별시 서초구 신반포로19길 40","서울특별시","서초구","반포2동"
"BE_LiST27-0141","1710743","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울방배동우체국","서울방배동우체국","02-593-0004","06584","","서울특별시 서초구 방배로 238","서울특별시","서초구","방배본동"
"BE_LiST27-0212","1710406","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울충무로2가우체국","서울충무로2가우체국","02-2278-0037","04553","","서울특별시 중구 삼일대로6길 5 (충무로2가)","서울특별시","중구","명동"
"BE_LiST27-0213","1710404","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울태평로우체국","서울태평로우체국","02-3783-7025","04512","","서울특별시 중구 칠패로 42 우리빌딩 2층 (봉래동1가)","서울특별시","중구","회현동"
"BE_LiST27-0214","1710398","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울퇴계로5가우체국","서울퇴계로5가우체국","02-2273-6508","04618","","서울특별시 중구 퇴계로 270 (장충동2가)","서울특별시","중구","장충동"
"BE_LiST27-0215","1710401","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울흥인동우체국","서울흥인동우체국","02-2236-0500","04569","","서울특별시 중구 다산로 253 (흥인동)","서울특별시","중구","신당동"
"BE_LiST27-0216","1710560","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국","여의도우체국","02-783-0014","07328","","서울특별시 영등포구 여의나루로 60 (여의도동)","서울특별시","영등포구","여의동"
"BE_LiST27-0217","1710570","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 국회구내우체국","국회구내우체국","02-784-4465","07233","","서울특별시 영등포구 의사당대로 1 (여의도동)","서울특별시","영등포구","여의동"
"BE_LiST27-0218","1710576","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 서울당산동우체국","서울당산동우체국","02-2675-0140","07265","","서울특별시 영등포구 당산로 102 (당산동1가)","서울특별시","영등포구","당산1동"
"BE_LiST27-0219","1710571","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 서울대림동우체국","서울대림동우체국","02-842-3782","07444","","서울특별시 영등포구 대림로85 (대림동)","서울특별시","영등포구","대림2동"
"BE_LiST27-0220","1710577","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 서울문래동우체국","서울문래동우체국","02-2676-0340","07290","","서울특별시 영등포구 도림로 429 (문래동2가)","서울특별시","영등포구","문래동"
"BE_LiST27-0221","1710574","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 서울신길5동우체국","서울신길5동우체국","02-843-0114","07425","","서울특별시 영등포구 신길로65 (신길동)","서울특별시","영등포구","신길5동"
"BE_LiST27-0222","1710573","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 서울신길동우체국","서울신길동우체국","02-843-1005","07391","","서울특별시 영등포구 여의대방로 161 (신길동)","서울특별시","영등포구","신길7동"
"BE_LiST27-0223","1710572","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 서울양평동우체국","서울양평동우체국","02-2676-2008","07206","","서울특별시 영등포구 양평로 92 (양평동4가)","서울특별시","영등포구","양평2동"
"BE_LiST27-0224","1710575","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 서울여의도광장우체국","서울여의도광장우체국","02-780-0100","07237","","서울특별시 영등포구 국회대로 68길 7 (여의도동)","서울특별시","영등포구","여의동"
"BE_LiST27-0225","1710569","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 영등포우체국","영등포우체국","02-2678-0014","07305","","서울특별시 영등포구 경인로 841 (영등포동4가)","서울특별시","영등포구","영등포동"
"BE_LiST27-0226","1710578","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 한국방송공사우체국","한국방송공사우체국","02-785-0004","07235","","서울특별시 영등포구 여의공원로 13 (여의도동)","서울특별시","영등포구","여의동"
"BE_LiST27-0227","1710579","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 여의도우체국 한화생명빌딩우체국","한화생명빌딩우체국","02-784-2835","07345","","서울특별시 영등포구 63로 50 (여의도동)","서울특별시","영등포구","여의동"
"BE_LiST27-0001","1710375","우정","우정_우정청","미래부","미래창조과학부 우정사업본부 서울지방우정청","서울지방우정청","02-6450-3000","03187","","서울특별시 종로구 종로 6 (서린동)","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST27-0002","1710407","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국","광화문우체국","02-3703-9001","03187","","서울특별시 종로구 종로6","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST27-0003","1710426","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울대학교병원우체국","서울대학교병원우체국","02-742-0569","03080","","서울특별시 종로구 대학로 103 서울대학교병원 본관 지하1층","서울특별시","종로구","이화동"
"BE_LiST27-0004","1710428","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울삼청동우체국","서울삼청동우체국","02-736-3005","03050","","서울특별시 종로구 북촌로 112","서울특별시","종로구","삼청동"
"BE_LiST27-0005","1710422","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울세검정우체국","서울세검정우체국","02-379-0141","03018","","서울특별시 종로구 세검정로 258","서울특별시","종로구","부암동"
"BE_LiST27-0117","1714599","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울번3동우체국","서울번3동우체국","02-984-0177","01230","","서울특별시 강북구 한천로 105길 27","서울특별시","강북구","번3동"
"BE_LiST27-0118","1714572","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울북부지방법원우체국","서울북부지방법원우체국","02-972-0100","01322","","서울특별시 도봉구 마들로 749","서울특별시","도봉구","도봉2동"
"BE_LiST27-0186","1710762","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울원효로우체국","서울원효로우체국","02-714-1437","04316","","서울특별시 용산구 원효로 227 (원효로1가)","서울특별시","용산구","원효로1동"
"BE_LiST27-0187","1710760","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울이촌동우체국","서울이촌동우체국","02-795-0205","04423","","서울특별시 용산구 이촌로 77길 9 (이촌동)","서울특별시","용산구","이촌1동"
"BE_LiST27-0188","1710757","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울이태원우체국","서울이태원우체국","02-798-2005","04345","","서울특별시 용산구 녹사평대로 212 (이태원동)","서울특별시","용산구","이태원2동"
"BE_LiST27-0189","1710759","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울한남동우체국","서울한남동우체국","02-794-2205","04401","","서울특별시 용산구 대사관로 49 (한남동)","서울특별시","용산구","한남동"
"BE_LiST27-0190","1710763","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 서울후암동우체국","서울후암동우체국","02-754-2005","04327","","서울특별시 용산구 후암로 58-1 (후암동)","서울특별시","용산구","후암동"
"BE_LiST27-0191","1710758","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울용산우체국 용산전자단지우체국","용산전자단지우체국","02-718-0205","04373","","서울특별시 용산구 청파로 56 (한강로3가)","서울특별시","용산구","한강로동"
"BE_LiST27-0192","1710545","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울은평우체국","서울은평우체국","02-350-3514","03306","","서울특별시 은평구 진관2로 29-8 (진관동)","서울특별시","은평구","진관동"
"BE_LiST27-0193","1710555","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울은평우체국 서울갈현동우체국","서울갈현동우체국","02-359-2005","03335","","서울특별시 은평구 서오릉로 190 (갈현동)","서울특별시","은평구","갈현2동"
"BE_LiST27-0194","1710558","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울은평우체국 서울대조동우체국","서울대조동우체국","02-387-2005","03391","","서울특별시 은평구 통일로71길 20 (대조동)","서울특별시","은평구","대조동"
"BE_LiST27-0195","1710553","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울은평우체국 서울수색우체국","서울수색우체국","02-302-0205","03502","","서울특별시 은평구 수색로 248 (수색동)","서울특별시","은평구","수색동"
"BE_LiST27-0196","1710556","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울은평우체국 서울연신내우체국","서울연신내우체국","02-357-0004","03347","","서울특별시 은평구 연서로 306 (불광동)","서울특별시","은평구","불광2동"
"BE_LiST27-0197","1710559","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울은평우체국 서울응암1동우체국","서울응암1동우체국","02-386-2005","03462","","서울특별시 은평구 은평로9길 13 (응암1동)","서울특별시","은평구","응암1동"
"BE_LiST27-0198","1710554","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울은평우체국 서울응암동우체국","서울응암동우체국","02-303-2005","03467","","서울특별시 은평구 응암로 214 (응암동)","서울특별시","은평구","응암3동"
"BE_LiST27-0199","1710788","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중랑우체국","서울중랑우체국","02-434-4300","02098","","서울특별시 중랑구 망우로 271","서울특별시","중랑구","상봉1동"
"BE_LiST27-0200","1710797","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중랑우체국 서울망우1동우체국","서울망우1동우체국","02-496-2005","02059","","서울특별시 중랑구 망우로 447","서울특별시","중랑구","망우본동"
"BE_LiST27-0201","1710799","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중랑우체국 서울면목7동우체국","서울면목7동우체국","02-491-2015","02237","","서울특별시 중랑구 면목로 37길 57","서울특별시","중랑구","면목5동"
"BE_LiST27-0202","1710798","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중랑우체국 서울면목동우체국","서울면목동우체국","02-432-2005","02210","","서울특별시 중랑구 면목로 344","서울특별시","중랑구","면목제3.8동"
"BE_LiST27-0203","1710800","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중랑우체국 서울묵동우체국","서울묵동우체국","02-971-0100","02006","","서울특별시 중랑구 동일로 895","서울특별시","중랑구","묵2동"
"BE_LiST27-0204","1710801","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중랑우체국 서울신내동우체국","서울신내동우체국","02-3421-2005","02024","","서울특별시 중랑구 신내로 17길 112","서울특별시","중랑구","신내2동"
"BE_LiST27-0205","1710796","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중랑우체국 서울중화동우체국","서울중화동우체국","02-435-2005","02088","","서울특별시 중랑구 동일로 784","서울특별시","중랑구","중화1동"
"BE_LiST27-0206","1710387","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국","서울중앙우체국","02-6450-1000","04535","","서울특별시 중구 소공로 70 (층무로1가)","서울특별시","중구","명동"
"BE_LiST27-0207","1710405","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울소공동우체국","서울소공동우체국","02-757-2660","04526","","서울특별시 중구 남대문로1길 34 (북창동)","서울특별시","중구","소공동"
"BE_LiST27-0208","1710397","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울신당동우체국","서울신당동우체국","02-2236-0606","04590","","서울특별시 중구 다산로 128-8 (신당동)","서울특별시","중구","약수동"
"BE_LiST27-0209","1710402","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울역전우체국","서울역전우체국","02-757-1140","04509","","서울특별시 중구 통일로 21 (봉래동2가)","서울특별시","중구","회현동"
"BE_LiST27-0210","1710399","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울중앙우체국 서울을지로4가우체국","서울을지로4가우체국","02-2273-6505","04549","","서울특별시 중구 을지로 154-2 (을지로4가)","서울특별시","중구","을지로동"
"BE_LiST27-0142","1710745","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울법원청사우체국","서울법원청사우체국","02-537-7073","06594","","서울특별시 서초구 서초중앙로 157","서울특별시","서초구","서초3동"
"BE_LiST27-0143","1710744","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울서초1동우체국","서울서초1동우체국","02-587-4243","06721","","서울특별시 서초구 효령로 60길 13","서울특별시","서초구","서초1동"
"BE_LiST27-0144","1710742","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울서초3동우체국","서울서초3동우체국","02-581-0004","06657","","서울특별시 서초구 반포대로 99","서울특별시","서초구","서초3동"
"BE_LiST27-0145","1710739","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울양재동우체국","서울양재동우체국","02-537-0116","06738","","서울특별시 서초구 남부순환로 356길 5","서울특별시","서초구","양재1동"
"BE_LiST27-0146","1714585","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울우면동우체국","서울우면동우체국","02-3498-8071","06764","","서울특별시 서초구 태봉로 58","서울특별시","서초구","양재1동"
"BE_LiST27-0147","1710741","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울서초우체국 서울이수우체국","서울이수우체국","02-532-0004","06548","","서울특별시 서초구 신반포로 10","서울특별시","서초구","반포본동"
"BE_LiST27-0148","1710623","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국","서울성북우체국","02-911-1325","02733","","서울특별시 성북구 동소문로 310 (하월곡동)","서울특별시","성북구","월곡1동"
"BE_LiST27-0149","1710637","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 고려대학교우체국","고려대학교우체국","02-923-2005","02841","","서울특별시 성북구 안암로 145 (안암동5가)","서울특별시","성북구","안암동"
"BE_LiST27-0150","1710632","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 서울돈암동우체국","서울돈암동우체국","02-923-0430","02847","","서울특별시 성북구 보문로 178 (삼선동4가)","서울특별시","성북구","삼선동"
"BE_LiST27-0151","1710636","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 서울동소문동우체국","서울동소문동우체국","02-741-0204","02833","","서울특별시 성북구 성북로2길 31 (동소문동)","서울특별시","성북구","삼선동"
"BE_LiST27-0152","1710633","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 서울석관동우체국","서울석관동우체국","02-915-6800","02773","","서울특별시 성북구 화랑로 203 (장위동)","서울특별시","성북구","장위2동"
"BE_LiST27-0153","1710634","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 서울장위동우체국","서울장위동우체국","02-916-2005","02776","","서울특별시 성북구 돌곳이로28길 3 (장위동)","서울특별시","성북구","삼선동"
