번호,주제분류,문화시설명,주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스,,,,,,,
175,도서관,강북솔샘문화정보센터,서울  강북구 미아동 1354-4 ),37.6205185,127.0124524,02-944-3150,02-944-3159,http://www.gangbuklib.seoul.kr/solsem/com/,,,"첫째, 셋째 휴관일",2005.10.4,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100776&thumb=Y,,앞으로도 우리 솔샘문화정보센터는 지역주민여러분에게 보다 다양한 정보와 자료 그리고 최상의 서비스를 제공하고자 최선을 다하여 강북구만이 가지고 있는 지역적 문화적 특성을 살린 종합정보도서관으로서의 그 역할을 다하겠습니다.,유료,,,,,,,,,,,,,,
176,공연장,강서구 문화관광,서울  강서구 화곡동 980-16 ),37.550937,126.849642,02-2600-6071,02-2600-6662,http://munhwa.gangseo.seoul.kr/,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100801&thumb=Y,,"<p><br />  서울특별시 <b>강서구</b> <b>관광</b>정보, <b>문화</b>재, 명소, 축제, 교통, 숙박 안내<br />  <br />  ■ 상설공연/행사<br />  - 해맞이<br />  - 겸재미술대축제<br />  - 전통문화행사<br />  - 강서가족한마음대축제<br />  <br />  ■ 문화예술단체<br />  - 구립극단<br />  - 구립합창단<br />  <br />  ■ 문화시설<br />  - 겸재정선기념관<br />  - 궁산일제땅굴전시관<br />  - 전통문화마당<br />  - 강서문화원<br />  - 갤러리 강서<br />  - 강서구민회관<br />  <br />  ■ 체육시설<br />  - 체육센터<br />  - 우장산인조잔디구장<br />  - 강서개화축구장</p>",무료,,,,,,,,,,,,,,
177,미술관,스튜디오 콘크리트,서울특별시 용산구 한남대로 162,37.54245141,127.0025167,02-794-4095,,http://www.studio-ccrt.com/xe/index_ccrt,,,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9332f8dfacda4a87ad521fb17d7bf7b4&thumb=Y,,"<span style='font-size: 14pt;'>'스튜디오 콘크리트'는 창조적이고 예술적인 배경을 가진 80년대 출생의 멤버들이 주축이 되어 2014년 출범한 Artist Group이다. 갤러리, 라이브러리, 아뜰리에 및 샵과 카페가 복합된 오픈형 종합 창작 스튜디오인 서울 북한남동의 '스튜디오 콘크리트'를 기점으로 활동한다.</span>",무료,,,,,,,,,,,,,,
178,기타,중구청소년수련관,서울특별시 중구 동호로5길 19,37.5518563,127.0125662,02-2250-0500,,http://www.j-youth.org/kor/main/index.php,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101274&thumb=Y,,,,,,,,,,,,,,,,,
183,문화예술회관,영등포아트홀,서울 영등포구 국회대로596 영등포구민회관,37.5262451,126.9001286,02-2670-4080,02-2068-9496,https://www.instagram.com/ydparthall/,,,"매주 일,월",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43c83c43b2324a15bbeb7fdcd1c7fb78&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>운영시간: 06:00 ~ 22:00</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>화~금(평일) : 09:00~18:00</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>토, 일, 공유일 미개방 (단, 공연이 있을 경우 3시간전부터 유료운영)</span></div>",유료,,,,,,,,,,,,,,
184,문화예술회관,강남구민회관,서울  강남구 대치동 509-2    ),37.4938226,127.0642688,02-2176-0891,02-565-4925,http://cna.kncity.or.kr/center/findcenterall.aspx?center=100014,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100870&thumb=Y,,"<table width=&quot;730&quot; border=&quot;0&quot; cellspacing=&quot;0&quot; cellpadding=&quot;0&quot;> <tbody> <tr> <td height=&quot;150&quot; valign=&quot;top&quot; colspan=&quot;2&quot;><span id=&quot;lblIntro&quot;>- 2005년 2월 19일 오픈 <br />     - 구민회관체육교실에서는 33개의 프로그램을 운영하고 있습니다. <br />     - 각 프로그램별 전문 단임지도직원을 채용하여 지도하고 있습니다 <br />     - 회원분들께 언제나 즐거운 여가생활, 취미활동이 되도록 최선을 다하고 있습니다 <br />     - 구민체육교실에서 여러분들의 건강을 지켜드리겠습니다. <br />     <br />     <img style=&quot;border: 0px currentColor; float: left;&quot; src=&quot;/data/cf/20111020185551.jpg&quot; /></span></td></tr></tbody></table> <div class=&quot;autosourcing-stub&quot; style=&quot;clear: both;&quot;><br />     <br />     &nbsp;</div>",무료,,,,,,,,,,,,,,
185,도서관,수유문화정보센터,서울  강북구 수유동 605-412 ),37.630129,127.017543,02-944-3170,02-944-3179,http://www.gangbuklib.seoul.kr/suyu/com/,,,"첫째, 셋째 휴관일",2010.8.11,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100875&thumb=Y,,앞으로도 우리 수유문화정보센터는 지역주민여러분에게 보다 다양한 정보와 자료 그리고 최상의 서비스를 제공하고자 최선을 다하여 강북구만이 가지고 있는 지역적 문화적 특성을 살린 종합정보도서관으로서의 그 역할을 다하겠습니다.,유료,,,,,,,,,,,,,,
186,도서관,국회도서관,서울특별시 영등포구 의사당대로 1,37.53291197,126.9164039,02-6788-4211,,http://www.nanet.go.kr,월요일~금요일 : 오전 9시~오후10시(야간이용시간 : 오후6시~오후10시)  토요일~일요일 : 오전9시~오후5시,,"매월 둘째, 넷째 토요일/ 일요일을 제외한 공휴일(공휴일과 겹친 토요일, 일요일 휴관)",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=35d8fa64c3144d14bbad8233ae97dbbd&thumb=Y,,"<ul> <li style='font-size: 14pt;'><span style='font-size: 14pt;'>열람대상</span></li></ul> <ul class='Contents-01 MarginLast' _extended='true'> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>전ㆍ현직 국회의원 및 국회 소속 공무원</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>평생열람증 및 명예열람증 소지자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>대학생 또는 18세 이상인 자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>중?고등학생 중 소속 학교의 학교장 또는 사서교사 또는 도서업무 담당 교직원의 추천을 받은 자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>12세 이상 17세 이하의 비재학 청소년 중 선출직 공직자(국회의원, 교육감, 교육위원, 광역자치단체장, 광역의회의원, 기초자치단체장, 기초의회의원) 또는 공공도서관장 또는 기초행정구역의 책임자(구청장, 동장, 읍장, 면장)의 추천을 받은 자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>그 밖에 도서관 소장자료가 필요하다고 국회도서관장이 인정한 자</span></li><!--20111004 li한줄 추가--> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>외국인의 경우 여권 또는 외국인등록증 소지자</span></li><!-- 20110511 최성호 수정 					     20110526 2차 수정--></ul> <p>&nbsp;</p>",무료,,,,,,,,,,,,,,
187,미술관,겸재정선미술관,서울특별시 강서구 양천로47길 36,37.57222297,126.838412,02-2659-2206,,http://gjjs.or.kr/,,,매주월요일/1월1일/설날/추석당일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d88e1fe0ffcf4d8f8618323533005e28&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>미술관은 우선 몇 가지 소박한 꿈을 갖고 있습니다.</span><br></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>첫 번째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>교육에서 우리 모두 자랑스러운 겸재 전문가가 되는 심정으로 질 높은 교육의 확산과 체험, 심화를 통하여 생활&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>속의 겸재를 되살리고 국민화가로서의 위상을 고양해 나가고 싶습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>두 번째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>권위 있고 창의적이며 누구에게나 알려진 전시를 통하여 살아 있는 미술관이 되기를 지향할 것이며 모두 참여하</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고 싶은 공모전, 최상의 브랜드를 지닌 기획전 등을 열었으면 합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>세 번째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>연구영역에서 겸재 연구 자료를 조사하고 그 성과물들의 축적과 교류를 도모하며 연구 학술지를 발간하는 등 겸</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>재 연구의 중심허브가 되었으면 합니다. 그리고 원화 소장의 한계를 넘어서기 위해 겸재 현존작품 모두를 영인하</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고 싶은 바람을 갖고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이와 함께 지역문화와 예술의 특성화에 기여하고 강서구민의 정신적 쉼터와 문화향유의 본산지가 되기를 염원합</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>니다. 이를 통해 중앙중심부 문화와 주변문화가 서로 소통하며 상승상생 발전하는 터전이 되기를 바랍니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이런 일들은 미술문화를 아끼는 모든 이들의 적극적인 지지와 후원으로만 이루어 질 수 있는 것으로 계속적인&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>관심과 사랑을 보내주시길 간구합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>오늘의 겸재 정선이 있기까지 마음과 물질을 다하여 도와주신 여러분들께 다시 한 번 감사드립니다.</span></div>",무료,,,,,,,,,,,,,,
188,기타,영등포구청,서울  영등포구 당산동3가 385-1 ),37.526436,126.896004,02-2670-3114,02-2670-3002,http://www.ydp.go.kr,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100816&thumb=Y,,,무료,,,,,,,,,,,,,,
189,기타,중랑구민체육센터,서울  중랑구,37.6151321,127.0874625,02-3423-1070~4,,http://jungnangspo.seoul.kr,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100760&thumb=Y,,"",,,,,,,,,,,,,,,
"></tbody></table></td></tr></tbody></table>""",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,도서관,성북정보도서관,서울  성북구 상월곡동 24-348 ),37.6048486,127.0504258,02-962-1081,02-968-0785,http://www.sblib.seoul.kr,,,,2002.3.19,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100770&thumb=Y,,"<p>열람실 이용시간<br />  <br />   <table border=&quot;0&quot; cellspacing=&quot;1&quot; cellpadding=&quot;2&quot; width=&quot;100%&quot; bgcolor=&quot;#e1b893&quot;> <tbody> <tr> <td bgcolor=&quot;#f8e8de&quot; height=&quot;25&quot; width=&quot;30%&quot; align=&quot;middle&quot;>열람실/부대시설</td> <td bgcolor=&quot;#f8e8de&quot; align=&quot;middle&quot;>평일 이용시간 </td> <td bgcolor=&quot;#f8e8de&quot; width=&quot;20%&quot; align=&quot;middle&quot;>주말 및 공휴일 </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; height=&quot;25&quot; align=&quot;middle&quot;>월곡열람실Ⅰ (종합자료실) </td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>09:00 ~ 22:00 </td> <td bgcolor=&quot;#ffffff&quot; rowspan=&quot;4&quot; align=&quot;middle&quot;>09:00 ~ 18:00 </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; height=&quot;25&quot; align=&quot;middle&quot;>매직정보센터 (디지털자료실) </td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>09:00 ~ 20:00 </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; align=&quot;middle&quot;>엄마사랑열람실 (유아열람실) </td> <td bgcolor=&quot;#ffffff&quot; rowspan=&quot;2&quot; align=&quot;middle&quot;>09:00 ~ 18:00 </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; align=&quot;middle&quot;>꾸러기열람실 (어린이열람실) </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; height=&quot;25&quot; align=&quot;middle&quot;>월곡열람실Ⅱ,Ⅲ (일반열람실) </td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; colspan=&quot;2&quot; align=&quot;middle&quot;>07:00 ~ 23:00 </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; height=&quot;25&quot; align=&quot;middle&quot;>미래연구실 (개인연구실) </td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; colspan=&quot;2&quot; align=&quot;middle&quot;>07:00 ~ 24:00 </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; height=&quot;25&quot; align=&quot;middle&quot;>북카페 (Book Cafe) </td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; colspan=&quot;2&quot; align=&quot;middle&quot;>09:00 ~ 20:00</td></tr></tbody></table><br />  <br />  휴관안내<br />  <br />  <br />  &nbsp; 월 1회 정기휴관일과 범국민적인 기념일 및 행사일에는 부득이하게 일부 열람실의 문을 닫으며, <br />  &nbsp;그 외의 모든 법정공휴일 및 임시공휴일은 개관합니다. <br />  &nbsp;&nbsp; - 정기휴관일 : 매월 첫째 월요일 <br />  &nbsp;- 범국민적인 행사날 : 신정(1.1), 설날연휴, 추석연휴, 석가탄신일, 성탄절, 선거일 <br />  &nbsp;&nbsp; 기타 관장이 필요하다고 인정하는 경우 <br />  <br />   <table border=&quot;0&quot; cellspacing=&quot;1&quot; cellpadding=&quot;2&quot; width=&quot;100%&quot; bgcolor=&quot;#e1b893&quot;> <tbody> <tr> <td bgcolor=&quot;#f8e8de&quot; width=&quot;15%&quot; align=&quot;middle&quot;>구분</td> <td bgcolor=&quot;#f8e8de&quot; height=&quot;25&quot; width=&quot;25%&quot; align=&quot;middle&quot;>열람실/부대시설</td> <td bgcolor=&quot;#f8e8de&quot; height=&quot;25&quot; width=&quot;19%&quot; align=&quot;middle&quot;>정기휴관일</td> <td bgcolor=&quot;#f8e8de&quot; width=&quot;22%&quot; align=&quot;middle&quot;>범국민적인 행사날 </td> <td bgcolor=&quot;#f8e8de&quot; width=&quot;19%&quot; align=&quot;middle&quot;>비고</td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; rowspan=&quot;4&quot; align=&quot;middle&quot;>자료실</td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>꾸러기 엄마사랑열람실 </td> <td bgcolor=&quot;#ffffff&quot; rowspan=&quot;11&quot; align=&quot;middle&quot;>매월 첫째 월요일 </td> <td bgcolor=&quot;#ffffff&quot; rowspan=&quot;11&quot;>&nbsp;<img align=&quot;absMiddle&quot; src=&quot;http://www.sblib.seoul.kr/images/common/ic_dot.gif&quot; width=&quot;2&quot; height=&quot;2&quot; /> 신정(1. 1)<br />  &nbsp;<img align=&quot;absMiddle&quot; src=&quot;http://www.sblib.seoul.kr/images/common/ic_dot.gif&quot; width=&quot;2&quot; height=&quot;2&quot; /> 설연휴<br />  &nbsp;<img align=&quot;absMiddle&quot; src=&quot;http://www.sblib.seoul.kr/images/common/ic_dot.gif&quot; width=&quot;2&quot; height=&quot;2&quot; /> 추석연휴 <br />  &nbsp;<img align=&quot;absMiddle&quot; src=&quot;http://www.sblib.seoul.kr/images/common/ic_dot.gif&quot; width=&quot;2&quot; height=&quot;2&quot; /> 석가탄신일<br />  &nbsp;<img align=&quot;absMiddle&quot; src=&quot;http://www.sblib.seoul.kr/images/common/ic_dot.gif&quot; width=&quot;2&quot; height=&quot;2&quot; /> 성탄절<br />  &nbsp;<img align=&quot;absMiddle&quot; src=&quot;http://www.sblib.seoul.kr/images/common/ic_dot.gif&quot; width=&quot;2&quot; height=&quot;2&quot; /> 선거일 </td> <td bgcolor=&quot;#ffffff&quot; rowspan=&quot;11&quot; align=&quot;middle&quot;>첫째 월요일이 <br />  공휴일인 경우, <br />  익일 정상근무일에 <br />  휴관 합니다.</td></tr> <tr> <td bgcolor=&quot;#ffffff&quot; height=&quot;12&quot; align=&quot;middle&quot;>월곡열람실 I </td></tr> <tr> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>매직정보센터</td></tr> <tr> <td bgcolor=&quot;#ffffff&quot; height=&quot;12&quot; align=&quot;middle&quot;>시각장애인코너</td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; height=&quot;25&quot; align=&quot;middle&quot;>일반열람실</td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>월곡열람실 II , III </td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; height=&quot;25&quot; align=&quot;middle&quot;>유료열람실</td> <td bgcolor=&quot;#ffffff&quot; align=&quot;middle&quot;>미래연구실</td></tr> <tr> <td bgcolor=&quot;#fbf3ea&quot; rowspan=&quot;5&quot; align=&quot;middle&quot;>부대시설</td> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>성북매직 IT교육원 </td></tr> <tr> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>성북컨벤션룸(소강당)</td></tr> <tr> <td bgcolor=&quot;#ffffff&quot; align=&quot;middle&quot;>진선미세미나실 I , II,<br />  성북세미나실</td></tr> <tr> <td bgcolor=&quot;#ffffff&quot; height=&quot;25&quot; align=&quot;middle&quot;>북카페(Book Cafe)</td></tr> <tr> <td bgcolor=&quot;#ffffff&quot; height=&quot;12&quot; align=&quot;middle&quot;>참새의 집(식당)</td></tr></tbody></table></p>",유료,,,,,,,,,,,,,,
191,기타,강북웰빙스포츠센터,서울  강북구 번동 318 ),37.6304749,127.0378273,02-944-2900,02-944-2949,www.gangbukcmc.seoul.kr/group02/page03.php,행사에 따라 다름,,"법정 국.공휴일/매월 1,3주 일요일",2005.3.3,"다목적체육관 723.8㎡/종합체육관 1,458.4㎡(관중석200석)/수영장, 헬스장, 스쿼시장 등",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100773&thumb=Y,,"&nbsp; 강북웰빙스포츠센터는 구민복리증진을 위해 노력하고 있으며, 구민건강과 여가 선용의 장으로 활용할 수 있도록 최신시설을 갖춘 종합체육관입니다.<br />  우리 강북웰빙스포츠센터는 요가, 농구, 배구, 실내축구, 배드민턴, 탁구등 마음대로 뛸 수 있는 다목적체육실, 종합체육관, 자연채광과 가장 맑은 물을 자랑하는 수영장, 다이나믹한 스쿼시장, 에어로빅장, 넓은 공간의 헬스장 등의 시설을 갖추고, 친절한 전문체육지도자로부터 체계적인 강습을 받을 수 있는 다양한 스포츠프로그램의 운영 및 갈수록 심각해지는 현대인들의 스트레스, 가정문제와 아동 및 청소년 문제 등 정신건강 해결에 올바른 방법을 제시하고자 심리상담치료실과 건강가정지원센터를 운영, 육체적 건강은 물론 정신적 건강에도 도움을 주는 공간으로 유아에서 노인에 이르기까지 강북구민이 가장 즐겨찾는 센터가 되도록 노력하고 있습니다.<br />  구민들의 욕구를 만족시키고 쾌적하고 편리한 환경에서 시설물을 이용할 수 있도록 각종 프로그램과 시설관리에 최선을 다하고 있습니다.<br />",유료,,,,,,,,,,,,,,
192,미술관,갤러리 라메르,서울특별시 종로구 인사동5길 26 홍익빌딩,37.57258198,126.9848681,02-730-5454,,http://www.gallerylamer.com/,10:00~18:30,,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100468&thumb=Y,,"<span style='font-size: 12pt;'>갤러리 라메르는 사설갤러리로서는 최대규모의 갤러리(총 240평)로 한국 미술문화의 중심지인 인사동에 2001년 개관하였다. 다양하고 새로운 현대미술의 흐름을 관람할 수 있는 5개의 전시관과 고미술상설전시장, 미술잡지사, 헬스시설 등을 갖추고 있는 복합문화공간이다.</span>",유료,,,,,,,,,,,,,,
193,도서관,서초구립반포도서관,서울특별시 서초구 고무래로 34,37.50248707,127.0125134,02-520-8700,,https://www.seocholib.or.kr/,,,"매주 월요일, 법정 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101363&thumb=Y,,"<div><span style='font-size: 14pt;'>서초구의 대표 종합도서관인 서초구립반포도서관은 2013년에 개관하였으며, 책과 문화를 통해 지역사회와 소통하는 ‘문화가 있는 도서관’입니다.&nbsp;</span></div><div><span style='font-size: 14pt;'>문화예술의 향유 및 인문독서 함양의 기회를 제공하는 등 지역 인프라를 활용한 문화콘텐츠를 개발하고 있으며, 생애주기별 독서?문화 프로그램을&nbsp;</span></div><div><span style='font-size: 14pt;'>통해 교육, 문화, 사회적 기능을 수행하는데 최선을 다하고 있습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>서초구립반포도서관은 전문적이고 차별화된 독서?문화 프로그램을 통해 어린이와 청소년의 창의력 개발을 돕고, 주민의 평생학습 및 문화향유의&nbsp;</span></div><div><span style='font-size: 14pt;'>기회를 제공하면서&nbsp; 지역사회와 함께 성장해가는 도서관입니다. 서초구립반포도서관은 책과 사람, 문화가 만나는 커뮤니티 공간으로서, 이용자를&nbsp;</span></div><div><span style='font-size: 14pt;'>배려하고 따뜻함이 묻어나는 공간입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'><b>운영시간</b></span></div><div><span style='font-size: 14pt;'>평일 09:00~22:00(종합자료실1?2)</span></div><div><span style='font-size: 14pt;'>09:00~18:00(어린이자료실)</span></div><div><span style='font-size: 14pt;'>주말 09:00~18:00(도서관전체)</span></div>",무료,"9호선 사평역 2번 출구에서 약 500m(도보 5분), 7호선 반포역 3번 출구에서 약 900m(도보 10분), 2, 3호선 교대역 6번 출구에서 마을버스 승차, 강남고속터미널 도보 15분",,,,,,6020번 공항버스,,,,,,,
194,미술관,셀린박 갤러리,서울특별시 강남구 압구정로32길 30,37.52579008,127.029757,7052224228,,www.celineparkgallery.com,,,"매주 월요일, 1&amp;3 째주 일요일 휴관",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101540&thumb=Y,,"<p>‘셀린박 갤러리’는 스페큘레이티브 디자인 (speculative design)을 기반으로 구축되어 2018년 시작 된 디자인 갤러리이다. 셀린박 갤러리는 스페큘레이티브 디자이너들에게 새로운 장을 열어주고, 그 외의 디자이너들에게 무한한 기회를 주고자 한다. 해외에서 폭발적인 이슈를 일으키고, 굉장한 영향력을 갖고있는 스페큘레이티브 디자인 (Speculative design) 뿐만 아니라 디자인 픽션 (design fiction), 비판적 디자인 (critical design) 을 국내에 알리고, 교육하기 위해 만들어졌다.</p><p><br />  </p><p>'가능성에 대한 가능성', 'Between Dreamy and Dreary' 그리고 'Ocragela : 오크라겔라' 까지 다양한 전시가 기획되었다.</p>",유료,,,,,,,,,,,,,,
195,도서관,배봉산 숲속 도서관,서울특별시 동대문구 전농로16길 97,37.57844311,127.0627351,02-2212-8500,,https://l4d.or.kr/bfl/index.do,,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101480&thumb=Y,,<br />  배봉산 숲속 도서관,,1호선-청량리역 2번출구(201번->홍릉초 하차) / 1호선-회기역 1번출구(마을1번->홍릉초 하차),전농동SK아파트 정류장(도보 5분),,"2013,2015,2230, 2233, 2311",,,공항버스,,,,,,,
196,기타,문화공간 이육사,서울특별시 성북구 종암로21가길 36-1,37.59813809,127.0326016,02-928-0264,,https://www.sbculture.or.kr,,,"일요일,월요일,공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101505&thumb=Y,,"종암동 주민의 노력으로 건립되어, 독립운동가이자 시인 이육사를 기념하고 전시와 체험 프로그램으로 지역문화를 가꾸는 복합문화공간이 되고자 합니다.",,4호선-길음역 2번출구(도보 10분),"성북노인정입구, 롯데홈마트",,"성북15, 성북21",,,공항버스,,,,,,,
197,미술관,갤러리 가이아,서울특별시 종로구 인사동길 57-1,37.5750744,126.9834564,02-733-3373,,http://www.galerie-gaia.net/,10:00~19:00,,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eb7d7937321d4e58bab04dba4fde7756&thumb=Y,,"<p><span style='font-size: 14pt;'>갤러리 가이아는 2,3층으로 이루어진 아늑하고 격조 높은 전시공간을 갖추고, 다양한 장르를 통하여 동시대의 다양한 삶을 표현하고자 노력하는 작가와 함께하는 곳이다. 다양한 장르를 통하여 동시대의 다양한 삶의 양태를 표현하고 드러내고자 치열하게 노력하는 작가 여러분들과 더불어 같이 호흡하고 성장하는 갤러리가 되고자 합니다. </span><br>              <br><span style='font-size: 14pt;'>              2,3층 전관 사용 기준 시&nbsp;45평형으로&nbsp;아늑하면서, 풍성한 분위기를 제공해드리고 있습니다.</span></p> <p align='justify' class='바탕글'><span style='font-size: 14pt;'>문화는 한 시대의 동시대인이 남길 수 있는 가장 아름다운 흔적 입니다. 문화의 한 축으로서 미술문화를 발전시키고 꽃 피우는데 갤러리 가이아가 함께 할 수 있도록 역량 있는 작가 여러분의 많은 사랑과 관심을 기대 합니다.</span><br></p>",유료,,,,,,,,,,,,,,
